Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
rails-ruby	15.3 ms	0.2%	238.0 ms	9220.0 ms	223,802
start	171.8 ms	2.7%	74.4 ms	365.9 ms	122,059
stream	603.2 ms	9.6%	1170.0 ms	7760.0 ms	12
undertow	690.9 ms	11.0%	133.5 ms	1170.0 ms	9
gemini	1020.0 ms	16.2%	251.9 ms	2020.0 ms	0
servicestack	1070.0 ms	17.0%	1080.0 ms	5240.0 ms	0
go	1090.0 ms	17.4%	266.3 ms	2100.0 ms	0
undertow	1130.0 ms	18.0%	262.4 ms	2890.0 ms	0
ringojs	1160.0 ms	18.5%	317.6 ms	2300.0 ms	0
revel	1190.0 ms	18.9%	251.6 ms	2090.0 ms	0
servlet-raw	1210.0 ms	19.3%	290.3 ms	2370.0 ms	0
php-raw	1220.0 ms	19.4%	279.6 ms	2600.0 ms	0
undertow	1260.0 ms	20.1%	210.4 ms	1930.0 ms	0
ringojs-conv	1300.0 ms	20.7%	793.8 ms	4690.0 ms	1,009
falcore	1380.0 ms	22.0%	425.1 ms	2950.0 ms	0
spring	1400.0 ms	22.3%	232.3 ms	2240.0 ms	14
revel-qbs	1470.0 ms	23.4%	315.4 ms	2680.0 ms	0
servlet-postgres-raw	1520.0 ms	24.2%	150.1 ms	1910.0 ms	0
play-scala-anorm	1600.0 ms	25.5%	408.2 ms	2260.0 ms	0
start	1660.0 ms	26.4%	671.6 ms	3630.0 ms	0
nodejs-mongodb-raw	1680.0 ms	26.8%	846.6 ms	2780.0 ms	0
stream	1700.0 ms	27.1%	628.0 ms	3360.0 ms	0
servicestack	1830.0 ms	29.1%	1220.0 ms	5710.0 ms	0
aspnet-mvc-mono	1850.0 ms	29.5%	520.6 ms	3050.0 ms	0
php-phalcon	1960.0 ms	31.2%	371.0 ms	3160.0 ms	0
express-mongodb	2010.0 ms	32.0%	618.7 ms	2600.0 ms	0
dart	2120.0 ms	33.8%	769.4 ms	4800.0 ms	0
phpixie	2230.0 ms	35.5%	434.7 ms	3400.0 ms	0
hapi	2240.0 ms	35.7%	573.1 ms	2890.0 ms	0
flask-pypy	2250.0 ms	35.8%	2290.0 ms	11830.0 ms	0
play-slick	2510.0 ms	40.0%	727.1 ms	3290.0 ms	0
bottle	2950.0 ms	47.0%	1420.0 ms	7710.0 ms	288
bottle-py3	3220.0 ms	51.3%	1590.0 ms	9540.0 ms	234
flask-py3	3270.0 ms	52.1%	1360.0 ms	6450.0 ms	313
flask	3430.0 ms	54.6%	2090.0 ms	7330.0 ms	231
treefrog	4200.0 ms	66.9%	578.0 ms	5010.0 ms	0
bottle-mysql-raw	4700.0 ms	74.8%	2370.0 ms	8660.0 ms	266
rails-jruby	5180.0 ms	82.5%	1400.0 ms	6520.0 ms	0
flask	5670.0 ms	90.3%	2130.0 ms	10000.0 ms	142
aspnet-mvc-mono	6280.0 ms	100.0%	2860.0 ms	12690.0 ms	0
