Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	DB	Dos	Orm	IA	Errors
stream	451	100.0%	Mcr	Dar	Dar	ngx	Lin	Mo	Lin	Raw	Rea	12
undertow	355	78.7%	Plt	Jav	Utw	Non	Lin	Mo	Lin	Raw	Rea	9
gemini	230	51.0%	Ful	Jav	Svt	Res	Lin	My	Lin	Mcr	Rea	0
go	223	49.4%	Plt	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
undertow	215	47.7%	Plt	Jav	Utw	Non	Lin	My	Lin	Raw	Rea	0
revel	209	46.3%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
ringojs	208	46.1%	Plt	JS	Rin	Jty	Lin	My	Lin	Raw	Rea	0
servlet-raw	203	45.0%	Plt	Jav	Svt	Res	Lin	My	Lin	Raw	Rea	0
php-raw	202	44.8%	Plt	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
undertow	196	43.5%	Plt	Jav	Utw	Non	Lin	Pg	Lin	Raw	Rea	0
falcore	193	42.8%	Mcr	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
spring	171	37.9%	Ful	Jav	Svt	Tom	Lin	My	Lin	Ful	Rea	14
revel-qbs	164	36.4%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
servlet-postgres-raw	159	35.3%	Plt	Jav	Svt	Res	Lin	Pg	Lin	Raw	Rea	0
start	152	33.7%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
stream	145	32.2%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
play-scala-anorm	141	31.3%	Ful	Sca	Nty	Non	Lin	My	Lin	Ful	Rea	0
nodejs-mongodb-raw	137	30.4%	Plt	JS	njs	Non	Lin	Mo	Lin	Raw	Rea	0
aspnet-mvc-mono	129	28.6%	Ful	C#	Mon	ngx	Lin	My	Lin	Raw	Rea	0
flask-pypy	126	27.9%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
php-phalcon	120	26.6%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
express-mongodb	116	25.7%	Mcr	JS	njs	Non	Lin	Mo	Lin	Ful	Rea	0
ringojs-conv	113	25.1%	Mcr	JS	Rin	Jty	Lin	My	Lin	Mcr	Rea	1,009
servicestack	113	25.1%	Plt	C#	Mon	ngx	Lin	My	Lin	Raw	Rea	0
phpixie	108	23.9%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
hapi	108	23.9%	Mcr	JS	njs	Non	Lin	Mo	Lin	Raw	Rea	0
servicestack	107	23.7%	Plt	C#	Mon	ngx	Lin	Mo	Lin	Raw	Rea	0
dart	107	23.7%	Plt	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
play-slick	91	20.2%	Ful	Sca	Nty	Non	Lin	My	Lin	Raw	Rea	0
flask	72	16.0%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	231
bottle	62	13.7%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	288
flask-py3	59	13.1%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	313
bottle-py3	53	11.8%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	234
treefrog	45	10.0%	Ful	C++	Tre	Non	Lin	My	Lin	Mcr	Rea	0
bottle-mysql-raw	39	8.6%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	266
rails-jruby	38	8.4%	Ful	Rby	JRb	Tor	Lin	My	Lin	Ful	Rea	0
aspnet-mvc-mono	25	5.5%	Ful	C#	Mon	ngx	Lin	My	Lin	Ful	Rea	0
flask	18	4.0%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	142
django-postgresql	12	2.7%	Ful	Py	Gun	Non	Lin	Pg	Lin	Ful	Rea	98
rails-ruby	12	2.7%	Ful	Rby	Rac	Uni	Lin	My	Lin	Ful	Rea	223,802
django-py3	10	2.2%	Ful	Py	Gun	Non	Lin	My	Lin	Ful	Rea	103
django	5	1.1%	Ful	Py	Gun	Non	Lin	My	Lin	Ful	Rea	114
nodejs-mysql-raw	2	0.4%	Plt	JS	njs	Non	Lin	My	Lin	Raw	Rea	0
hapi-mysql	1	0.2%	Mcr	JS	njs	Non	Lin	My	Lin	Raw	Rea	0
