Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	DB	Dos	Orm	IA	Errors
hhvm	2,491	100.0%	Plt	PHP	hhv	HPH	Lin	My	Lin	Raw	Rea	0
cpoll_cppsp-raw	2,185	87.7%	Plt	C++	Cpl	Non	Lin	My	Lin	Raw	Rea	0
undertow	2,170	87.1%	Plt	Jav	Utw	Non	Lin	My	Lin	Raw	Rea	0
gemini	2,090	83.9%	Ful	Jav	Svt	Res	Lin	My	Lin	Mcr	Rea	0
php-raw	2,048	82.2%	Plt	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
servlet-raw	2,046	82.1%	Plt	Jav	Svt	Res	Lin	My	Lin	Raw	Rea	0
falcore	2,036	81.7%	Mcr	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
ringojs	2,004	80.4%	Plt	JS	Rin	Jty	Lin	My	Lin	Raw	Rea	0
revel	1,987	79.8%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
go	1,972	79.2%	Plt	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
aspnet-stripped-raw	1,892	76.0%	Ful	C#	Net	IIS	Win	My	Lin	Raw	Str	0
aspnet-mysql-raw	1,860	74.7%	Ful	C#	Net	IIS	Win	My	Lin	Raw	Rea	0
undertow	1,753	70.4%	Plt	Jav	Utw	Non	Lin	Pg	Lin	Raw	Rea	0
revel-qbs	1,483	59.5%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
dart	1,440	57.8%	Plt	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
stream	1,432	57.5%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
start	1,428	57.3%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
servlet-postgres-raw	1,398	56.1%	Plt	Jav	Svt	Res	Lin	Pg	Lin	Raw	Rea	0
nodejs-mysql-raw	1,362	54.7%	Plt	JS	njs	Non	Lin	My	Lin	Raw	Rea	0
bottle-mysql-raw	1,286	51.6%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
express-mysql	1,243	49.9%	Mcr	JS	njs	Non	Lin	My	Lin	Ful	Rea	0
hapi-mysql	1,239	49.7%	Mcr	JS	njs	Non	Lin	My	Lin	Raw	Rea	0
plain	1,176	47.2%	Ful	Sca	Pla	Non	Lin	My	Lin	Mcr	Rea	0
plain-servlet-linux	1,132	45.4%	Ful	Sca	Pla	Non	Lin	My	Lin	Ful	Rea	0
aspnet-stripped-raw	1,091	43.8%	Ful	C#	Net	IIS	Win	Pg	Lin	Raw	Str	0
http-listener	1,014	40.7%	Plt	C#	Net	hts	Win	My	Lin	Raw	Rea	0
aspnet-postgresql-ra	875	35.1%	Ful	C#	Net	IIS	Win	Pg	Lin	Raw	Rea	0
stream	850	34.1%	Mcr	Dar	Dar	ngx	Lin	Mo	Lin	Raw	Rea	34
