Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
rails-ruby	1.7 ms	0.0%	13.9 ms	444.4 ms	0
bottle-nginx-uWSGI	2.0 ms	0.0%	10.7 ms	142.6 ms	0
flask-nginx-uWSGI	2.1 ms	0.0%	11.6 ms	171.3 ms	0
cpoll_cppsp-raw	4.3 ms	0.1%	0.9 ms	15.8 ms	0
start	4.4 ms	0.1%	4.0 ms	32.1 ms	0
gemini	5.2 ms	0.1%	7.2 ms	137.6 ms	0
undertow	5.7 ms	0.1%	2.3 ms	235.6 ms	0
undertow	5.8 ms	0.1%	4.3 ms	624.9 ms	0
go	9.3 ms	0.2%	6.9 ms	56.8 ms	0
ur/web	9.4 ms	0.2%	0.7 ms	16.2 ms	0
hhvm	9.5 ms	0.2%	1.2 ms	29.9 ms	0
php-raw	9.8 ms	0.2%	17.4 ms	734.1 ms	0
revel	9.8 ms	0.2%	7.4 ms	60.3 ms	0
revel-qbs	11.3 ms	0.2%	7.6 ms	63.5 ms	0
undertow	13.3 ms	0.3%	58.1 ms	632.6 ms	0
compojure	13.4 ms	0.3%	48.1 ms	1020.0 ms	0
aspnet-stripped-raw	13.9 ms	0.3%	4.2 ms	139.6 ms	0
plain	14.3 ms	0.3%	26.9 ms	1460.0 ms	0
grizzly-jersey	15.1 ms	0.3%	2.7 ms	62.4 ms	0
luminus	15.4 ms	0.3%	46.9 ms	852.0 ms	0
servlet-raw	16.5 ms	0.3%	45.4 ms	272.2 ms	0
plain-servlet-linux	16.5 ms	0.3%	27.6 ms	1600.0 ms	0
falcore	17.3 ms	0.3%	4.9 ms	36.5 ms	0
play-scala-anorm	18.3 ms	0.4%	14.2 ms	640.4 ms	0
play-slick	18.6 ms	0.4%	16.2 ms	654.8 ms	0
play-scala-anorm	18.7 ms	0.4%	4.7 ms	56.0 ms	0
express-mysql	18.8 ms	0.4%	2.3 ms	33.8 ms	0
aspnet-stripped-raw	19.3 ms	0.4%	14.4 ms	321.9 ms	0
start	19.8 ms	0.4%	49.9 ms	1040.0 ms	0
dart	20.4 ms	0.4%	67.0 ms	1450.0 ms	0
yaf-raw	21.1 ms	0.4%	22.8 ms	1170.0 ms	0
stream	23.6 ms	0.5%	58.6 ms	1330.0 ms	0
treefrog	23.6 ms	0.5%	18.1 ms	282.1 ms	0
php-phalcon-micro	24.0 ms	0.5%	22.3 ms	265.3 ms	0
hapi-mysql	24.3 ms	0.5%	12.9 ms	71.7 ms	0
aspnet-mysql-raw	24.5 ms	0.5%	10.8 ms	306.6 ms	0
grails	26.3 ms	0.5%	17.7 ms	229.8 ms	0
aspnet-mongodb-raw	26.9 ms	0.5%	20.4 ms	432.4 ms	0
stream	27.8 ms	0.5%	66.2 ms	955.5 ms	0
plain-windows	29.9 ms	0.6%	69.4 ms	3570.0 ms	0
bottle-mysql-raw	30.8 ms	0.6%	12.8 ms	114.1 ms	0
ninja	38.1 ms	0.7%	55.4 ms	364.6 ms	0
ninja-standalone	38.1 ms	0.7%	55.4 ms	364.6 ms	0
aspnet-postgresql-ra	42.5 ms	0.8%	92.3 ms	2250.0 ms	0
aspnet-mysql-entityf	42.7 ms	0.8%	23.0 ms	201.4 ms	0
flask	44.8 ms	0.9%	14.5 ms	159.5 ms	0
http-listener	45.2 ms	0.9%	29.8 ms	248.1 ms	0
ringojs	46.0 ms	0.9%	53.5 ms	760.0 ms	0
ringojs-conv	47.2 ms	0.9%	56.1 ms	681.1 ms	0
pyramid-py3	53.4 ms	1.0%	196.7 ms	13880.0 ms	0
bottle-pypy	58.5 ms	1.1%	44.3 ms	1010.0 ms	0
flask-pypy	59.8 ms	1.2%	56.7 ms	668.2 ms	0
aspnet-postgresql-en	61.0 ms	1.2%	66.0 ms	1300.0 ms	0
codeigniter-raw	72.6 ms	1.4%	40.4 ms	293.9 ms	0
pyramid-py2	72.8 ms	1.4%	479.4 ms	13900.0 ms	0
flask-pypy	74.6 ms	1.5%	79.7 ms	869.7 ms	0
bottle	76.6 ms	1.5%	27.5 ms	315.8 ms	0
bottle-py3	82.5 ms	1.6%	33.5 ms	283.1 ms	0
flask	84.5 ms	1.7%	27.4 ms	252.3 ms	0
flask-py3	92.1 ms	1.8%	31.9 ms	291.2 ms	0
rails-jruby	99.5 ms	2.0%	24.1 ms	746.8 ms	0
django-postgresql	118.0 ms	2.3%	39.8 ms	408.0 ms	0
django	125.7 ms	2.5%	44.2 ms	379.8 ms	0
django-py3	126.4 ms	2.5%	37.4 ms	359.9 ms	0
aspnet-stripped-raw	192.7 ms	3.8%	152.6 ms	2290.0 ms	0
http-listener	220.7 ms	4.3%	142.8 ms	1290.0 ms	0
phpixie	258.9 ms	5.1%	191.8 ms	1630.0 ms	8,043
php-phalcon	266.6 ms	5.2%	172.5 ms	1260.0 ms	11,027
laravel-raw	311.0 ms	6.1%	234.7 ms	1540.0 ms	9,886
fuel	315.5 ms	6.2%	187.9 ms	1320.0 ms	2,648
php-kohana-raw	327.1 ms	6.4%	231.8 ms	1260.0 ms	4,733
symfony2	610.9 ms	12.0%	573.2 ms	2370.0 ms	3,919
symfony2	641.5 ms	12.6%	633.1 ms	2690.0 ms	4,667
senthot	659.6 ms	13.0%	973.8 ms	2600.0 ms	0
symfony2	663.0 ms	13.0%	615.2 ms	3240.0 ms	3,903
servicestack	705.7 ms	13.9%	492.5 ms	1060.0 ms	3,885
aspnet-mvc-mono	788.6 ms	15.5%	900.7 ms	3070.0 ms	4,691
aspnet-mvc-mono	838.4 ms	16.5%	654.5 ms	1460.0 ms	3,315
servicestack	891.1 ms	17.5%	138.2 ms	1140.0 ms	6,509
aspnet-mvc-mono	1110.0 ms	21.8%	416.8 ms	1310.0 ms	303
symfony2-raw	2160.0 ms	42.4%	543.4 ms	2590.0 ms	4,675
spring	5090.0 ms	100.0%	2640.0 ms	8600.0 ms	0
