Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	DB	Dos	Orm	IA	Errors
cpoll_cppsp-raw	59,072	100.0%	Plt	C++	Cpl	Non	Lin	My	Lin	Raw	Rea	0
gemini	58,340	98.8%	Ful	Jav	Svt	Res	Lin	My	Lin	Mcr	Rea	0
servlet-raw	57,953	98.1%	Plt	Jav	Svt	Res	Lin	My	Lin	Raw	Rea	0
undertow	44,155	74.7%	Plt	Jav	Utw	Non	Lin	My	Lin	Raw	Rea	0
undertow	43,776	74.1%	Plt	Jav	Utw	Non	Lin	Mo	Lin	Raw	Rea	0
undertow	41,859	70.9%	Plt	Jav	Utw	Non	Lin	Pg	Lin	Raw	Rea	0
php-raw	29,149	49.3%	Plt	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
go	28,037	47.5%	Plt	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
hhvm	27,001	45.7%	Plt	PHP	hhv	HPH	Lin	My	Lin	Raw	Rea	0
revel	26,496	44.9%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
revel-qbs	23,036	39.0%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
compojure	22,335	37.8%	Mcr	Clj	Svt	Res	Lin	My	Lin	Mcr	Rea	0
plain	18,605	31.5%	Ful	Sca	Pla	Non	Lin	My	Lin	Mcr	Rea	0
luminus	18,507	31.3%	Mcr	Clj	Svt	Res	Lin	My	Lin	Ful	Rea	0
aspnet-stripped-raw	18,430	31.2%	Ful	C#	Net	IIS	Win	My	Lin	Raw	Str	0
grizzly-jersey	17,065	28.9%	Mcr	Jav	Svt	Grz	Lin	My	Lin	Ful	Rea	0
plain-servlet-linux	15,841	26.8%	Ful	Sca	Pla	Non	Lin	My	Lin	Ful	Rea	0
aspnet-stripped-raw	15,347	26.0%	Ful	C#	Net	IIS	Win	Mo	Lin	Raw	Str	0
falcore	14,769	25.0%	Mcr	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
play-scala-anorm	14,022	23.7%	Ful	Sca	Nty	Non	Lin	My	Lin	Ful	Rea	0
play-slick	13,848	23.4%	Ful	Sca	Nty	Non	Lin	My	Lin	Raw	Rea	0
yaf-raw	13,646	23.1%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
express-mysql	13,612	23.0%	Mcr	JS	njs	Non	Lin	My	Lin	Ful	Rea	0
dart	13,603	23.0%	Plt	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
play-scala-anorm	13,498	22.9%	Ful	Sca	Nty	Non	Win	My	Lin	Ful	Rea	0
start	12,422	21.0%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
php-phalcon-micro	11,999	20.3%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
treefrog	10,957	18.5%	Ful	C++	Tre	Non	Lin	My	Lin	Mcr	Rea	0
stream	10,916	18.5%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
aspnet-mongodb-raw	10,724	18.2%	Ful	C#	Net	IIS	Win	Mo	Lin	Raw	Rea	0
hapi-mysql	10,579	17.9%	Mcr	JS	njs	Non	Lin	My	Lin	Raw	Rea	0
aspnet-mysql-raw	10,273	17.4%	Ful	C#	Net	IIS	Win	My	Lin	Raw	Rea	0
grails	10,188	17.2%	Ful	Grv	Svt	Res	Lin	My	Lin	Ful	Rea	0
stream	9,314	15.8%	Mcr	Dar	Dar	ngx	Lin	Mo	Lin	Raw	Rea	0
http-listener	8,884	15.0%	Plt	C#	Net	hts	Win	My	Lin	Raw	Rea	0
bottle-mysql-raw	8,755	14.8%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
plain-windows	8,721	14.8%	Ful	Sca	Pla	Non	Win	My	Lin	Ful	Rea	0
ninja-standalone	6,947	11.8%	Ful	Jav	Jty	Jty	Lin	My	Lin	Ful	Rea	0
ninja	6,947	11.8%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
aspnet-postgresql-ra	6,603	11.2%	Ful	C#	Net	IIS	Win	Pg	Lin	Raw	Rea	0
aspnet-mysql-entityf	6,310	10.7%	Ful	C#	Net	IIS	Win	My	Lin	Ful	Rea	0
flask	5,876	9.9%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
ringojs	5,421	9.2%	Plt	JS	Rin	Jty	Lin	My	Lin	Raw	Rea	0
ringojs-conv	5,307	9.0%	Mcr	JS	Rin	Jty	Lin	My	Lin	Mcr	Rea	0
spring	5,197	8.8%	Ful	Jav	Svt	Tom	Lin	My	Lin	Ful	Rea	0
flask-pypy	4,784	8.1%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
aspnet-postgresql-en	4,727	8.0%	Ful	C#	Net	IIS	Win	Pg	Lin	Ful	Rea	0
bottle-pypy	4,243	7.2%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
flask-pypy	3,641	6.2%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
codeigniter-raw	3,605	6.1%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
pyramid-py2	3,507	5.9%	Ful	Py	Wsg	Gun	Lin	Pg	Lin	Ful	Rea	0
bottle-nginx-uWSGI	3,356	5.7%	Mcr	Py	uWS	ngx	Lin	My	Lin	Ful	Rea	0
bottle	3,323	5.6%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
