Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
netty	4.7 ms	0.2%	4.9 ms	39.6 ms	0
undertow	5.8 ms	0.2%	6.8 ms	335.0 ms	0
grizzly	6.6 ms	0.3%	10.0 ms	708.0 ms	0
openresty	6.6 ms	0.3%	7.5 ms	505.7 ms	0
vertx	6.8 ms	0.3%	6.1 ms	60.6 ms	0
spray	7.6 ms	0.3%	3.0 ms	70.0 ms	0
unfiltered	7.6 ms	0.3%	5.7 ms	91.1 ms	0
rack-jruby	11.3 ms	0.4%	7.0 ms	480.6 ms	0
jetty-servlet	11.3 ms	0.4%	8.3 ms	145.7 ms	0
go	11.4 ms	0.4%	23.3 ms	212.5 ms	0
http-kit	12.1 ms	0.5%	3.0 ms	41.6 ms	0
beego	14.2 ms	0.5%	11.5 ms	143.3 ms	0
wai	14.2 ms	0.5%	15.8 ms	166.2 ms	0
falcore	14.6 ms	0.6%	5.3 ms	46.8 ms	0
revel	15.1 ms	0.6%	26.1 ms	215.2 ms	0
webgo	15.6 ms	0.6%	5.3 ms	54.5 ms	0
grizzly-jersey	17.4 ms	0.7%	4.1 ms	114.1 ms	0
rails-ruby	19.6 ms	0.8%	69.0 ms	988.5 ms	0
tornado-pypy	20.1 ms	0.8%	5.4 ms	82.3 ms	0
falcon-pypy	21.2 ms	0.8%	18.1 ms	355.3 ms	0
treefrog	23.2 ms	0.9%	8.0 ms	74.4 ms	0
restexpress	23.3 ms	0.9%	65.1 ms	660.3 ms	0
ninja-standalone	23.9 ms	0.9%	53.5 ms	525.1 ms	0
ninja	23.9 ms	0.9%	53.5 ms	525.1 ms	0
sinatra-ruby	25.2 ms	1.0%	78.9 ms	611.5 ms	0
wsgi	25.4 ms	1.0%	1.9 ms	53.8 ms	0
rack-ruby	25.5 ms	1.0%	23.2 ms	190.0 ms	56,371
nodejs	27.7 ms	1.1%	3.4 ms	61.3 ms	0
play-scala-anorm	28.3 ms	1.1%	33.0 ms	257.5 ms	0
falcon	32.1 ms	1.2%	10.2 ms	114.0 ms	0
dropwizard	32.3 ms	1.2%	90.9 ms	1180.0 ms	0
yesod	32.8 ms	1.3%	35.7 ms	268.0 ms	0
wicket	33.9 ms	1.3%	235.4 ms	4080.0 ms	0
bottle	34.0 ms	1.3%	9.2 ms	92.9 ms	0
ringojs	37.0 ms	1.4%	57.4 ms	469.4 ms	0
falcon-py3	37.7 ms	1.4%	11.0 ms	105.0 ms	0
play-java-jpa	37.9 ms	1.5%	23.0 ms	707.6 ms	0
play1-siena	38.4 ms	1.5%	74.0 ms	738.3 ms	0
snap	40.9 ms	1.6%	3.4 ms	51.7 ms	0
luminus	41.2 ms	1.6%	85.2 ms	652.0 ms	0
bottle-py3	41.7 ms	1.6%	9.1 ms	94.8 ms	0
express	42.7 ms	1.6%	27.2 ms	236.1 ms	0
php	43.1 ms	1.7%	137.5 ms	6770.0 ms	0
plack	44.8 ms	1.7%	33.8 ms	257.5 ms	0
ringojs-conv	45.7 ms	1.8%	70.7 ms	584.7 ms	0
lift-stateless	52.1 ms	2.0%	27.8 ms	682.2 ms	0
scalatra	52.8 ms	2.0%	236.9 ms	2870.0 ms	0
grails	59.4 ms	2.3%	239.2 ms	4610.0 ms	0
rails-stripped-ruby	60.8 ms	2.3%	188.3 ms	1040.0 ms	0
spring	61.9 ms	2.4%	82.5 ms	737.7 ms	0
tornado	66.0 ms	2.5%	17.7 ms	102.1 ms	0
dart	67.7 ms	2.6%	226.6 ms	4090.0 ms	0
stream	72.0 ms	2.8%	210.1 ms	3710.0 ms	0
tornado-py3	77.9 ms	3.0%	4.0 ms	135.3 ms	0
hapi	85.6 ms	3.3%	24.4 ms	165.9 ms	0
