Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	IA	Errors
netty	53,676	100.0%	Plt	Jav	Nty	Non	Lin	Rea	0
undertow	42,167	78.6%	Plt	Jav	Utw	Non	Lin	Rea	0
grizzly	39,776	74.1%	Mcr	Jav	Svt	Grz	Lin	Rea	0
openresty	38,990	72.6%	Plt	Lua	OpR	ngx	Lin	Rea	0
vertx	38,554	71.8%	Plt	Jav	vtx	Non	Lin	Rea	0
spray	36,242	67.5%	Mcr	Sca	Spr	Non	Lin	Rea	0
unfiltered	33,110	61.7%	Mcr	Sca	Nty	Non	Lin	Rea	0
servlet	30,805	57.4%	Plt	Jav	Svt	Res	Lin	Rea	0
go	29,272	54.5%	Plt	Go	Go	Non	Lin	Rea	0
gemini	25,700	47.9%	Ful	Jav	Svt	Res	Lin	Rea	0
jetty-servlet	22,329	41.6%	Plt	Jav	Jty	Jty	Lin	Rea	0
rack-jruby	21,987	41.0%	Plt	Rby	JRb	Tor	Lin	Rea	0
revel	21,920	40.8%	Ful	Go	Go	Non	Lin	Rea	0
http-kit	21,050	39.2%	Plt	Clj	htk	Non	Lin	Rea	0
beego	19,658	36.6%	Mcr	Go	Go	Non	Lin	Rea	0
spark	18,742	34.9%	Mcr	Jav	Svt	Res	Lin	Rea	0
wai	18,709	34.9%	Plt	Hkl	Wai	Wrp	Lin	Rea	0
falcore	18,364	34.2%	Mcr	Go	Go	Non	Lin	Rea	0
restexpress	17,834	33.2%	Mcr	Jav	Nty	Non	Lin	Rea	0
webgo	16,425	30.6%	Mcr	Go	Go	Non	Lin	Rea	0
ninja-standalone	15,714	29.3%	Ful	Jav	Jty	Jty	Lin	Rea	0
ninja	15,714	29.3%	Ful	Jav	Svt	Res	Lin	Rea	0
grizzly-jersey	14,681	27.4%	Mcr	Jav	Svt	Grz	Lin	Rea	0
falcon-pypy	14,420	26.9%	Mcr	Py	Gun	Non	Lin	Rea	0
wicket	14,245	26.5%	Ful	Jav	Svt	Res	Lin	Rea	0
tornado-pypy	13,909	25.9%	Plt	Py	Tor	Non	Lin	Rea	0
compojure	13,420	25.0%	Mcr	Clj	Svt	Res	Lin	Rea	0
tapestry	12,524	23.3%	Ful	Jav	Svt	Res	Lin	Rea	0
dropwizard	11,845	22.1%	Ful	Jav	Jty	Jty	Lin	Rea	0
scalatra	11,622	21.7%	Mcr	Sca	Svt	Res	Lin	Rea	0
play-scala-anorm	10,775	20.1%	Ful	Sca	Nty	Non	Lin	Rea	0
wsgi	10,062	18.7%	Plt	Py	Gun	Non	Lin	Rea	0
nodejs	10,008	18.6%	Plt	JS	njs	Non	Lin	Rea	0
luminus	9,842	18.3%	Mcr	Clj	Svt	Res	Lin	Rea	0
play1-siena	9,758	18.2%	Ful	Jav	Nty	Non	Lin	Rea	0
yesod	8,852	16.5%	Mcr	Hkl	Wai	Wrp	Lin	Rea	0
falcon	8,030	15.0%	Mcr	Py	Gun	Non	Lin	Rea	0
bottle	7,619	14.2%	Mcr	Py	Gun	Non	Lin	Rea	0
snap	7,515	14.0%	Mcr	Hkl	Snp	Non	Lin	Rea	0
plack	7,439	13.9%	Mcr	Prl	Plk	Sta	Lin	Rea	0
express	7,117	13.3%	Mcr	JS	njs	Non	Lin	Rea	0
play-java-jpa	6,976	13.0%	Ful	Jav	Nty	Non	Lin	Rea	0
falcon-py3	6,875	12.8%	Mcr	Py	Gun	Non	Lin	Rea	0
rack-ruby	6,541	12.2%	Plt	Rby	Rac	Uni	Lin	Rea	56,371
ringojs	6,477	12.1%	Plt	JS	Rin	Jty	Lin	Rea	0
php	6,427	12.0%	Plt	PHP	FPM	ngx	Lin	Rea	0
grails	6,246	11.6%	Ful	Grv	Svt	Res	Lin	Rea	0
bottle-py3	6,245	11.6%	Mcr	Py	Gun	Non	Lin	Rea	0
ringojs-conv	5,522	10.3%	Mcr	JS	Rin	Jty	Lin	Rea	0
lift-stateless	4,882	9.1%	Ful	Sca	Nty	Non	Lin	Rea	0
spring	4,449	8.3%	Ful	Jav	Svt	Tom	Lin	Rea	0
tornado	4,051	7.5%	Plt	Py	Tor	Non	Lin	Rea	0
php-phalcon-micro	3,977	7.4%	Mcr	PHP	FPM	ngx	Lin	Rea	0
dart	3,954	7.4%	Plt	Dar	Dar	ngx	Lin	Rea	0
treefrog	3,927	7.3%	Ful	C++	Tre	Non	Lin	Rea	0
