Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
go	1.2 ms	0.0%	0.3 ms	12.8 ms	0
servlet	1.2 ms	0.0%	0.2 ms	11.1 ms	0
gemini	1.2 ms	0.0%	0.4 ms	9.5 ms	0
vertx	1.2 ms	0.0%	0.4 ms	18.7 ms	0
grizzly	1.2 ms	0.0%	0.5 ms	27.0 ms	0
spray	1.2 ms	0.0%	1.2 ms	625.1 ms	0
jetty-servlet	1.3 ms	0.0%	1.3 ms	34.1 ms	0
netty	1.3 ms	0.0%	0.4 ms	24.0 ms	0
undertow	1.3 ms	0.0%	2.3 ms	624.9 ms	0
ur/web	1.3 ms	0.0%	0.4 ms	2.8 ms	0
cpoll_cppsp	1.3 ms	0.0%	0.1 ms	3.7 ms	0
openresty	1.3 ms	0.0%	1.7 ms	623.8 ms	0
plain	1.5 ms	0.0%	1.4 ms	64.0 ms	0
rack-jruby	1.5 ms	0.0%	14.2 ms	1460.0 ms	0
revel	1.6 ms	0.0%	0.7 ms	13.1 ms	0
falcore	1.6 ms	0.0%	0.8 ms	13.8 ms	0
spark	1.6 ms	0.0%	3.5 ms	86.0 ms	0
unfiltered	1.7 ms	0.0%	1.0 ms	23.0 ms	0
rails-stripped-ruby	1.7 ms	0.0%	8.5 ms	277.4 ms	0
rails-ruby	1.8 ms	0.0%	9.0 ms	241.6 ms	0
beego	1.8 ms	0.0%	0.8 ms	24.3 ms	0
plain-windows	1.8 ms	0.0%	0.2 ms	8.0 ms	0
plain-servlet-linux	1.8 ms	0.0%	2.0 ms	27.8 ms	0
http-kit	1.9 ms	0.0%	1.6 ms	213.3 ms	0
wsgi-nginx-uWSGI	2.1 ms	0.0%	2.1 ms	72.9 ms	0
webgo	2.1 ms	0.0%	1.0 ms	20.5 ms	0
wai	2.1 ms	0.0%	2.8 ms	44.6 ms	0
tapestry	2.3 ms	0.0%	3.4 ms	86.4 ms	0
grizzly-jersey	2.3 ms	0.0%	4.0 ms	61.1 ms	0
restexpress	2.5 ms	0.0%	24.3 ms	641.6 ms	0
compojure	2.8 ms	0.1%	7.5 ms	147.2 ms	0
http-listener	2.8 ms	0.1%	2.5 ms	42.3 ms	0
falcon-pypy	2.8 ms	0.1%	9.3 ms	586.2 ms	0
evhttp-sharp	2.8 ms	0.1%	1.3 ms	13.4 ms	0
dancer	3.0 ms	0.1%	7.4 ms	62.3 ms	0
bottle-pypy	3.2 ms	0.1%	9.7 ms	528.1 ms	0
wicket	3.2 ms	0.1%	0.3 ms	13.8 ms	0
rack-ruby	3.2 ms	0.1%	2.8 ms	43.8 ms	0
mojolicious	3.4 ms	0.1%	8.9 ms	73.8 ms	0
play-scala-anorm	3.5 ms	0.1%	2.5 ms	21.6 ms	0
tornado-pypy	3.5 ms	0.1%	2.8 ms	87.8 ms	0
bottle-nginx-uWSGI	3.6 ms	0.1%	3.5 ms	500.8 ms	0
web-simple	3.7 ms	0.1%	5.1 ms	66.1 ms	0
nodejs	3.7 ms	0.1%	1.2 ms	12.5 ms	0
kelp	3.7 ms	0.1%	5.7 ms	44.4 ms	0
ninja-standalone	3.8 ms	0.1%	3.3 ms	30.2 ms	0
ninja	3.8 ms	0.1%	3.3 ms	30.2 ms	0
wsgi	3.9 ms	0.1%	0.7 ms	11.1 ms	0
uwsgi-nginx-uWSGI	3.9 ms	0.1%	3.1 ms	46.9 ms	0
play-scala-anorm	4.0 ms	0.1%	23.8 ms	635.6 ms	0
yesod	4.1 ms	0.1%	3.9 ms	92.1 ms	0
play1-siena	4.2 ms	0.1%	8.2 ms	91.9 ms	0
scalatra	4.2 ms	0.1%	18.6 ms	234.7 ms	0
aspnet-stripped	4.3 ms	0.1%	2.0 ms	60.5 ms	0
php	4.6 ms	0.1%	6.0 ms	275.3 ms	0
jester	4.6 ms	0.1%	35.1 ms	1010.0 ms	0
bottle	5.1 ms	0.1%	8.6 ms	50.2 ms	0
falcon	5.3 ms	0.1%	8.5 ms	46.9 ms	0
luminus	5.3 ms	0.1%	23.2 ms	351.0 ms	0
falcon-py3	5.6 ms	0.1%	9.1 ms	41.3 ms	0
hhvm	5.7 ms	0.1%	1.7 ms	24.9 ms	0
express	5.8 ms	0.1%	1.0 ms	19.3 ms	0
dropwizard	6.0 ms	0.1%	41.5 ms	651.9 ms	0
ringojs	6.3 ms	0.1%	21.1 ms	626.9 ms	0
grails	6.4 ms	0.1%	17.4 ms	182.8 ms	0
play-java-jpa	6.6 ms	0.1%	37.4 ms	638.7 ms	0
lift-stateless	6.6 ms	0.1%	8.9 ms	630.2 ms	0
bottle-py3	7.0 ms	0.1%	9.6 ms	40.6 ms	0
spring	7.2 ms	0.1%	7.0 ms	147.7 ms	0
plack	7.8 ms	0.2%	2.5 ms	28.3 ms	0
dart	7.8 ms	0.2%	29.9 ms	1020.0 ms	0
ringojs-conv	8.0 ms	0.2%	24.2 ms	646.1 ms	0
snap	8.0 ms	0.2%	0.8 ms	16.9 ms	0
aspnet-svcstk	8.7 ms	0.2%	4.1 ms	99.6 ms	0
aspnet-jsonnet	8.7 ms	0.2%	4.6 ms	208.3 ms	0
treefrog	8.7 ms	0.2%	6.2 ms	87.1 ms	0
start	8.8 ms	0.2%	24.0 ms	1130.0 ms	0
stream	9.0 ms	0.2%	26.6 ms	1040.0 ms	0
aspnet	9.3 ms	0.2%	5.8 ms	193.9 ms	0
yaf-raw	10.2 ms	0.2%	22.0 ms	1310.0 ms	0
php-phalcon-micro	10.7 ms	0.2%	42.4 ms	1050.0 ms	0
tornado	11.3 ms	0.2%	3.1 ms	20.0 ms	0
pyramid-py2	11.4 ms	0.2%	40.8 ms	3310.0 ms	0
sinatra-ruby	11.5 ms	0.2%	273.4 ms	7090.0 ms	0
nancy	12.1 ms	0.2%	14.9 ms	356.0 ms	0
php-phalcon	13.5 ms	0.3%	17.0 ms	588.4 ms	0
tornado-py3	13.5 ms	0.3%	4.7 ms	30.1 ms	0
pyramid-py3	13.6 ms	0.3%	87.5 ms	13890.0 ms	0
nancy-libevent2	14.5 ms	0.3%	22.8 ms	1040.0 ms	0
hapi	15.4 ms	0.3%	7.4 ms	56.2 ms	0
micromvc	17.8 ms	0.3%	20.5 ms	1080.0 ms	0
play1	19.2 ms	0.4%	33.4 ms	641.2 ms	0
phpixie	21.9 ms	0.4%	99.8 ms	3010.0 ms	0
django-postgresql	28.9 ms	0.6%	15.5 ms	109.4 ms	0
django	29.0 ms	0.6%	18.6 ms	724.7 ms	0
django-py3	31.6 ms	0.6%	15.2 ms	107.2 ms	0
rails-stripped-jruby	49.0 ms	0.9%	28.8 ms	1660.0 ms	0
slim	52.3 ms	1.0%	27.7 ms	258.0 ms	0
sinatra-jruby	59.8 ms	1.2%	27.4 ms	758.1 ms	0
codeigniter	61.1 ms	1.2%	140.0 ms	5130.0 ms	0
rails-jruby	67.9 ms	1.3%	32.4 ms	748.8 ms	0
php-kohana	68.3 ms	1.3%	70.1 ms	3700.0 ms	0
silex	101.7 ms	2.0%	233.8 ms	3230.0 ms	0
lithium	106.1 ms	2.1%	299.4 ms	5680.0 ms	0
silex-orm	109.7 ms	2.1%	109.9 ms	521.3 ms	14,205
fuel	124.0 ms	2.4%	382.2 ms	8020.0 ms	0
cake	145.1 ms	2.8%	108.3 ms	1380.0 ms	0
symfony2	300.4 ms	5.8%	296.0 ms	1940.0 ms	6,320
symfony2	306.9 ms	5.9%	283.1 ms	1710.0 ms	6,334
servicestack-nginx-d	671.5 ms	13.0%	476.1 ms	1040.0 ms	2,827
