Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	IA	Errors
go	215,078	100.0%	Plt	Go	Go	Non	Lin	Rea	0
servlet	213,974	99.5%	Plt	Jav	Svt	Res	Lin	Rea	0
vertx	213,608	99.3%	Plt	Jav	vtx	Non	Lin	Rea	0
gemini	212,819	98.9%	Ful	Jav	Svt	Res	Lin	Rea	0
grizzly	209,989	97.6%	Mcr	Jav	Svt	Grz	Lin	Rea	0
spray	206,513	96.0%	Mcr	Sca	Spr	Non	Lin	Rea	0
netty	201,796	93.8%	Plt	Jav	Nty	Non	Lin	Rea	0
jetty-servlet	199,960	93.0%	Plt	Jav	Jty	Jty	Lin	Rea	0
undertow	197,863	92.0%	Plt	Jav	Utw	Non	Lin	Rea	0
cpoll_cppsp	193,565	90.0%	Mcr	C++	Cpl	Non	Lin	Rea	0
spark	189,094	87.9%	Mcr	Jav	Svt	Res	Lin	Rea	0
openresty	186,807	86.9%	Plt	Lua	OpR	ngx	Lin	Rea	0
rack-jruby	185,611	86.3%	Plt	Rby	JRb	Tor	Lin	Rea	0
plain	178,012	82.8%	Ful	Sca	Pla	Non	Lin	Rea	0
revel	164,276	76.4%	Ful	Go	Go	Non	Lin	Rea	0
falcore	158,006	73.5%	Mcr	Go	Go	Non	Lin	Rea	0
unfiltered	156,245	72.6%	Mcr	Sca	Nty	Non	Lin	Rea	0
restexpress	155,362	72.2%	Mcr	Jav	Nty	Non	Lin	Rea	0
plain-servlet-linux	154,486	71.8%	Ful	Sca	Pla	Non	Lin	Rea	0
beego	145,869	67.8%	Mcr	Go	Go	Non	Lin	Rea	0
plain-windows	139,825	65.0%	Ful	Sca	Pla	Non	Win	Rea	0
http-kit	134,255	62.4%	Plt	Clj	htk	Non	Lin	Rea	0
wai	129,822	60.4%	Plt	Hkl	Wai	Wrp	Lin	Rea	0
grizzly-jersey	122,721	57.1%	Mcr	Jav	Svt	Grz	Lin	Rea	0
webgo	120,802	56.2%	Mcr	Go	Go	Non	Lin	Rea	0
tapestry	114,489	53.2%	Ful	Jav	Svt	Res	Lin	Rea	0
compojure	113,734	52.9%	Mcr	Clj	Svt	Res	Lin	Rea	0
wsgi-nginx-uWSGI	109,429	50.9%	Plt	Py	uWS	ngx	Lin	Rea	0
http-listener	107,513	50.0%	Plt	C#	Net	hts	Win	Rea	0
scalatra	106,016	49.3%	Mcr	Sca	Svt	Res	Lin	Rea	0
dropwizard	103,484	48.1%	Ful	Jav	Jty	Jty	Lin	Rea	0
play-scala-anorm	97,430	45.3%	Ful	Sca	Nty	Non	Lin	Rea	0
evhttp-sharp	91,557	42.6%	Mcr	C#	Mon	Non	Lin	Rea	0
bottle-pypy	88,765	41.3%	Mcr	Py	Gun	Non	Lin	Rea	0
falcon-pypy	85,926	40.0%	Mcr	Py	Gun	Non	Lin	Rea	0
tornado-pypy	80,862	37.6%	Plt	Py	Tor	Non	Lin	Rea	0
play1-siena	80,065	37.2%	Ful	Jav	Nty	Non	Lin	Rea	0
wicket	79,049	36.8%	Ful	Jav	Svt	Res	Lin	Rea	0
luminus	75,614	35.2%	Mcr	Clj	Svt	Res	Lin	Rea	0
