Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
rails-stripped-ruby	52.6 ms	1.2%	432.1 ms	4550.0 ms	211,320
sinatra-ruby	121.2 ms	2.8%	616.6 ms	3760.0 ms	200,496
tornado-py3	175.5 ms	4.1%	246.7 ms	522.3 ms	105
undertow	217.2 ms	5.1%	78.7 ms	733.5 ms	32
start	218.0 ms	5.1%	86.2 ms	618.0 ms	119,768
rails-ruby	223.4 ms	5.2%	953.4 ms	4730.0 ms	203,655
vertx	267.9 ms	6.3%	43.4 ms	491.0 ms	0
stream	272.1 ms	6.4%	608.4 ms	5760.0 ms	22
servlet-postgres-raw	301.5 ms	7.1%	192.2 ms	1080.0 ms	0
undertow	328.9 ms	7.7%	190.9 ms	1650.0 ms	0
go	335.4 ms	7.9%	123.0 ms	1050.0 ms	0
revel	338.0 ms	7.9%	83.3 ms	654.0 ms	0
gemini	351.2 ms	8.2%	133.0 ms	847.0 ms	0
revel-qbs	352.5 ms	8.3%	64.3 ms	618.1 ms	0
falcore	362.7 ms	8.5%	119.6 ms	1030.0 ms	0
undertow	363.9 ms	8.5%	125.9 ms	884.6 ms	0
yaf-raw	379.3 ms	8.9%	155.2 ms	1040.0 ms	0
servlet-raw	383.8 ms	9.0%	114.6 ms	855.5 ms	0
openresty	387.9 ms	9.1%	95.8 ms	947.3 ms	0
php-phalcon-micro	388.1 ms	9.1%	181.0 ms	1050.0 ms	0
php-raw	394.5 ms	9.3%	107.8 ms	938.5 ms	0
dropwizard	397.6 ms	9.3%	187.2 ms	1130.0 ms	0
restexpress-mongodb	405.3 ms	9.5%	123.5 ms	792.5 ms	0
ringojs	444.1 ms	10.4%	88.7 ms	841.8 ms	0
scalatra-raw	444.1 ms	10.4%	136.2 ms	1370.0 ms	0
wicket	449.2 ms	10.5%	90.0 ms	660.3 ms	0
nodejs-mongodb-raw	455.4 ms	10.7%	164.4 ms	911.0 ms	0
tapestry	469.9 ms	11.0%	125.3 ms	1040.0 ms	0
play1-siena	476.2 ms	11.2%	20.1 ms	605.0 ms	0
grails	535.0 ms	12.6%	109.0 ms	913.0 ms	0
dart	557.5 ms	13.1%	455.9 ms	1980.0 ms	0
http-kit	563.6 ms	13.2%	56.3 ms	687.5 ms	0
luminus-raw	580.1 ms	13.6%	266.4 ms	1600.0 ms	0
stream	589.6 ms	13.8%	613.7 ms	2330.0 ms	0
play-java-ebean	590.5 ms	13.9%	443.1 ms	2450.0 ms	0
tornado-pypy	591.5 ms	13.9%	357.6 ms	1140.0 ms	13
start	594.0 ms	13.9%	558.1 ms	3930.0 ms	0
lift-stateless	616.8 ms	14.5%	124.2 ms	1040.0 ms	0
flask-pypy	638.3 ms	15.0%	535.4 ms	3310.0 ms	0
compojure-raw	666.4 ms	15.6%	338.6 ms	1940.0 ms	0
