Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	DB	Dos	Orm	IA	Errors
undertow	1,137	100.0%	Plt	Jav	Utw	Non	Lin	Mo	Lin	Raw	Rea	32
stream	962	84.6%	Mcr	Dar	Dar	ngx	Lin	Mo	Lin	Raw	Rea	22
vertx	890	78.3%	Plt	Jav	vtx	Non	Lin	Mo	Lin	Raw	Rea	0
go	746	65.6%	Plt	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
gemini	735	64.6%	Ful	Jav	Svt	Res	Lin	My	Lin	Mcr	Rea	0
revel	733	64.5%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
senthot	721	63.4%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
falcore	719	63.2%	Mcr	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
revel-qbs	715	62.9%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
undertow	684	60.2%	Plt	Jav	Utw	Non	Lin	My	Lin	Raw	Rea	0
undertow	669	58.8%	Plt	Jav	Utw	Non	Lin	Pg	Lin	Raw	Rea	0
yaf-raw	661	58.1%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
servlet-raw	658	57.9%	Plt	Jav	Svt	Res	Lin	My	Lin	Raw	Rea	0
servlet-postgres-raw	653	57.4%	Plt	Jav	Svt	Res	Lin	Pg	Lin	Raw	Rea	0
openresty	642	56.5%	Plt	Lua	OpR	ngx	Lin	My	Lin	Raw	Rea	0
php-raw	636	55.9%	Plt	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
php-phalcon-micro	633	55.7%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
dropwizard	609	53.6%	Ful	Jav	Jty	Jty	Lin	My	Lin	Ful	Rea	0
restexpress-mongodb	596	52.4%	Mcr	Jav	Nty	Non	Lin	Mo	Lin	Raw	Rea	0
nodejs-mongodb-raw	574	50.5%	Plt	JS	njs	Non	Lin	Mo	Lin	Raw	Rea	0
scalatra-raw	562	49.4%	Mcr	Sca	Svt	Res	Lin	My	Lin	Raw	Rea	0
ringojs	561	49.3%	Plt	JS	Rin	Jty	Lin	My	Lin	Raw	Rea	0
wicket	555	48.8%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
tapestry	542	47.7%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
play1-siena	534	47.0%	Ful	Jav	Nty	Non	Lin	My	Lin	Ful	Rea	0
play-java-ebean	512	45.0%	Ful	Jav	Nty	Non	Lin	My	Lin	Ful	Rea	0
grails	475	41.8%	Ful	Grv	Svt	Res	Lin	My	Lin	Ful	Rea	0
dart	453	39.8%	Plt	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
http-kit	445	39.1%	Plt	Clj	htk	Non	Lin	My	Lin	Raw	Rea	0
flask-pypy	442	38.9%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
luminus-raw	437	38.4%	Mcr	Clj	Svt	Res	Lin	My	Lin	Raw	Rea	0
start	427	37.6%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
stream	426	37.5%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
lift-stateless	397	34.9%	Ful	Sca	Nty	Non	Lin	My	Lin	Ful	Rea	0
tornado-pypy	395	34.7%	Plt	Py	Tor	Non	Lin	Mo	Lin	Raw	Rea	13
compojure-raw	373	32.8%	Mcr	Clj	Svt	Res	Lin	My	Lin	Raw	Rea	0
grizzly-jersey	363	31.9%	Mcr	Jav	Svt	Grz	Lin	My	Lin	Ful	Rea	0
bottle-mysql-raw	362	31.8%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
unfiltered	338	29.7%	Mcr	Sca	Nty	Non	Lin	My	Lin	Mcr	Rea	0
flask	330	29.0%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
luminus	310	27.3%	Mcr	Clj	Svt	Res	Lin	My	Lin	Ful	Rea	0
yesod	291	25.6%	Mcr	Hkl	Wai	Wrp	Lin	Mo	Lin	Raw	Rea	0
play-scala-anorm	290	25.5%	Ful	Sca	Nty	Non	Lin	My	Lin	Ful	Rea	0
ringojs-conv	275	24.2%	Mcr	JS	Rin	Jty	Lin	My	Lin	Mcr	Rea	0
play1	268	23.6%	Ful	Jav	Nty	Non	Lin	My	Lin	Ful	Rea	0
compojure	266	23.4%	Mcr	Clj	Svt	Res	Lin	My	Lin	Mcr	Rea	0
codeigniter-raw	258	22.7%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
spring	257	22.6%	Ful	Jav	Svt	Tom	Lin	My	Lin	Ful	Rea	0
play-java-jpa	250	22.0%	Ful	Jav	Nty	Non	Lin	My	Lin	Ful	Rea	0
micromvc	248	21.8%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
express-mysql	238	20.9%	Mcr	JS	njs	Non	Lin	My	Lin	Ful	Rea	0
hapi-mysql	230	20.2%	Mcr	JS	njs	Non	Lin	My	Lin	Raw	Rea	0
nodejs-mysql	230	20.2%	Plt	JS	njs	Non	Lin	My	Lin	Ful	Rea	0
phpixie	227	20.0%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
play-slick	226	19.9%	Ful	Sca	Nty	Non	Lin	My	Lin	Raw	Rea	0
yesod	222	19.5%	Mcr	Hkl	Wai	Wrp	Lin	My	Lin	Raw	Rea	0
flask-pypy	221	19.4%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
servicestack	216	19.0%	Plt	C#	Mon	ngx	Lin	Mo	Lin	Raw	Rea	0
ninja-standalone	212	18.6%	Ful	Jav	Jty	Jty	Lin	My	Lin	Ful	Rea	0
