Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
sinatra-ruby	19.0 ms	0.7%	63.8 ms	770.4 ms	0
rails-ruby	19.1 ms	0.7%	84.9 ms	1310.0 ms	0
vertx	20.5 ms	0.8%	21.8 ms	507.6 ms	0
rails-stripped-ruby	22.2 ms	0.8%	72.8 ms	967.4 ms	0
go	28.6 ms	1.1%	27.3 ms	368.4 ms	0
revel-qbs	28.7 ms	1.1%	24.5 ms	205.0 ms	0
falcore	28.7 ms	1.1%	27.8 ms	291.6 ms	0
revel	28.9 ms	1.1%	27.0 ms	217.0 ms	0
servlet-raw	30.1 ms	1.1%	45.3 ms	1180.0 ms	0
undertow	30.6 ms	1.2%	32.9 ms	797.9 ms	0
undertow	33.2 ms	1.3%	145.8 ms	1990.0 ms	15
restexpress-mongodb	37.5 ms	1.4%	39.0 ms	690.1 ms	0
http-kit	42.9 ms	1.6%	2.8 ms	52.9 ms	0
undertow	46.8 ms	1.8%	85.7 ms	456.0 ms	0
scalatra-raw	48.8 ms	1.8%	38.3 ms	545.3 ms	0
unfiltered	52.0 ms	2.0%	4.3 ms	75.0 ms	0
servlet-postgres-raw	54.3 ms	2.0%	110.0 ms	971.5 ms	0
tornado-pypy	55.8 ms	2.1%	23.5 ms	171.9 ms	9
compojure-raw	57.5 ms	2.2%	114.0 ms	1150.0 ms	0
luminus-raw	60.4 ms	2.3%	123.5 ms	1820.0 ms	0
ringojs	62.7 ms	2.4%	33.8 ms	301.7 ms	0
nodejs-mysql	66.5 ms	2.5%	34.4 ms	376.9 ms	0
compojure	69.7 ms	2.6%	73.1 ms	1010.0 ms	0
express-mysql	72.2 ms	2.7%	46.8 ms	496.2 ms	0
plack	72.3 ms	2.7%	33.4 ms	313.3 ms	0
luminus	72.7 ms	2.7%	64.0 ms	772.9 ms	0
tapestry	74.1 ms	2.8%	60.2 ms	1430.0 ms	0
gemini	75.2 ms	2.8%	147.7 ms	599.6 ms	0
yesod	75.7 ms	2.9%	58.8 ms	578.7 ms	0
play-java-ebean	77.3 ms	2.9%	36.4 ms	772.9 ms	0
nodejs-mongodb-raw	80.7 ms	3.0%	118.0 ms	703.9 ms	0
play-slick	81.5 ms	3.1%	118.4 ms	1580.0 ms	0
