Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	DB	Dos	Orm	IA	Errors
undertow	12,016	100.0%	Plt	Jav	Utw	Non	Lin	Mo	Lin	Raw	Rea	15
vertx	11,964	99.6%	Plt	Jav	vtx	Non	Lin	Mo	Lin	Raw	Rea	0
revel-qbs	9,490	79.0%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
go	9,487	79.0%	Plt	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
revel	9,374	78.0%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
falcore	9,258	77.0%	Mcr	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
gemini	9,205	76.6%	Ful	Jav	Svt	Res	Lin	My	Lin	Mcr	Rea	0
openresty	9,014	75.0%	Plt	Lua	OpR	ngx	Lin	My	Lin	Raw	Rea	0
servlet-raw	8,809	73.3%	Plt	Jav	Svt	Res	Lin	My	Lin	Raw	Rea	0
undertow	8,681	72.2%	Plt	Jav	Utw	Non	Lin	My	Lin	Raw	Rea	0
undertow	7,892	65.7%	Plt	Jav	Utw	Non	Lin	Pg	Lin	Raw	Rea	0
restexpress-mongodb	7,544	62.8%	Mcr	Jav	Nty	Non	Lin	Mo	Lin	Raw	Rea	0
servlet-postgres-raw	6,735	56.1%	Plt	Jav	Svt	Res	Lin	Pg	Lin	Raw	Rea	0
http-kit	6,019	50.1%	Plt	Clj	htk	Non	Lin	My	Lin	Raw	Rea	0
scalatra-raw	5,799	48.3%	Mcr	Sca	Svt	Res	Lin	My	Lin	Raw	Rea	0
tornado-pypy	5,712	47.5%	Plt	Py	Tor	Non	Lin	Mo	Lin	Raw	Rea	9
wicket	5,450	45.4%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
unfiltered	4,948	41.2%	Mcr	Sca	Nty	Non	Lin	My	Lin	Mcr	Rea	0
compojure-raw	4,875	40.6%	Mcr	Clj	Svt	Res	Lin	My	Lin	Raw	Rea	0
luminus-raw	4,675	38.9%	Mcr	Clj	Svt	Res	Lin	My	Lin	Raw	Rea	0
nodejs-mongodb-raw	4,515	37.6%	Plt	JS	njs	Non	Lin	Mo	Lin	Raw	Rea	0
plack	4,333	36.1%	Mcr	Prl	Plk	Sta	Lin	My	Lin	Raw	Rea	0
ringojs	4,125	34.3%	Plt	JS	Rin	Jty	Lin	My	Lin	Raw	Rea	0
php-raw	3,953	32.9%	Plt	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
nodejs-mysql	3,917	32.6%	Plt	JS	njs	Non	Lin	My	Lin	Ful	Rea	0
dropwizard	3,848	32.0%	Ful	Jav	Jty	Jty	Lin	My	Lin	Ful	Rea	0
compojure	3,812	31.7%	Mcr	Clj	Svt	Res	Lin	My	Lin	Mcr	Rea	0
luminus	3,673	30.6%	Mcr	Clj	Svt	Res	Lin	My	Lin	Ful	Rea	0
tapestry	3,655	30.4%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
yesod	3,638	30.3%	Mcr	Hkl	Wai	Wrp	Lin	Mo	Lin	Raw	Rea	0
express-mysql	3,583	29.8%	Mcr	JS	njs	Non	Lin	My	Lin	Ful	Rea	0
ninja-standalone	3,435	28.6%	Ful	Jav	Jty	Jty	Lin	My	Lin	Ful	Rea	0
ninja	3,435	28.6%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
play-slick	3,353	27.9%	Ful	Sca	Nty	Non	Lin	My	Lin	Raw	Rea	0
play-java-ebean	3,251	27.1%	Ful	Jav	Nty	Non	Lin	My	Lin	Ful	Rea	0
play-scala-anorm	3,205	26.7%	Ful	Sca	Nty	Non	Lin	My	Lin	Ful	Rea	0
yesod	3,088	25.7%	Mcr	Hkl	Wai	Wrp	Lin	My	Lin	Raw	Rea	0
bottle-mysql-raw	2,745	22.8%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
snap	2,691	22.4%	Mcr	Hkl	Snp	Non	Lin	My	Lin	Ful	Rea	0
play1-siena	2,676	22.3%	Ful	Jav	Nty	Non	Lin	My	Lin	Ful	Rea	0
php-phalcon-micro	2,614	21.8%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
ringojs-conv	2,595	21.6%	Mcr	JS	Rin	Jty	Lin	My	Lin	Mcr	Rea	0
dart	2,583	21.5%	Plt	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
stream	2,465	20.5%	Mcr	Dar	Dar	ngx	Lin	Mo	Lin	Raw	Rea	6
play-java-jpa	2,452	20.4%	Ful	Jav	Nty	Non	Lin	My	Lin	Ful	Rea	0
yaf-raw	2,425	20.2%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
grails	2,372	19.7%	Ful	Grv	Svt	Res	Lin	My	Lin	Ful	Rea	0
nodejs-mongodb	2,279	19.0%	Plt	JS	njs	Non	Lin	Mo	Lin	Ful	Rea	0
start	2,242	18.7%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
spring	2,194	18.3%	Ful	Jav	Svt	Tom	Lin	My	Lin	Ful	Rea	0
stream	2,178	18.1%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
flask-pypy	2,145	17.9%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
grizzly-jersey	2,137	17.8%	Mcr	Jav	Svt	Grz	Lin	My	Lin	Ful	Rea	0
express-mongodb	2,040	17.0%	Mcr	JS	njs	Non	Lin	Mo	Lin	Ful	Rea	0
start	1,954	16.3%	Mcr	Dar	Dar	ngx	Lin	Mo	Lin	Raw	Rea	0
hapi-mysql	1,943	16.2%	Mcr	JS	njs	Non	Lin	My	Lin	Raw	Rea	0
flask	1,789	14.9%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
tornado	1,656	13.8%	Plt	Py	Tor	Non	Lin	Mo	Lin	Raw	Rea	1
hapi	1,626	13.5%	Mcr	JS	njs	Non	Lin	Mo	Lin	Raw	Rea	0
treefrog	1,583	13.2%	Ful	C++	Tre	Non	Lin	My	Lin	Mcr	Rea	0
tornado-py3	1,397	11.6%	Plt	Py	Tor	Non	Lin	Mo	Lin	Raw	Rea	2
play1	1,336	11.1%	Ful	Jav	Nty	Non	Lin	My	Lin	Ful	Rea	0
sinatra-jruby	1,163	9.7%	Mcr	Rby	JRb	Tor	Lin	My	Lin	Ful	Rea	0
bottle	1,104	9.2%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
senthot	1,093	9.1%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
sinatra-ruby	1,019	8.5%	Mcr	Rby	Rac	Uni	Lin	My	Lin	Ful	Rea	0
micromvc	999	8.3%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
flask	970	8.1%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
bottle-py3	957	8.0%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
rails-stripped-jruby	920	7.7%	Ful	Rby	JRb	Tor	Lin	My	Lin	Ful	Str	0
django-postgresql	909	7.6%	Ful	Py	Gun	Non	Lin	Pg	Lin	Ful	Rea	0
django	882	7.3%	Ful	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
flask-py3	874	7.3%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
flask-pypy	864	7.2%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
rails-stripped-ruby	807	6.7%	Ful	Rby	Rac	Uni	Lin	My	Lin	Ful	Str	0
phpixie	806	6.7%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
django-py3	803	6.7%	Ful	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
rails-jruby	763	6.3%	Ful	Rby	JRb	Tor	Lin	My	Lin	Ful	Rea	0
rails-ruby	671	5.6%	Ful	Rby	Rac	Uni	Lin	My	Lin	Ful	Rea	0
php-phalcon	654	5.4%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	1,091
restexpress-mysql-ra	625	5.2%	Mcr	Jav	Nty	Non	Lin	My	Lin	Raw	Rea	0
php	612	5.1%	Plt	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
slim	604	5.0%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
codeigniter-raw	579	4.8%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
lift-stateless	540	4.5%	Ful	Sca	Nty	Non	Lin	My	Lin	Ful	Rea	0
servicestack	500	4.2%	Plt	C#	Mon	ngx	Lin	Mo	Lin	Raw	Rea	0
aspnet-mvc-mono	373	3.1%	Ful	C#	Mon	ngx	Lin	My	Lin	Raw	Rea	0
php-kohana-raw	362	3.0%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
lithium	308	2.6%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
aspnet-mvc-mono	278	2.3%	Ful	C#	Mon	ngx	Lin	My	Lin	Ful	Rea	0
fuel	251	2.1%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
cake	236	2.0%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
nodejs-mysql-raw	186	1.5%	Plt	JS	njs	Non	Lin	My	Lin	Raw	Rea	0
laravel-raw	133	1.1%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	1,990
servicestack	119	1.0%	Plt	C#	Mon	ngx	Lin	My	Lin	Raw	Rea	0
silex-orm	80	0.7%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	1,196
symfony2	63	0.5%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Str	929
symfony2	63	0.5%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	937
symfony2-raw	61	0.5%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	898
symfony2	60	0.5%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Str	889
