Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	DB	Dos	Orm	IA	Errors
cpoll_cppsp-raw	106,695	100.0%	Plt	C++	Cpl	Non	Lin	My	Lin	Raw	Rea	0
gemini	105,986	99.3%	Ful	Jav	Svt	Res	Lin	My	Lin	Mcr	Rea	0
openresty	102,667	96.2%	Plt	Lua	OpR	ngx	Lin	My	Lin	Raw	Rea	0
servlet-raw	99,561	93.3%	Plt	Jav	Svt	Res	Lin	My	Lin	Raw	Rea	0
undertow	96,322	90.3%	Plt	Jav	Utw	Non	Lin	My	Lin	Raw	Rea	0
go	91,074	85.4%	Plt	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
cpoll_cppsp-postgres	86,688	81.2%	Plt	C++	Cpl	Non	Lin	Pg	Lin	Raw	Rea	0
cpoll_cppsp-postgres	86,407	81.0%	Plt	C++	Cpl	Non	Lin	Pg	Lin	Raw	Rea	0
undertow	84,814	79.5%	Plt	Jav	Utw	Non	Lin	Mo	Lin	Raw	Rea	125
falcore	82,732	77.5%	Mcr	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
revel	75,231	70.5%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
revel-qbs	68,422	64.1%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
restexpress-mongodb	66,000	61.9%	Mcr	Jav	Nty	Non	Lin	Mo	Lin	Raw	Rea	0
undertow	60,822	57.0%	Plt	Jav	Utw	Non	Lin	Pg	Lin	Raw	Rea	0
http-kit	55,973	52.5%	Plt	Clj	htk	Non	Lin	My	Lin	Raw	Rea	0
servlet-postgres-raw	55,739	52.2%	Plt	Jav	Svt	Res	Lin	Pg	Lin	Raw	Rea	0
scalatra-raw	48,599	45.5%	Mcr	Sca	Svt	Res	Lin	My	Lin	Raw	Rea	0
wicket	47,214	44.3%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
php-raw	40,988	38.4%	Plt	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
unfiltered	36,630	34.3%	Mcr	Sca	Nty	Non	Lin	My	Lin	Mcr	Rea	0
vertx	35,238	33.0%	Plt	Jav	vtx	Non	Lin	Mo	Lin	Raw	Rea	0
dropwizard	34,980	32.8%	Ful	Jav	Jty	Jty	Lin	My	Lin	Ful	Rea	0
compojure-raw	34,796	32.6%	Mcr	Clj	Svt	Res	Lin	My	Lin	Raw	Rea	0
tapestry	34,479	32.3%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
