Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
start	6.6 ms	0.2%	5.6 ms	33.1 ms	718,563
ninja-standalone	19.3 ms	0.7%	20.4 ms	244.8 ms	196,373
hhvm	101.6 ms	3.5%	9.9 ms	162.3 ms	0
revel	111.5 ms	3.8%	13.8 ms	169.3 ms	0
falcore	111.9 ms	3.8%	12.8 ms	157.9 ms	0
go	114.7 ms	3.9%	12.3 ms	163.6 ms	0
cpoll_cppsp-raw	115.4 ms	3.9%	39.9 ms	443.6 ms	0
undertow	115.9 ms	3.9%	62.3 ms	1610.0 ms	0
undertow edge	118.8 ms	4.0%	31.8 ms	447.4 ms	0
ringojs	122.6 ms	4.2%	41.8 ms	418.6 ms	0
gemini	124.0 ms	4.2%	40.4 ms	517.0 ms	0
php-raw	125.3 ms	4.3%	38.3 ms	414.6 ms	0
servlet-raw	126.9 ms	4.3%	38.0 ms	354.8 ms	0
nawak	136.5 ms	4.6%	309.5 ms	1900.0 ms	0
ninja-standalone	139.6 ms	4.7%	69.0 ms	584.2 ms	2,926
undertow edge	156.1 ms	5.3%	68.4 ms	467.6 ms	0
undertow	160.8 ms	5.5%	82.3 ms	751.1 ms	0
revel-qbs	161.7 ms	5.5%	15.9 ms	215.8 ms	0
activeweb	168.2 ms	5.7%	61.9 ms	465.8 ms	0
start	177.3 ms	6.0%	148.7 ms	1040.0 ms	0
dart	179.2 ms	6.1%	141.9 ms	1070.0 ms	0
stream	182.9 ms	6.2%	154.9 ms	1620.0 ms	0
servlet-postgres-raw	185.6 ms	6.3%	63.9 ms	429.2 ms	0
grails	191.6 ms	6.5%	228.3 ms	2290.0 ms	0
bottle-mysql-raw	195.7 ms	6.7%	50.8 ms	559.1 ms	0
express-mysql	214.1 ms	7.3%	89.4 ms	425.4 ms	0
lapis	214.4 ms	7.3%	95.8 ms	582.4 ms	0
hapi-mysql	215.0 ms	7.3%	53.0 ms	348.0 ms	0
urweb-mysql	236.2 ms	8.0%	12.4 ms	289.0 ms	0
treefrog-thread	237.2 ms	8.1%	54.0 ms	412.3 ms	0
play-scala-anorm	291.8 ms	9.9%	99.0 ms	897.7 ms	0
nodejs-mysql-raw	292.7 ms	10.0%	63.0 ms	521.6 ms	0
stream	296.0 ms	10.1%	101.9 ms	524.9 ms	31
php-phalcon	300.4 ms	10.2%	154.3 ms	2800.0 ms	0
treefrog	302.7 ms	10.3%	56.0 ms	551.7 ms	0
phpixie	305.7 ms	10.4%	175.1 ms	1340.0 ms	0
flask	324.7 ms	11.0%	89.8 ms	831.7 ms	0
undertow	327.6 ms	11.1%	61.8 ms	964.6 ms	23
undertow edge	331.4 ms	11.3%	44.3 ms	493.5 ms	21
hapi	350.0 ms	11.9%	295.0 ms	1050.0 ms	0
express-mongodb	350.6 ms	11.9%	340.3 ms	1420.0 ms	0
play-slick	381.8 ms	13.0%	76.7 ms	1090.0 ms	0
spring	470.9 ms	16.0%	4.9 ms	485.9 ms	0
ringojs-conv	752.7 ms	25.6%	536.7 ms	3780.0 ms	0
flask-nginx-uwsgi	777.3 ms	26.4%	31.3 ms	863.3 ms	0
flask	788.1 ms	26.8%	211.2 ms	2080.0 ms	0
pyramid-py2	807.7 ms	27.5%	55.8 ms	1010.0 ms	8
bottle-pypy	808.1 ms	27.5%	629.0 ms	3020.0 ms	0
flask-pypy	831.0 ms	28.3%	583.2 ms	2670.0 ms	0
pyramid-py3	905.5 ms	30.8%	58.0 ms	1040.0 ms	11
rails-jruby	909.9 ms	30.9%	149.5 ms	1180.0 ms	0
flask-py3	948.3 ms	32.3%	270.9 ms	2130.0 ms	0
bottle-nginx-uwsgi	965.0 ms	32.8%	61.9 ms	1130.0 ms	0
urweb-postgres	977.9 ms	33.3%	802.1 ms	2380.0 ms	0
servicestack	987.2 ms	33.6%	160.0 ms	1130.0 ms	55
bottle	987.9 ms	33.6%	275.2 ms	2540.0 ms	8
django	992.5 ms	33.8%	278.9 ms	2380.0 ms	10
django-postgresql	994.8 ms	33.8%	268.5 ms	2390.0 ms	8
django-py3	1080.0 ms	36.7%	260.9 ms	2630.0 ms	5
servicestack	1110.0 ms	37.8%	271.0 ms	1220.0 ms	108
bottle-py3	1150.0 ms	39.1%	289.3 ms	2690.0 ms	14
rails-ruby	1210.0 ms	41.2%	87.3 ms	1390.0 ms	0
wicket	1440.0 ms	49.0%	201.3 ms	1620.0 ms	0
nodejs-mongodb-raw	1770.0 ms	60.2%	599.4 ms	2990.0 ms	0
play-activate-mysql	2940.0 ms	100.0%	2540.0 ms	9630.0 ms	5
