Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
ninja-standalone	45.7 ms	1.0%	156.9 ms	902.4 ms	123,705
plain	58.8 ms	1.2%	29.7 ms	156.4 ms	0
plain-servlet-linux	59.4 ms	1.3%	31.2 ms	217.8 ms	0
hhvm	59.4 ms	1.3%	5.0 ms	125.7 ms	0
hapi-mysql	61.1 ms	1.3%	26.4 ms	181.0 ms	0
express-mysql	61.5 ms	1.3%	25.8 ms	302.1 ms	0
nodejs-mysql-raw	62.0 ms	1.3%	27.8 ms	349.6 ms	0
plain-windows	62.3 ms	1.3%	12.2 ms	98.1 ms	0
ninja-standalone	74.2 ms	1.6%	16.1 ms	197.1 ms	1,807
go	90.0 ms	1.9%	12.5 ms	157.8 ms	0
revel	90.3 ms	1.9%	12.3 ms	139.0 ms	0
falcore	90.9 ms	1.9%	26.6 ms	433.2 ms	0
flask	100.6 ms	2.1%	10.8 ms	155.8 ms	0
bottle-mysql-raw	109.5 ms	2.3%	28.0 ms	398.3 ms	0
aspnet-mvc-mono	125.1 ms	2.6%	124.9 ms	2530.0 ms	0
express-mongodb	129.7 ms	2.7%	124.5 ms	628.8 ms	0
undertow edge	132.4 ms	2.8%	18.5 ms	213.5 ms	0
undertow	132.6 ms	2.8%	33.5 ms	392.3 ms	0
php-phalcon	136.0 ms	2.9%	63.9 ms	2110.0 ms	0
hapi	138.3 ms	2.9%	124.3 ms	584.4 ms	0
revel-qbs	141.7 ms	3.0%	17.2 ms	209.7 ms	0
dart	145.3 ms	3.1%	118.0 ms	1100.0 ms	0
start	149.7 ms	3.2%	152.6 ms	1420.0 ms	0
stream	150.1 ms	3.2%	137.3 ms	1270.0 ms	0
undertow	156.7 ms	3.3%	16.6 ms	362.6 ms	0
servlet-postgres-raw	158.2 ms	3.3%	47.0 ms	351.2 ms	0
undertow edge	159.3 ms	3.4%	12.5 ms	209.9 ms	0
cpoll_cppsp-raw	162.6 ms	3.4%	14.2 ms	211.4 ms	0
aspnet-stripped-raw	163.6 ms	3.4%	21.5 ms	259.6 ms	0
aspnet-mysql-raw	165.8 ms	3.5%	26.7 ms	335.6 ms	0
treefrog-thread	166.8 ms	3.5%	14.4 ms	226.6 ms	0
treefrog	172.7 ms	3.6%	14.8 ms	226.8 ms	0
php-raw	183.2 ms	3.9%	14.8 ms	232.2 ms	0
phpixie	183.5 ms	3.9%	62.1 ms	376.9 ms	0
activeweb	183.7 ms	3.9%	15.2 ms	240.1 ms	0
aspnet-mysql-entityf	184.7 ms	3.9%	94.0 ms	507.8 ms	0
start	191.5 ms	4.0%	133.9 ms	714.6 ms	0
undertow	192.3 ms	4.0%	24.6 ms	280.1 ms	0
undertow edge	195.0 ms	4.1%	21.9 ms	283.2 ms	0
ringojs	195.5 ms	4.1%	15.8 ms	257.9 ms	0
servlet-raw	196.1 ms	4.1%	15.9 ms	257.1 ms	0
stream	200.0 ms	4.2%	154.2 ms	953.3 ms	0
http-listener	201.7 ms	4.2%	33.3 ms	456.6 ms	0
flask-nginx-uwsgi	202.9 ms	4.3%	30.6 ms	317.3 ms	0
gemini	203.2 ms	4.3%	16.9 ms	270.0 ms	0
play-slick	216.4 ms	4.6%	46.3 ms	806.2 ms	0
bottle-nginx-uwsgi	223.4 ms	4.7%	81.4 ms	1060.0 ms	0
pyramid-py2	228.6 ms	4.8%	26.7 ms	362.1 ms	32
flask	229.8 ms	4.8%	76.9 ms	494.0 ms	0
bottle	250.0 ms	5.3%	144.9 ms	1090.0 ms	0
django-postgresql	255.3 ms	5.4%	58.4 ms	499.7 ms	0
play-scala-anorm	259.9 ms	5.5%	45.9 ms	477.6 ms	0
pyramid-py3	268.0 ms	5.6%	31.3 ms	492.1 ms	23
flask-py3	270.8 ms	5.7%	98.7 ms	802.7 ms	0
bottle-py3	283.7 ms	6.0%	167.1 ms	1300.0 ms	0
django	299.7 ms	6.3%	101.1 ms	585.7 ms	0
grails	301.5 ms	6.3%	333.2 ms	3160.0 ms	0
django-py3	314.1 ms	6.6%	78.1 ms	602.4 ms	0
urweb-mysql	325.8 ms	6.9%	91.1 ms	923.9 ms	0
aspnet-mvc-mono	368.9 ms	7.8%	149.0 ms	1080.0 ms	0
spring	420.9 ms	8.9%	5.3 ms	440.9 ms	0
flask-pypy	445.1 ms	9.4%	368.3 ms	3930.0 ms	0
ringojs-conv	468.0 ms	9.9%	353.3 ms	2350.0 ms	0
phreeze	501.4 ms	10.6%	1830.0 ms	11240.0 ms	0
lapis	508.8 ms	10.7%	463.3 ms	1210.0 ms	22,272
play-scala-anorm	601.6 ms	12.7%	143.1 ms	1270.0 ms	197
bottle-pypy	612.4 ms	12.9%	506.8 ms	3490.0 ms	0
rails-jruby	704.0 ms	14.8%	90.8 ms	993.5 ms	0
rails-ruby	889.3 ms	18.7%	28.9 ms	936.3 ms	0
wicket	1180.0 ms	24.8%	53.2 ms	1320.0 ms	0
nodejs-mongodb-raw	1470.0 ms	30.9%	1170.0 ms	4060.0 ms	0
urweb-postgres	2220.0 ms	46.7%	1230.0 ms	5210.0 ms	0
servicestack	2260.0 ms	47.6%	3400.0 ms	9650.0 ms	0
play-activate-mysql	3530.0 ms	74.3%	2250.0 ms	6570.0 ms	0
aspnet-postgresql-en	3640.0 ms	76.6%	4920.0 ms	15240.0 ms	0
aspnet-stripped-raw	4150.0 ms	87.4%	4960.0 ms	14240.0 ms	0
aspnet-postgresql-ra	4750.0 ms	100.0%	5750.0 ms	15100.0 ms	0
