Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
undertow	32.8 ms	0.3%	78.1 ms	1690.0 ms	0
undertow	33.5 ms	0.3%	55.4 ms	1870.0 ms	0
cpoll_cppsp-raw	33.5 ms	0.3%	41.6 ms	450.3 ms	0
start	35.4 ms	0.4%	94.1 ms	579.6 ms	97,297
undertow edge	36.9 ms	0.4%	45.3 ms	798.5 ms	0
undertow	37.0 ms	0.4%	128.8 ms	1790.0 ms	0
undertow edge	37.4 ms	0.4%	91.5 ms	1000.0 ms	0
servlet-raw	39.6 ms	0.4%	29.1 ms	1070.0 ms	0
go	54.2 ms	0.6%	23.5 ms	153.4 ms	0
gemini	55.5 ms	0.6%	37.0 ms	1610.0 ms	0
revel	57.9 ms	0.6%	26.0 ms	259.3 ms	0
undertow edge	59.3 ms	0.6%	199.9 ms	1420.0 ms	0
revel-qbs	66.4 ms	0.7%	30.7 ms	273.5 ms	0
compojure	86.7 ms	0.9%	62.3 ms	754.6 ms	0
play-scala-anorm	91.3 ms	0.9%	60.9 ms	902.3 ms	0
luminus	94.9 ms	1.0%	79.5 ms	1180.0 ms	0
falcore	100.9 ms	1.0%	48.4 ms	210.2 ms	0
php-raw	105.7 ms	1.1%	312.5 ms	8500.0 ms	0
wicket	106.5 ms	1.1%	57.4 ms	748.5 ms	0
dart	120.9 ms	1.2%	214.2 ms	3000.0 ms	0
play-slick	121.5 ms	1.2%	90.4 ms	841.0 ms	0
lapis	142.4 ms	1.5%	426.8 ms	1660.0 ms	0
start	143.6 ms	1.5%	293.4 ms	3190.0 ms	0
yaf-raw	150.3 ms	1.5%	59.1 ms	571.8 ms	0
treefrog	151.4 ms	1.5%	130.7 ms	943.9 ms	0
stream	164.3 ms	1.7%	332.7 ms	2450.0 ms	0
treefrog-thread	168.3 ms	1.7%	229.6 ms	1110.0 ms	0
stream	171.0 ms	1.7%	354.3 ms	3490.0 ms	0
bottle-mysql-raw	182.5 ms	1.9%	31.0 ms	421.7 ms	0
php-phalcon-micro	185.0 ms	1.9%	295.1 ms	9410.0 ms	0
flask-pypy	189.2 ms	1.9%	78.3 ms	704.2 ms	0
ninja-standalone	190.0 ms	1.9%	174.0 ms	1650.0 ms	0
ninja-standalone	190.7 ms	1.9%	72.6 ms	674.2 ms	0
plain-servlet-linux	191.8 ms	2.0%	735.6 ms	14820.0 ms	0
grails	199.7 ms	2.0%	65.0 ms	1160.0 ms	0
activeweb	205.9 ms	2.1%	91.3 ms	1190.0 ms	0
plain	217.6 ms	2.2%	918.0 ms	14950.0 ms	0
spring	232.2 ms	2.4%	8.9 ms	265.4 ms	0
urweb-postgres	233.4 ms	2.4%	14.8 ms	342.6 ms	0
flask	234.3 ms	2.4%	39.1 ms	561.5 ms	0
flask-pypy	248.2 ms	2.5%	158.6 ms	842.1 ms	0
ringojs-conv	253.4 ms	2.6%	187.6 ms	1070.0 ms	0
ringojs	262.7 ms	2.7%	206.6 ms	1130.0 ms	0
php-phalcon	270.2 ms	2.8%	452.3 ms	13520.0 ms	0
grizzly-jersey	342.4 ms	3.5%	17.8 ms	394.6 ms	0
urweb-mysql	361.4 ms	3.7%	5.4 ms	375.6 ms	0
phpixie	389.7 ms	4.0%	179.5 ms	1850.0 ms	0
bottle	402.6 ms	4.1%	71.4 ms	836.5 ms	0
flask	404.6 ms	4.1%	94.1 ms	1150.0 ms	0
bottle-nginx-uwsgi	424.9 ms	4.3%	19.0 ms	461.7 ms	0
flask-nginx-uwsgi	425.4 ms	4.3%	22.1 ms	478.1 ms	0
flask-py3	439.0 ms	4.5%	115.6 ms	1290.0 ms	0
rails-jruby	447.6 ms	4.6%	59.4 ms	680.7 ms	0
bottle-py3	448.6 ms	4.6%	97.1 ms	1190.0 ms	0
codeigniter-raw	545.7 ms	5.6%	472.1 ms	14550.0 ms	0
django-postgresql	616.1 ms	6.3%	158.9 ms	1560.0 ms	0
django	668.6 ms	6.8%	182.1 ms	1830.0 ms	0
rails-ruby	675.6 ms	6.9%	58.5 ms	1010.0 ms	0
phreeze	690.7 ms	7.0%	171.1 ms	1240.0 ms	0
django-py3	693.0 ms	7.1%	207.5 ms	1860.0 ms	0
php-kohana-raw	1290.0 ms	13.2%	1480.0 ms	6420.0 ms	0
laravel-raw	1350.0 ms	13.8%	975.3 ms	4070.0 ms	667
fuel	1370.0 ms	14.0%	265.5 ms	2170.0 ms	0
symfony2	1500.0 ms	15.3%	1630.0 ms	6240.0 ms	905
onion-raw	1960.0 ms	20.0%	2830.0 ms	7240.0 ms	26
symfony2	2090.0 ms	21.3%	2280.0 ms	6790.0 ms	781
symfony2	2470.0 ms	25.2%	2290.0 ms	7160.0 ms	758
symfony2	2500.0 ms	25.5%	2740.0 ms	8040.0 ms	608
symfony2-php-templat	8050.0 ms	82.1%	5030.0 ms	12070.0 ms	615
symfony2-raw	9800.0 ms	100.0%	4160.0 ms	11880.0 ms	882
