Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	DB	Dos	Orm	IA	Errors
cpoll_cppsp-raw	9,168	100.0%	Plt	C++	Cpl	Non	Lin	My	Lin	Raw	Rea	0
undertow	9,118	99.5%	Plt	Jav	Utw	Non	Lin	Mo	Lin	Raw	Rea	0
undertow	8,723	95.1%	Plt	Jav	Utw	Non	Lin	Pg	Lin	Raw	Rea	0
undertow edge	8,530	93.0%	Plt	Jav	Und	Non	Lin	Mo	Lin	Raw	Rea	0
undertow edge	8,324	90.8%	Plt	Jav	Und	Non	Lin	Pg	Lin	Raw	Rea	0
undertow	7,658	83.5%	Plt	Jav	Utw	Non	Lin	My	Lin	Raw	Rea	0
undertow edge	7,276	79.4%	Plt	Jav	Und	Non	Lin	My	Lin	Raw	Rea	0
servlet-raw	7,087	77.3%	Plt	Jav	Svt	Res	Lin	My	Lin	Raw	Rea	0
go	4,942	53.9%	Plt	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
gemini	4,799	52.3%	Ful	Jav	Svt	Res	Lin	My	Lin	Mcr	Rea	0
onion-raw	4,768	52.0%	Plt	C	Oni	Non	Lin	My	Lin	Raw	Rea	26
revel	4,500	49.1%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
revel-qbs	4,075	44.4%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
lapis	3,183	34.7%	Ful	Lua	OpR	ngx	Lin	Pg	Lin	Ful	Rea	0
compojure	3,102	33.8%	Mcr	Clj	Svt	Res	Lin	My	Lin	Mcr	Rea	0
php-raw	3,086	33.7%	Plt	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
falcore	2,822	30.8%	Mcr	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
luminus	2,790	30.4%	Mcr	Clj	Svt	Res	Lin	My	Lin	Ful	Rea	0
play-scala-anorm	2,782	30.3%	Ful	Sca	Nty	Non	Lin	My	Lin	Ful	Rea	0
