Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
urweb-postgres	2.1 ms	0.1%	0.5 ms	16.4 ms	0
undertow	2.2 ms	0.1%	1.9 ms	16.7 ms	0
gemini	2.3 ms	0.1%	3.2 ms	53.4 ms	0
undertow edge	2.3 ms	0.1%	2.0 ms	15.0 ms	0
undertow	2.4 ms	0.1%	2.9 ms	209.3 ms	0
undertow edge	2.4 ms	0.1%	3.0 ms	208.7 ms	0
cpoll_cppsp-raw	2.4 ms	0.1%	1.8 ms	25.3 ms	0
plain	2.5 ms	0.1%	1.2 ms	7.6 ms	0
php-raw	2.6 ms	0.1%	2.5 ms	98.5 ms	0
servlet-raw	3.1 ms	0.1%	7.9 ms	71.7 ms	0
hhvm	3.5 ms	0.1%	0.8 ms	211.3 ms	0
yaf-raw	4.5 ms	0.2%	3.9 ms	67.9 ms	0
treefrog	5.7 ms	0.2%	3.5 ms	174.5 ms	0
grizzly-jersey	5.9 ms	0.2%	1.9 ms	26.5 ms	0
php-phalcon-micro	6.3 ms	0.2%	6.5 ms	89.9 ms	0
lapis	7.0 ms	0.3%	33.1 ms	3020.0 ms	0
bottle-mysql-raw	8.6 ms	0.3%	6.0 ms	53.0 ms	0
plain-servlet-linux	8.8 ms	0.3%	4.3 ms	22.1 ms	0
dart	9.2 ms	0.4%	11.7 ms	119.9 ms	0
start	9.5 ms	0.4%	11.6 ms	130.1 ms	0
stream	9.8 ms	0.4%	12.0 ms	115.4 ms	0
play-scala-anorm	10.7 ms	0.4%	5.4 ms	87.1 ms	0
wicket	10.8 ms	0.4%	17.7 ms	264.4 ms	0
revel-qbs	13.2 ms	0.5%	4.9 ms	44.4 ms	0
play-slick	13.6 ms	0.5%	21.7 ms	296.5 ms	0
compojure	13.9 ms	0.5%	30.8 ms	646.0 ms	0
flask	14.1 ms	0.5%	7.4 ms	73.7 ms	0
luminus	14.8 ms	0.6%	10.1 ms	88.5 ms	0
php-phalcon	14.9 ms	0.6%	15.1 ms	1220.0 ms	0
go	16.0 ms	0.6%	5.3 ms	41.6 ms	0
revel	16.3 ms	0.6%	5.5 ms	42.4 ms	0
ringojs	16.6 ms	0.6%	18.8 ms	674.7 ms	0
grails	18.0 ms	0.7%	16.8 ms	200.7 ms	0
http-listener	19.7 ms	0.8%	17.6 ms	275.7 ms	0
phpixie	19.8 ms	0.8%	20.5 ms	1040.0 ms	0
undertow edge	20.6 ms	0.8%	47.9 ms	158.9 ms	0
bottle-nginx-uwsgi	22.8 ms	0.9%	7.8 ms	165.3 ms	0
pyramid-py2	23.3 ms	0.9%	5.9 ms	239.1 ms	0
spring	24.2 ms	0.9%	1.1 ms	28.9 ms	0
codeigniter-raw	25.2 ms	1.0%	12.0 ms	162.4 ms	0
bottle	26.3 ms	1.0%	13.2 ms	207.4 ms	0
flask-nginx-uwsgi	26.3 ms	1.0%	8.2 ms	159.4 ms	0
ringojs-conv	26.5 ms	1.0%	48.4 ms	498.1 ms	0
pyramid-py3	27.1 ms	1.1%	6.5 ms	301.6 ms	0
bottle-py3	28.1 ms	1.1%	14.2 ms	254.7 ms	0
flask	30.1 ms	1.2%	11.4 ms	215.3 ms	0
flask-py3	31.6 ms	1.2%	13.7 ms	201.5 ms	0
urweb-mysql	32.6 ms	1.3%	3.3 ms	47.9 ms	0
django-postgresql	33.5 ms	1.3%	13.8 ms	180.2 ms	0
django	36.3 ms	1.4%	15.4 ms	192.9 ms	0
php-kohana-raw	37.1 ms	1.4%	14.5 ms	143.3 ms	0
django-py3	37.4 ms	1.5%	17.2 ms	165.8 ms	0
undertow	38.9 ms	1.5%	125.8 ms	635.5 ms	0
bottle-pypy	39.8 ms	1.5%	72.8 ms	2520.0 ms	0
treefrog-thread	40.0 ms	1.6%	0.3 ms	44.2 ms	0
falcore	41.0 ms	1.6%	8.1 ms	76.6 ms	0
flask-pypy	49.4 ms	1.9%	54.8 ms	1300.0 ms	0
phreeze	52.1 ms	2.0%	81.7 ms	388.6 ms	0
fuel	60.1 ms	2.3%	26.8 ms	334.0 ms	0
activeweb	67.8 ms	2.6%	54.9 ms	501.7 ms	0
laravel-raw	72.1 ms	2.8%	64.3 ms	252.1 ms	32,293
ninja-standalone	74.4 ms	2.9%	15.9 ms	725.7 ms	0
rails-ruby	90.0 ms	3.5%	7.3 ms	136.9 ms	0
ninja-standalone	101.9 ms	4.0%	61.3 ms	413.7 ms	0
rails-jruby	208.0 ms	8.1%	74.0 ms	670.2 ms	0
symfony2	240.2 ms	9.3%	217.5 ms	962.4 ms	9,107
symfony2-php-templat	256.9 ms	10.0%	226.6 ms	817.3 ms	8,783
symfony2-raw	257.7 ms	10.0%	231.7 ms	944.3 ms	8,432
symfony2	277.7 ms	10.8%	235.8 ms	835.7 ms	7,858
symfony2	287.0 ms	11.2%	239.7 ms	887.2 ms	7,873
flask-pypy	2450.0 ms	95.3%	3280.0 ms	8840.0 ms	0
play-activate-mysql	2570.0 ms	100.0%	1610.0 ms	7160.0 ms	0
