Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
cpoll_cppsp	0.2 ms	0.0%	0.5 ms	134.6 ms	0
gemini	0.3 ms	0.0%	0.7 ms	69.2 ms	0
undertow	0.3 ms	0.0%	0.8 ms	74.8 ms	0
netty	0.3 ms	0.0%	1.0 ms	67.0 ms	0
undertow edge	0.3 ms	0.0%	1.1 ms	82.0 ms	0
servlet	0.4 ms	0.0%	2.0 ms	61.7 ms	0
grizzly	0.4 ms	0.0%	1.7 ms	63.0 ms	0
openresty	0.6 ms	0.0%	0.6 ms	39.0 ms	0
ur/web	0.6 ms	0.0%	0.3 ms	9.6 ms	0
go	0.7 ms	0.0%	0.8 ms	8.6 ms	0
rack-jruby	0.7 ms	0.0%	0.8 ms	16.2 ms	0
beego	0.8 ms	0.0%	0.8 ms	7.5 ms	0
cowboy	0.8 ms	0.0%	0.3 ms	3.7 ms	0
revel	0.8 ms	0.0%	0.9 ms	9.3 ms	0
falcore	0.9 ms	0.0%	0.8 ms	8.9 ms	0
elli	0.9 ms	0.0%	0.6 ms	11.0 ms	0
jetty-servlet	1.0 ms	0.0%	0.9 ms	12.2 ms	0
lapis	1.0 ms	0.0%	0.8 ms	12.8 ms	0
nodejs	1.0 ms	0.0%	0.5 ms	15.9 ms	0
restexpress	1.1 ms	0.0%	1.0 ms	10.8 ms	0
treefrog-thread	1.1 ms	0.0%	0.8 ms	15.4 ms	0
wsgi	1.1 ms	0.0%	0.4 ms	44.7 ms	0
wicket	1.1 ms	0.0%	4.7 ms	93.3 ms	0
webgo	1.2 ms	0.0%	1.5 ms	18.9 ms	0
plain	1.2 ms	0.0%	0.7 ms	10.0 ms	0
plain-windows	1.3 ms	0.0%	0.2 ms	3.8 ms	0
activeweb	1.3 ms	0.0%	2.8 ms	37.4 ms	0
plain-servlet-linux	1.4 ms	0.0%	0.8 ms	9.5 ms	0
play-scala-anorm	1.4 ms	0.0%	2.6 ms	210.7 ms	0
dropwizard	1.4 ms	0.0%	2.8 ms	26.2 ms	0
grizzly-jersey	1.4 ms	0.0%	1.8 ms	17.2 ms	0
