Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	IA	Errors
cpoll_cppsp	1,057,793	100.0%	Mcr	C++	Cpl	Non	Lin	Rea	0
gemini	914,749	86.5%	Ful	Jav	Svt	Res	Lin	Rea	0
undertow	906,076	85.7%	Plt	Jav	Utw	Non	Lin	Rea	0
undertow edge	880,042	83.2%	Plt	Jav	Und	Non	Lin	Rea	0
netty	866,318	81.9%	Plt	Jav	Nty	Non	Lin	Rea	0
servlet	831,515	78.6%	Plt	Jav	Svt	Res	Lin	Rea	0
grizzly	731,583	69.2%	Mcr	Jav	Svt	Grz	Lin	Rea	0
openresty	498,777	47.2%	Plt	Lua	OpR	ngx	Lin	Rea	0
ur/web	397,611	37.6%	Ful	Ur	Ur/	Non	Lin	Rea	0
go	348,555	33.0%	Plt	Go	Go	Non	Lin	Rea	0
wicket	344,032	32.5%	Ful	Jav	Svt	Res	Lin	Rea	0
rack-jruby	323,096	30.5%	Plt	Rby	JRb	Tor	Lin	Rea	0
lapis	312,660	29.6%	Ful	Lua	OpR	ngx	Lin	Rea	0
beego	297,377	28.1%	Mcr	Go	Go	Non	Lin	Rea	0
revel	284,683	26.9%	Ful	Go	Go	Non	Lin	Rea	0
cowboy	281,055	26.6%	Plt	Erl	Cow	Non	Lin	Rea	0
falcore	274,991	26.0%	Mcr	Go	Go	Non	Lin	Rea	0
spark	254,111	24.0%	Mcr	Jav	Svt	Res	Lin	Rea	0
jetty-servlet	245,709	23.2%	Plt	Jav	Jty	Jty	Lin	Rea	0
elli	240,704	22.8%	Plt	Erl	eli	Non	Lin	Rea	0
nodejs	228,887	21.6%	Plt	JS	njs	Non	Lin	Rea	0
restexpress	225,445	21.3%	Mcr	Jav	Nty	Non	Lin	Rea	0
treefrog-thread	223,033	21.1%	Ful	C++	Tre	Non	Lin	Rea	0
wsgi	220,602	20.9%	Plt	Py	Gun	Non	Lin	Rea	0
activeweb	220,022	20.8%	Plt	Jav	Act	Res	Lin	Rea	0
webgo	207,049	19.6%	Mcr	Go	Go	Non	Lin	Rea	0
tapestry	205,351	19.4%	Ful	Jav	Svt	Res	Lin	Rea	0
plain	200,937	19.0%	Ful	Sca	Pla	Non	Lin	Rea	0
plain-windows	196,373	18.6%	Ful	Sca	Pla	Non	Win	Rea	0
dropwizard	189,934	18.0%	Ful	Jav	Jty	Jty	Lin	Rea	0
plain-servlet-linux	182,512	17.3%	Ful	Sca	Pla	Non	Lin	Rea	0
php	180,147	17.0%	Plt	PHP	FPM	ngx	Lin	Rea	0
grizzly-jersey	176,523	16.7%	Mcr	Jav	Svt	Grz	Lin	Rea	0
play-scala-anorm	176,265	16.7%	Ful	Sca	Nty	Non	Lin	Rea	0
falcon	171,773	16.2%	Mcr	Py	Gun	Non	Lin	Rea	0
tornado-pypy	165,676	15.7%	Plt	Py	Tor	Non	Lin	Rea	0
