Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
start	6.5 ms	0.1%	5.6 ms	37.9 ms	724,843
cpoll_cppsp-raw	35.9 ms	0.6%	26.2 ms	391.4 ms	0
undertow	39.0 ms	0.6%	10.0 ms	276.7 ms	194
undertow edge	39.7 ms	0.6%	7.8 ms	88.0 ms	176
stream	40.3 ms	0.6%	148.7 ms	1780.0 ms	185
dropwizard	40.8 ms	0.6%	29.0 ms	697.1 ms	0
hhvm	41.3 ms	0.6%	7.8 ms	738.5 ms	0
servlet-raw	41.5 ms	0.6%	27.2 ms	350.2 ms	0
undertow	42.1 ms	0.7%	30.8 ms	728.1 ms	0
undertow edge	42.2 ms	0.7%	20.9 ms	222.6 ms	0
php-raw	42.6 ms	0.7%	28.1 ms	307.6 ms	0
openresty	42.8 ms	0.7%	29.8 ms	320.8 ms	0
gemini	43.1 ms	0.7%	27.6 ms	374.4 ms	0
yaf-raw	43.3 ms	0.7%	38.9 ms	411.3 ms	0
php-phalcon-micro	47.5 ms	0.7%	94.9 ms	1700.0 ms	0
cpoll_cppsp-postgres	50.5 ms	0.8%	19.3 ms	163.5 ms	0
ringojs	51.0 ms	0.8%	20.9 ms	718.9 ms	0
ninja-standalone	51.9 ms	0.8%	35.8 ms	717.9 ms	0
tapestry	52.6 ms	0.8%	18.2 ms	171.2 ms	0
play-java-ebean	54.5 ms	0.8%	27.7 ms	715.0 ms	0
revel-qbs	55.5 ms	0.9%	10.6 ms	98.8 ms	0
undertow edge	56.6 ms	0.9%	19.3 ms	164.2 ms	0
undertow	57.0 ms	0.9%	25.3 ms	735.2 ms	0
servlet-postgres-raw	58.2 ms	0.9%	24.9 ms	196.0 ms	0
nawak	58.5 ms	0.9%	140.8 ms	991.2 ms	0
wicket	58.6 ms	0.9%	14.3 ms	145.1 ms	0
ninja-standalone	58.7 ms	0.9%	26.8 ms	199.9 ms	0
scalatra-raw	62.0 ms	1.0%	16.6 ms	277.6 ms	0
grails	64.3 ms	1.0%	31.2 ms	237.7 ms	0
http-kit	73.5 ms	1.1%	10.3 ms	284.7 ms	0
nodejs-mongodb-raw	76.5 ms	1.2%	23.1 ms	163.5 ms	0
play-activate-mysql	79.9 ms	1.2%	66.7 ms	1620.0 ms	0
go	79.9 ms	1.2%	11.5 ms	121.6 ms	0
restexpress-mongodb	80.0 ms	1.2%	67.3 ms	778.5 ms	0
onion-raw	80.8 ms	1.3%	194.9 ms	7420.0 ms	83
falcore	81.1 ms	1.3%	11.7 ms	128.9 ms	0
dart	81.1 ms	1.3%	86.8 ms	430.6 ms	0
revel	81.7 ms	1.3%	11.5 ms	132.3 ms	0
lapis	82.4 ms	1.3%	35.8 ms	208.3 ms	0
stream	84.2 ms	1.3%	99.1 ms	497.8 ms	0
start	85.8 ms	1.3%	79.5 ms	761.1 ms	0
treefrog-thread	86.4 ms	1.3%	81.7 ms	1630.0 ms	0
treefrog	89.9 ms	1.4%	70.1 ms	798.8 ms	0
bottle-mysql-raw	98.7 ms	1.5%	30.6 ms	266.4 ms	0
activeweb	104.3 ms	1.6%	46.1 ms	445.1 ms	0
play-slick	107.7 ms	1.7%	44.6 ms	749.8 ms	0
play-java-jpa	108.5 ms	1.7%	57.1 ms	1580.0 ms	0
lift-stateless	114.0 ms	1.8%	21.1 ms	716.8 ms	0
