Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	DB	Dos	Orm	IA	Errors
cpoll_cppsp-raw	7,089	100.0%	Plt	C++	Cpl	Non	Lin	My	Lin	Raw	Rea	0
undertow	6,423	90.6%	Plt	Jav	Utw	Non	Lin	Mo	Lin	Raw	Rea	194
undertow edge	6,397	90.2%	Plt	Jav	Und	Non	Lin	Mo	Lin	Raw	Rea	176
hhvm	6,196	87.4%	Plt	PHP	hhv	HPH	Lin	My	Lin	Raw	Rea	0
stream	6,173	87.1%	Mcr	Dar	Dar	ngx	Lin	Mo	Lin	Raw	Rea	185
dropwizard	6,156	86.8%	Ful	Jav	Jty	Jty	Lin	My	Lin	Ful	Rea	0
undertow	6,101	86.1%	Plt	Jav	Utw	Non	Lin	My	Lin	Raw	Rea	0
servlet-raw	6,100	86.0%	Plt	Jav	Svt	Res	Lin	My	Lin	Raw	Rea	0
undertow edge	6,070	85.6%	Plt	Jav	Und	Non	Lin	My	Lin	Raw	Rea	0
php-raw	6,009	84.8%	Plt	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
openresty	6,003	84.7%	Plt	Lua	OpR	ngx	Lin	My	Lin	Raw	Rea	0
gemini	5,988	84.5%	Ful	Jav	Svt	Res	Lin	My	Lin	Mcr	Rea	0
yaf-raw	5,943	83.8%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
php-phalcon-micro	5,495	77.5%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
cpoll_cppsp-postgres	5,026	70.9%	Plt	C++	Cpl	Non	Lin	Pg	Lin	Raw	Rea	0
ringojs	4,897	69.1%	Plt	JS	Rin	Jty	Lin	My	Lin	Raw	Rea	0
ninja-standalone	4,803	67.8%	Ful	Jav	Jty	Jty	Lin	My	Lin	Ful	Rea	0
tapestry	4,798	67.7%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
play-java-ebean	4,718	66.6%	Ful	Jav	Nty	Non	Lin	My	Lin	Ful	Rea	0
kelp-raw	4,674	65.9%	Ful	Prl	Plk	Sta	Lin	My	Lin	Raw	Rea	0
revel-qbs	4,609	65.0%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
nawak	4,520	63.8%	Mcr	Nim	Nim	mon	Lin	Pg	Lin	Raw	Rea	0
undertow edge	4,440	62.6%	Plt	Jav	Und	Non	Lin	Pg	Lin	Raw	Rea	0
undertow	4,435	62.6%	Plt	Jav	Utw	Non	Lin	Pg	Lin	Raw	Rea	0
servlet-postgres-raw	4,360	61.5%	Plt	Jav	Svt	Res	Lin	Pg	Lin	Raw	Rea	0
ninja-standalone	4,336	61.2%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
wicket	4,327	61.0%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
scalatra-raw	4,189	59.1%	Mcr	Sca	Svt	Res	Lin	My	Lin	Raw	Rea	0
grails	3,917	55.3%	Ful	Grv	Svt	Res	Lin	My	Lin	Ful	Rea	0
restexpress-mongodb	3,399	47.9%	Mcr	Jav	Nty	Non	Lin	Mo	Lin	Raw	Rea	0
http-kit	3,396	47.9%	Plt	Clj	htk	Non	Lin	My	Lin	Raw	Rea	0
nodejs-mongodb-raw	3,325	46.9%	Plt	JS	njs	Non	Lin	Mo	Lin	Raw	Rea	0
go	3,207	45.2%	Plt	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
dancer-raw	3,159	44.6%	Ful	Prl	Plk	Sta	Lin	My	Lin	Raw	Rea	0
falcore	3,156	44.5%	Mcr	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
dart	3,129	44.1%	Plt	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
revel	3,122	44.0%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
play-activate-mysql	3,120	44.0%	Ful	Sca	Nty	Non	Lin	My	Lin	Ful	Rea	0
mojolicious-raw	3,090	43.6%	Ful	Prl	Plk	Sta	Lin	My	Lin	Raw	Rea	0
start	3,088	43.6%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
lapis	3,060	43.2%	Ful	Lua	OpR	ngx	Lin	Pg	Lin	Ful	Rea	0
stream	3,048	43.0%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
treefrog-thread	2,965	41.8%	Ful	C++	Tre	Non	Lin	My	Lin	Mcr	Rea	0
treefrog	2,846	40.1%	Ful	C++	Tre	Non	Lin	My	Lin	Mcr	Rea	0
bottle-mysql-raw	2,561	36.1%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
activeweb	2,451	34.6%	Plt	Jav	Act	Res	Lin	My	Lin	Raw	Rea	0
play-java-jpa	2,363	33.3%	Ful	Jav	Nty	Non	Lin	My	Lin	Ful	Rea	0
play-slick	2,296	32.4%	Ful	Sca	Nty	Non	Lin	My	Lin	Raw	Rea	0
lift-stateless	2,225	31.4%	Ful	Sca	Nty	Non	Lin	My	Lin	Ful	Rea	0
yesod	2,215	31.2%	Mcr	Hkl	Wai	Wrp	Lin	My	Lin	Raw	Rea	0
flask	2,200	31.0%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
micromvc	2,162	30.5%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
ringojs-conv	2,159	30.5%	Mcr	JS	Rin	Jty	Lin	My	Lin	Mcr	Rea	0
cpoll_cppsp-postgres	2,135	30.1%	Plt	C++	Cpl	Non	Lin	Pg	Lin	Raw	Rea	0
grizzly-jersey	2,112	29.8%	Mcr	Jav	Svt	Grz	Lin	My	Lin	Ful	Rea	0
restexpress-mysql-ra	2,060	29.1%	Mcr	Jav	Nty	Non	Lin	My	Lin	Raw	Rea	0
hapi-mysql	2,059	29.0%	Mcr	JS	njs	Non	Lin	My	Lin	Raw	Rea	0
express-mysql	2,026	28.6%	Mcr	JS	njs	Non	Lin	My	Lin	Ful	Rea	0
codeigniter-raw	1,992	28.1%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
onion-raw	1,940	27.4%	Plt	C	Oni	Non	Lin	My	Lin	Raw	Rea	83
urweb-postgres	1,897	26.8%	Ful	Ur	Ur/	Non	Lin	Pg	Lin	Mcr	Rea	0
urweb-mysql	1,897	26.8%	Ful	Ur	Ur/	Non	Lin	My	Lin	Mcr	Rea	0
