Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
start	20.9 ms	0.4%	45.8 ms	1140.0 ms	0
http-kit	21.3 ms	0.4%	1.4 ms	31.5 ms	0
dropwizard	21.4 ms	0.4%	11.3 ms	654.5 ms	0
stream	21.5 ms	0.4%	47.0 ms	1020.0 ms	0
undertow	21.6 ms	0.4%	8.8 ms	228.6 ms	0
undertow edge	21.6 ms	0.4%	8.4 ms	94.1 ms	0
tapestry	22.2 ms	0.4%	10.3 ms	134.8 ms	0
hhvm	22.3 ms	0.4%	0.8 ms	26.2 ms	0
aspnet-stripped-raw	22.8 ms	0.4%	7.4 ms	105.6 ms	0
ninja-standalone	23.1 ms	0.4%	1.9 ms	35.1 ms	0
wicket	23.5 ms	0.4%	8.7 ms	120.9 ms	0
gemini	23.9 ms	0.4%	13.2 ms	196.2 ms	0
plain	24.0 ms	0.4%	11.4 ms	47.8 ms	0
plain-servlet-linux	24.0 ms	0.4%	11.5 ms	48.1 ms	0
urweb-postgres	24.1 ms	0.4%	3.2 ms	70.2 ms	0
aspnet-mysql-raw	24.9 ms	0.4%	10.4 ms	106.8 ms	0
scalatra-raw	24.9 ms	0.4%	17.3 ms	309.9 ms	0
play-java-ebean	25.2 ms	0.4%	7.9 ms	685.5 ms	0
servlet-raw	25.6 ms	0.5%	15.8 ms	148.8 ms	0
express-mysql	26.3 ms	0.5%	9.4 ms	81.2 ms	0
bottle-mysql-raw	26.9 ms	0.5%	12.1 ms	117.5 ms	0
ringojs	27.3 ms	0.5%	15.5 ms	137.1 ms	0
ninja-standalone	27.4 ms	0.5%	13.6 ms	110.9 ms	0
nodejs-mysql	27.7 ms	0.5%	12.1 ms	114.1 ms	0
hapi-mysql	28.9 ms	0.5%	13.6 ms	132.7 ms	0
plain-windows	28.9 ms	0.5%	2.5 ms	34.6 ms	0
undertow	30.5 ms	0.5%	7.5 ms	260.0 ms	0
undertow edge	30.6 ms	0.5%	6.3 ms	64.4 ms	0
flask	31.7 ms	0.6%	16.1 ms	145.8 ms	0
nancy	32.4 ms	0.6%	17.2 ms	149.7 ms	114,349
openresty	32.7 ms	0.6%	16.8 ms	156.1 ms	0
codeigniter-raw	33.9 ms	0.6%	18.7 ms	190.2 ms	0
yaf-raw	34.6 ms	0.6%	44.4 ms	2050.0 ms	0
play1	35.7 ms	0.6%	6.2 ms	272.3 ms	0
undertow	36.0 ms	0.6%	19.3 ms	277.4 ms	0
servlet-postgres-raw	37.8 ms	0.7%	14.9 ms	168.4 ms	0
grizzly-jersey	37.9 ms	0.7%	6.7 ms	91.8 ms	0
undertow edge	38.6 ms	0.7%	26.1 ms	242.9 ms	0
phpixie	38.8 ms	0.7%	30.5 ms	279.9 ms	0
unfiltered	38.9 ms	0.7%	4.6 ms	83.2 ms	0
stream	39.8 ms	0.7%	21.9 ms	130.7 ms	0
dart	39.9 ms	0.7%	26.6 ms	192.2 ms	0
start	39.9 ms	0.7%	21.2 ms	138.4 ms	0
activeweb	40.6 ms	0.7%	9.3 ms	169.2 ms	0
php-phalcon-micro	41.6 ms	0.7%	41.7 ms	2010.0 ms	0
treefrog	41.7 ms	0.7%	20.8 ms	236.9 ms	0
treefrog-thread	42.4 ms	0.8%	16.6 ms	313.5 ms	0
php-phalcon	42.6 ms	0.8%	31.6 ms	240.3 ms	0
play-activate-mysql	43.5 ms	0.8%	82.0 ms	947.0 ms	0
nancy-libevent2	45.6 ms	0.8%	36.2 ms	369.3 ms	80,812
php-raw	47.1 ms	0.8%	39.7 ms	2070.0 ms	0
php-kohana-raw	47.7 ms	0.8%	22.1 ms	212.3 ms	0
go	50.5 ms	0.9%	8.9 ms	89.9 ms	0
falcore	50.8 ms	0.9%	9.1 ms	89.0 ms	0
revel	51.0 ms	0.9%	9.3 ms	90.5 ms	0
micromvc	52.3 ms	0.9%	4.5 ms	81.8 ms	0
urweb-mysql	52.7 ms	0.9%	3.3 ms	67.1 ms	0
revel-qbs	54.6 ms	1.0%	12.0 ms	103.0 ms	0
play-slick	54.9 ms	1.0%	10.5 ms	658.2 ms	0
nodejs-mongodb-raw	56.1 ms	1.0%	32.9 ms	230.8 ms	0
cpoll_cppsp-raw	58.9 ms	1.0%	8.9 ms	99.1 ms	0
restexpress-mongodb	59.3 ms	1.1%	21.6 ms	312.5 ms	0
yesod	59.4 ms	1.1%	21.8 ms	244.3 ms	0
cpoll_cppsp-postgres	59.8 ms	1.1%	128.9 ms	571.4 ms	4,515
nodejs-mysql-raw	62.4 ms	1.1%	24.1 ms	318.7 ms	0
ringojs-conv	70.3 ms	1.3%	25.4 ms	186.9 ms	0
phreeze	70.7 ms	1.3%	97.7 ms	432.6 ms	0
play-java-jpa	77.8 ms	1.4%	13.3 ms	676.6 ms	0
tornado-pypy	79.9 ms	1.4%	89.1 ms	997.9 ms	0
express-mongodb	81.8 ms	1.5%	72.7 ms	408.6 ms	0
nodejs-mongodb	82.6 ms	1.5%	83.6 ms	422.0 ms	0
play1-siena	83.5 ms	1.5%	2.5 ms	90.4 ms	0
hapi	85.0 ms	1.5%	78.1 ms	415.7 ms	0
grails	90.0 ms	1.6%	14.3 ms	146.7 ms	0
http-listener	92.0 ms	1.6%	31.3 ms	268.4 ms	0
fuel	95.8 ms	1.7%	42.2 ms	356.1 ms	0
aspnet-mvc-mono	104.4 ms	1.9%	189.1 ms	2470.0 ms	0
lift-stateless	108.2 ms	1.9%	19.8 ms	713.4 ms	0
django-postgresql	117.9 ms	2.1%	53.5 ms	343.2 ms	0
play-scala-anorm	120.6 ms	2.1%	19.3 ms	319.8 ms	0
flask-pypy	133.8 ms	2.4%	175.5 ms	1850.0 ms	0
django	135.7 ms	2.4%	60.0 ms	366.4 ms	0
django-py3	141.2 ms	2.5%	58.1 ms	412.0 ms	0
silex-orm	144.0 ms	2.6%	142.1 ms	797.4 ms	13,357
onion-raw	148.7 ms	2.6%	433.7 ms	6910.0 ms	71
cpoll_cppsp-postgres	155.7 ms	2.8%	118.2 ms	704.4 ms	0
restexpress-mysql-ra	160.1 ms	2.8%	143.6 ms	708.0 ms	8,087
compojure	169.2 ms	3.0%	199.9 ms	2970.0 ms	0
spring	169.6 ms	3.0%	2.3 ms	175.1 ms	0
bottle-nginx-uwsgi	170.7 ms	3.0%	33.3 ms	289.9 ms	0
compojure-raw	175.6 ms	3.1%	62.8 ms	476.4 ms	0
snap	178.1 ms	3.2%	61.1 ms	430.9 ms	0
luminus-raw	178.8 ms	3.2%	66.5 ms	493.3 ms	0
symfony2-raw	183.3 ms	3.3%	168.9 ms	790.1 ms	10,057
flask-nginx-uwsgi	184.0 ms	3.3%	36.8 ms	391.2 ms	0
luminus	192.1 ms	3.4%	220.0 ms	4340.0 ms	0
elli	195.6 ms	3.5%	7.3 ms	214.9 ms	0
symfony2	196.5 ms	3.5%	191.7 ms	1630.0 ms	9,245
bottle	204.6 ms	3.6%	90.4 ms	649.7 ms	0
pyramid-py2	214.1 ms	3.8%	34.3 ms	313.6 ms	29
flask	220.3 ms	3.9%	94.0 ms	591.1 ms	0
lithium	235.9 ms	4.2%	71.1 ms	563.4 ms	0
bottle-py3	237.0 ms	4.2%	101.1 ms	574.7 ms	0
cowboy	243.5 ms	4.3%	8.6 ms	271.3 ms	0
pyramid-py3	244.6 ms	4.4%	36.5 ms	346.9 ms	30
lapis	250.0 ms	4.4%	387.9 ms	3040.0 ms	2,413
flask-py3	253.3 ms	4.5%	97.7 ms	716.8 ms	0
symfony2	258.9 ms	4.6%	234.9 ms	902.1 ms	6,856
symfony2	259.6 ms	4.6%	238.8 ms	1120.0 ms	6,852
aspnet-mvc-mono	276.5 ms	4.9%	144.1 ms	980.9 ms	0
aspnet-mysql-entityf	300.8 ms	5.4%	261.3 ms	1520.0 ms	0
sinatra-jruby	333.7 ms	5.9%	52.6 ms	945.0 ms	0
bottle-pypy	344.6 ms	6.1%	295.6 ms	2710.0 ms	0
flask-pypy	382.4 ms	6.8%	327.5 ms	3010.0 ms	0
rails-stripped-ruby	390.3 ms	6.9%	9.6 ms	431.6 ms	0
play-scala-anorm	394.9 ms	7.0%	80.9 ms	648.7 ms	589
rails-ruby	416.3 ms	7.4%	11.3 ms	457.7 ms	0
rails-stripped-jruby	478.1 ms	8.5%	70.7 ms	730.2 ms	0
rails-jruby	504.1 ms	9.0%	81.8 ms	804.0 ms	0
tornado	639.1 ms	11.4%	1810.0 ms	7120.0 ms	0
yesod	800.9 ms	14.3%	2.2 ms	815.6 ms	0
tornado-py3	894.5 ms	15.9%	2200.0 ms	7220.0 ms	0
servicestack	1460.0 ms	26.0%	2380.0 ms	7120.0 ms	0
spark	1580.0 ms	28.1%	586.4 ms	1860.0 ms	0
aspnet-postgresql-en	2560.0 ms	45.6%	4090.0 ms	14290.0 ms	0
sinatra-ruby	3230.0 ms	57.5%	514.5 ms	5020.0 ms	0
http-listener	3780.0 ms	67.3%	4500.0 ms	15440.0 ms	0
aspnet-stripped-raw	4090.0 ms	72.8%	4590.0 ms	14180.0 ms	0
aspnet-postgresql-ra	5030.0 ms	89.5%	5390.0 ms	14220.0 ms	0
nancy	5620.0 ms	100.0%	4980.0 ms	12670.0 ms	9,866
