Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	DB	Dos	Orm	IA	Errors
start	12,859	100.0%	Mcr	Dar	Dar	ngx	Lin	Mo	Lin	Raw	Rea	0
stream	12,659	98.4%	Mcr	Dar	Dar	ngx	Lin	Mo	Lin	Raw	Rea	0
dropwizard	11,270	87.6%	Ful	Jav	Jty	Jty	Lin	My	Lin	Ful	Rea	0
http-kit	11,268	87.6%	Plt	Clj	htk	Non	Lin	My	Lin	Raw	Rea	0
undertow edge	11,101	86.3%	Plt	Jav	Und	Non	Lin	My	Lin	Raw	Rea	0
undertow	11,066	86.1%	Plt	Jav	Utw	Non	Lin	My	Lin	Raw	Rea	0
tapestry	10,948	85.1%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
hhvm	10,740	83.5%	Plt	PHP	hhv	HPH	Lin	My	Lin	Raw	Rea	0
aspnet-stripped-raw	10,720	83.4%	Ful	C#	Net	IIS	Win	My	Lin	Raw	Str	0
gemini	10,675	83.0%	Ful	Jav	Svt	Res	Lin	My	Lin	Mcr	Rea	0
ninja-standalone	10,412	81.0%	Ful	Jav	Jty	Jty	Lin	My	Lin	Ful	Rea	0
wicket	10,390	80.8%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
scalatra-raw	10,286	80.0%	Mcr	Sca	Svt	Res	Lin	My	Lin	Raw	Rea	0
servlet-raw	10,127	78.8%	Plt	Jav	Svt	Res	Lin	My	Lin	Raw	Rea	0
plain-servlet-linux	10,005	77.8%	Ful	Sca	Pla	Non	Lin	My	Lin	Ful	Rea	0
urweb-postgres	9,953	77.4%	Ful	Ur	Ur/	Non	Lin	Pg	Lin	Mcr	Rea	0
plain	9,920	77.1%	Ful	Sca	Pla	Non	Lin	My	Lin	Mcr	Rea	0
aspnet-mysql-raw	9,861	76.7%	Ful	C#	Net	IIS	Win	My	Lin	Raw	Rea	0
ringojs	9,809	76.3%	Plt	JS	Rin	Jty	Lin	My	Lin	Raw	Rea	0
play-java-ebean	9,465	73.6%	Ful	Jav	Nty	Non	Lin	My	Lin	Ful	Rea	0
express-mysql	9,238	71.8%	Mcr	JS	njs	Non	Lin	My	Lin	Ful	Rea	0
bottle-mysql-raw	9,000	70.0%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
nodejs-mysql	8,878	69.0%	Plt	JS	njs	Non	Lin	My	Lin	Ful	Rea	0
ninja-standalone	8,850	68.8%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
yaf-raw	8,512	66.2%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
hapi-mysql	8,476	65.9%	Mcr	JS	njs	Non	Lin	My	Lin	Raw	Rea	0
openresty	8,470	65.9%	Plt	Lua	OpR	ngx	Lin	My	Lin	Raw	Rea	0
plain-windows	8,014	62.3%	Ful	Sca	Pla	Non	Win	My	Lin	Ful	Rea	0
undertow edge	7,877	61.3%	Plt	Jav	Und	Non	Lin	Mo	Lin	Raw	Rea	0
undertow	7,830	60.9%	Plt	Jav	Utw	Non	Lin	Mo	Lin	Raw	Rea	0
flask	7,710	60.0%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
codeigniter-raw	7,190	55.9%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
cpoll_cppsp-postgres	7,189	55.9%	Plt	C++	Cpl	Non	Lin	Pg	Lin	Raw	Rea	4,515
php-phalcon-micro	6,964	54.2%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
undertow	6,882	53.5%	Plt	Jav	Utw	Non	Lin	Pg	Lin	Raw	Rea	0
undertow edge	6,699	52.1%	Plt	Jav	Und	Non	Lin	Pg	Lin	Raw	Rea	0
play1	6,607	51.4%	Ful	Jav	Nty	Non	Lin	My	Lin	Ful	Rea	0
servlet-postgres-raw	6,530	50.8%	Plt	Jav	Svt	Res	Lin	Pg	Lin	Raw	Rea	0
grizzly-jersey	6,333	49.2%	Mcr	Jav	Svt	Grz	Lin	My	Lin	Ful	Rea	0
phpixie	6,322	49.2%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
unfiltered	6,161	47.9%	Mcr	Sca	Nty	Non	Lin	My	Lin	Mcr	Rea	0
dart	6,104	47.5%	Plt	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
start	6,104	47.5%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
stream	6,104	47.5%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
php-raw	5,936	46.2%	Plt	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
activeweb	5,926	46.1%	Plt	Jav	Act	Res	Lin	My	Lin	Raw	Rea	0
treefrog	5,784	45.0%	Ful	C++	Tre	Non	Lin	My	Lin	Mcr	Rea	0
php-phalcon	5,764	44.8%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
treefrog-thread	5,702	44.3%	Ful	C++	Tre	Non	Lin	My	Lin	Mcr	Rea	0
play-activate-mysql	5,685	44.2%	Ful	Sca	Nty	Non	Lin	My	Lin	Ful	Rea	0
php-kohana-raw	5,031	39.1%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
go	4,759	37.0%	Plt	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
falcore	4,717	36.7%	Mcr	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
revel	4,704	36.6%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
micromvc	4,592	35.7%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
urweb-mysql	4,546	35.4%	Ful	Ur	Ur/	Non	Lin	My	Lin	Mcr	Rea	0
nodejs-mongodb-raw	4,430	34.5%	Plt	JS	njs	Non	Lin	Mo	Lin	Raw	Rea	0
revel-qbs	4,416	34.3%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
play-slick	4,322	33.6%	Ful	Sca	Nty	Non	Lin	My	Lin	Raw	Rea	0
