Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
undertow edge	146.0 ms	1.0%	257.1 ms	14240.0 ms	1,267
plain-servlet-linux	184.3 ms	1.3%	813.0 ms	14640.0 ms	0
netty	252.9 ms	1.7%	694.2 ms	14670.0 ms	0
cpoll_cppsp	569.7 ms	3.9%	363.1 ms	2080.0 ms	0
openresty	1070.0 ms	7.3%	1220.0 ms	10170.0 ms	0
rack-jruby	1100.0 ms	7.5%	1950.0 ms	8780.0 ms	413
jetty-servlet	1290.0 ms	8.8%	1480.0 ms	14470.0 ms	33
falcon-py3	2480.0 ms	16.9%	3660.0 ms	13510.0 ms	21
servlet	2640.0 ms	18.0%	5140.0 ms	13840.0 ms	743
grizzly	2690.0 ms	18.3%	5450.0 ms	14360.0 ms	0
falcon	2710.0 ms	18.5%	4370.0 ms	14600.0 ms	0
plain	2900.0 ms	19.8%	5740.0 ms	14680.0 ms	155
undertow	3120.0 ms	21.3%	5890.0 ms	14540.0 ms	1,163
treefrog-thread	3150.0 ms	21.5%	1350.0 ms	4410.0 ms	11
bottle	3370.0 ms	23.0%	4620.0 ms	13610.0 ms	0
bottle-py3	3560.0 ms	24.3%	4630.0 ms	13180.0 ms	22
ninja-standalone	3900.0 ms	26.6%	1670.0 ms	7770.0 ms	341
tornado-pypy	5280.0 ms	36.0%	915.1 ms	8990.0 ms	0
go	5940.0 ms	40.5%	6420.0 ms	14740.0 ms	0
gemini	7030.0 ms	47.9%	6780.0 ms	13940.0 ms	0
wsgi	7220.0 ms	49.2%	6920.0 ms	14530.0 ms	0
sinatra-jruby	8140.0 ms	55.5%	2880.0 ms	10060.0 ms	332
lapis	8280.0 ms	56.4%	5240.0 ms	12500.0 ms	0
start	8800.0 ms	60.0%	5570.0 ms	14440.0 ms	0
revel	9090.0 ms	62.0%	6520.0 ms	14290.0 ms	0
wicket	9160.0 ms	62.4%	6380.0 ms	14260.0 ms	0
sinatra-ruby	9230.0 ms	62.9%	4680.0 ms	12750.0 ms	0
ringojs	9290.0 ms	63.3%	2540.0 ms	10510.0 ms	217
ringojs-conv	9800.0 ms	66.8%	1950.0 ms	10460.0 ms	240
activeweb	9870.0 ms	67.3%	6040.0 ms	14660.0 ms	0
ninja-standalone	10380.0 ms	70.8%	6330.0 ms	14460.0 ms	0
spark	10600.0 ms	72.3%	6290.0 ms	14560.0 ms	0
falcore	10750.0 ms	73.3%	6080.0 ms	14500.0 ms	0
snap	10860.0 ms	74.0%	4940.0 ms	14090.0 ms	0
rack-ruby	11230.0 ms	76.6%	3500.0 ms	14070.0 ms	208
compojure	11290.0 ms	77.0%	5930.0 ms	14670.0 ms	0
spring	11500.0 ms	78.4%	4130.0 ms	14720.0 ms	0
wsgi-nginx-uwsgi	11660.0 ms	79.5%	5340.0 ms	14670.0 ms	0
luminus	11750.0 ms	80.1%	5120.0 ms	14220.0 ms	0
dart	12400.0 ms	84.5%	3210.0 ms	13640.0 ms	0
stream	13390.0 ms	91.3%	3640.0 ms	14670.0 ms	0
grails	13480.0 ms	91.9%	3310.0 ms	14590.0 ms	0
treefrog	13680.0 ms	93.3%	695.6 ms	13930.0 ms	762
php	13690.0 ms	93.3%	2770.0 ms	14580.0 ms	0
phpixie	14320.0 ms	97.6%	1220.0 ms	14630.0 ms	0
bottle-nginx-uwsgi	14670.0 ms	100.0%	713.1 ms	14750.0 ms	0
