Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
ninja-standalone	284.6 ms	2.1%	293.8 ms	588.7 ms	14
jetty-servlet	381.8 ms	2.8%	1200.0 ms	11950.0 ms	392
go	581.7 ms	4.2%	264.5 ms	8770.0 ms	0
wicket	997.5 ms	7.2%	3370.0 ms	14230.0 ms	0
revel	1020.0 ms	7.4%	319.7 ms	3490.0 ms	0
falcore	1330.0 ms	9.7%	563.5 ms	7890.0 ms	0
ur/web	1480.0 ms	10.7%	1250.0 ms	6170.0 ms	5
lapis	1800.0 ms	13.1%	4430.0 ms	14960.0 ms	1,418
cpoll_cppsp	1910.0 ms	13.9%	3400.0 ms	11960.0 ms	0
ninja-standalone	1980.0 ms	14.4%	3700.0 ms	13970.0 ms	0
grizzly	2260.0 ms	16.4%	4610.0 ms	13460.0 ms	0
tornado-pypy	2460.0 ms	17.9%	1040.0 ms	6430.0 ms	0
falcon-pypy	2940.0 ms	21.3%	1180.0 ms	6280.0 ms	0
rack-ruby	2960.0 ms	21.5%	2520.0 ms	10250.0 ms	0
netty	2970.0 ms	21.6%	4490.0 ms	10860.0 ms	0
bottle-pypy	2990.0 ms	21.7%	1010.0 ms	5460.0 ms	0
treefrog	3080.0 ms	22.4%	532.1 ms	3260.0 ms	1,065
treefrog-thread	3510.0 ms	25.5%	2910.0 ms	8490.0 ms	390
bottle-nginx-uwsgi	3590.0 ms	26.1%	1050.0 ms	4960.0 ms	0
wsgi-nginx-uwsgi	3820.0 ms	27.7%	4900.0 ms	11950.0 ms	0
snap	4090.0 ms	29.7%	3940.0 ms	13960.0 ms	0
rack-jruby	4180.0 ms	30.3%	3730.0 ms	8150.0 ms	38
spring	4180.0 ms	30.3%	1050.0 ms	4920.0 ms	0
luminus	4200.0 ms	30.5%	6530.0 ms	14960.0 ms	0
flask-py3	4260.0 ms	30.9%	4970.0 ms	14370.0 ms	0
sinatra-ruby	4260.0 ms	30.9%	6460.0 ms	14920.0 ms	1,367,488
ringojs	4780.0 ms	34.7%	2320.0 ms	8980.0 ms	2
bottle-py3	4920.0 ms	35.7%	5330.0 ms	12850.0 ms	0
gemini	5520.0 ms	40.1%	7080.0 ms	14950.0 ms	0
wsgi	5660.0 ms	41.1%	6830.0 ms	14880.0 ms	0
falcon	5870.0 ms	42.6%	6390.0 ms	14530.0 ms	0
bottle	5880.0 ms	42.7%	6420.0 ms	14660.0 ms	0
falcon-py3	5950.0 ms	43.2%	6400.0 ms	14960.0 ms	0
flask	6240.0 ms	45.3%	5960.0 ms	14950.0 ms	0
tornado-py3	6410.0 ms	46.5%	2900.0 ms	11110.0 ms	0
undertow edge	6530.0 ms	47.4%	5620.0 ms	11820.0 ms	50
ringojs-conv	6710.0 ms	48.7%	2330.0 ms	9330.0 ms	11
grails	7350.0 ms	53.3%	6890.0 ms	14970.0 ms	0
sinatra-jruby	8390.0 ms	60.9%	3580.0 ms	10640.0 ms	37
activeweb	8420.0 ms	61.1%	7120.0 ms	14960.0 ms	0
servlet	8580.0 ms	62.3%	6690.0 ms	14920.0 ms	0
undertow	9300.0 ms	67.5%	6500.0 ms	14620.0 ms	197
openresty	9550.0 ms	69.3%	5860.0 ms	13610.0 ms	292
compojure	9630.0 ms	69.9%	6600.0 ms	14950.0 ms	0
dart	10540.0 ms	76.5%	5420.0 ms	14770.0 ms	0
tornado	10820.0 ms	78.5%	3220.0 ms	13700.0 ms	0
start	10850.0 ms	78.7%	5400.0 ms	14620.0 ms	0
stream	11120.0 ms	80.7%	4870.0 ms	14820.0 ms	0
php	11440.0 ms	83.0%	5900.0 ms	14830.0 ms	0
flask-nginx-uwsgi	12210.0 ms	88.6%	1500.0 ms	12750.0 ms	0
phpixie	12850.0 ms	93.3%	3820.0 ms	14810.0 ms	0
spark	12860.0 ms	93.3%	1230.0 ms	14400.0 ms	0
cake	13280.0 ms	96.4%	2710.0 ms	14880.0 ms	0
flask-pypy	13780.0 ms	100.0%	1870.0 ms	14710.0 ms	0
