Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
openresty	55.1 ms	0.4%	296.8 ms	12830.0 ms	6
lapis	84.8 ms	0.6%	406.1 ms	13300.0 ms	65
netty	233.0 ms	1.8%	1610.0 ms	14920.0 ms	0
ur/web	295.5 ms	2.2%	373.1 ms	7160.0 ms	0
treefrog-thread	436.9 ms	3.3%	1040.0 ms	6590.0 ms	260
cpoll_cppsp	457.7 ms	3.5%	2320.0 ms	14950.0 ms	0
go	535.9 ms	4.1%	109.4 ms	3340.0 ms	0
php	572.9 ms	4.3%	2140.0 ms	14240.0 ms	0
rack-ruby	608.8 ms	4.6%	757.4 ms	13970.0 ms	5
falcon-pypy	656.9 ms	5.0%	616.6 ms	14750.0 ms	0
revel	688.7 ms	5.2%	135.1 ms	1760.0 ms	0
falcore	845.2 ms	6.4%	120.8 ms	2780.0 ms	0
bottle-pypy	855.3 ms	6.5%	790.3 ms	14860.0 ms	0
http-listener	982.9 ms	7.5%	261.9 ms	10940.0 ms	0
bottle	1070.0 ms	8.1%	1110.0 ms	14940.0 ms	0
falcon	1110.0 ms	8.4%	1960.0 ms	14940.0 ms	0
wsgi	1230.0 ms	9.3%	2860.0 ms	14930.0 ms	0
tornado-pypy	1280.0 ms	9.7%	1820.0 ms	14930.0 ms	0
falcon-py3	1350.0 ms	10.2%	2000.0 ms	14940.0 ms	0
activeweb	1360.0 ms	10.3%	3950.0 ms	14930.0 ms	0
compojure	1410.0 ms	10.7%	3840.0 ms	14940.0 ms	0
sinatra-ruby	1490.0 ms	11.3%	4010.0 ms	13660.0 ms	3,139,167
bottle-py3	1570.0 ms	11.9%	3000.0 ms	14950.0 ms	0
evhttp-sharp	1970.0 ms	14.9%	1450.0 ms	9180.0 ms	0
tornado	2360.0 ms	17.9%	2560.0 ms	9890.0 ms	0
wsgi-nginx-uwsgi	2470.0 ms	18.7%	3720.0 ms	13730.0 ms	0
aspnet-stripped	2490.0 ms	18.9%	763.9 ms	4510.0 ms	0
spring	2600.0 ms	19.7%	571.1 ms	4250.0 ms	0
ringojs	2640.0 ms	20.0%	3190.0 ms	8320.0 ms	54
flask-nginx-uwsgi	2900.0 ms	22.0%	2620.0 ms	14470.0 ms	85
flask	3030.0 ms	23.0%	3310.0 ms	14750.0 ms	0
tornado-py3	3040.0 ms	23.1%	3040.0 ms	9880.0 ms	0
bottle-nginx-uwsgi	3270.0 ms	24.8%	3820.0 ms	14860.0 ms	3
flask-pypy	3350.0 ms	25.4%	3370.0 ms	14900.0 ms	0
snap	3410.0 ms	25.9%	3190.0 ms	7520.0 ms	0
plain-windows	3460.0 ms	26.3%	2230.0 ms	5530.0 ms	0
ringojs-conv	3710.0 ms	28.1%	3560.0 ms	8480.0 ms	171
phreeze	4000.0 ms	30.3%	544.2 ms	4670.0 ms	931,997
aspnet	4020.0 ms	30.5%	1450.0 ms	7420.0 ms	0
grails	4060.0 ms	30.8%	5860.0 ms	14930.0 ms	0
wicket	4270.0 ms	32.4%	4360.0 ms	14860.0 ms	0
flask-py3	4700.0 ms	35.7%	5380.0 ms	14600.0 ms	0
start	4710.0 ms	35.7%	4240.0 ms	14920.0 ms	0
jetty-servlet	4820.0 ms	36.6%	6450.0 ms	13990.0 ms	408
sinatra-jruby	5030.0 ms	38.2%	4210.0 ms	14060.0 ms	0
luminus	5100.0 ms	38.7%	6460.0 ms	14920.0 ms	0
undertow edge	5170.0 ms	39.2%	4550.0 ms	13600.0 ms	4
stream	5650.0 ms	42.9%	4830.0 ms	14770.0 ms	0
dart	6170.0 ms	46.8%	5030.0 ms	13960.0 ms	0
ninja-standalone	6330.0 ms	48.0%	3610.0 ms	9190.0 ms	925
servlet	6430.0 ms	48.8%	6020.0 ms	14930.0 ms	0
ninja-standalone	7380.0 ms	56.0%	6610.0 ms	14940.0 ms	0
plain	7550.0 ms	57.3%	6980.0 ms	14940.0 ms	0
gemini	7990.0 ms	60.6%	5510.0 ms	14570.0 ms	0
plain-servlet-linux	8220.0 ms	62.4%	7000.0 ms	14940.0 ms	0
rack-jruby	8390.0 ms	63.7%	6190.0 ms	13300.0 ms	186
undertow	9120.0 ms	69.2%	5740.0 ms	13830.0 ms	95
grizzly	9680.0 ms	73.4%	6580.0 ms	14940.0 ms	0
phpixie	10310.0 ms	78.2%	5510.0 ms	14940.0 ms	0
spark	11360.0 ms	86.2%	2470.0 ms	14860.0 ms	2,397
cake	12030.0 ms	91.3%	3090.0 ms	14700.0 ms	0
treefrog	13180.0 ms	100.0%	1790.0 ms	13650.0 ms	171
