Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	IA	Errors
cpoll_cppsp	6,738,911	100.0%	Mcr	C++	Cpl	Non	Lin	Rea	0
undertow	4,162,894	61.8%	Plt	Jav	Utw	Non	Lin	Rea	95
undertow edge	4,151,495	61.6%	Plt	Jav	Und	Non	Lin	Rea	4
netty	2,756,821	40.9%	Plt	Jav	Nty	Non	Lin	Rea	0
plain	2,158,968	32.0%	Ful	Sca	Pla	Non	Lin	Rea	0
grizzly	2,120,141	31.5%	Mcr	Jav	Svt	Grz	Lin	Rea	0
servlet	1,776,915	26.4%	Plt	Jav	Svt	Res	Lin	Rea	0
plain-servlet-linux	1,576,626	23.4%	Ful	Sca	Pla	Non	Lin	Rea	0
openresty	1,561,596	23.2%	Plt	Lua	OpR	ngx	Lin	Rea	6
plain-windows	1,483,529	22.0%	Ful	Sca	Pla	Non	Win	Rea	0
gemini	1,357,894	20.2%	Ful	Jav	Svt	Res	Lin	Rea	0
jetty-servlet	1,167,791	17.3%	Plt	Jav	Jty	Jty	Lin	Rea	408
ur/web	712,499	10.6%	Ful	Ur	Ur/	Non	Lin	Rea	0
go	490,728	7.3%	Plt	Go	Go	Non	Lin	Rea	0
rack-jruby	460,183	6.8%	Plt	Rby	JRb	Tor	Lin	Rea	186
wicket	408,004	6.1%	Ful	Jav	Svt	Res	Lin	Rea	0
revel	394,470	5.9%	Ful	Go	Go	Non	Lin	Rea	0
lapis	365,942	5.4%	Ful	Lua	OpR	ngx	Lin	Rea	65
activeweb	339,627	5.0%	Plt	Jav	Act	Res	Lin	Rea	0
falcore	333,658	5.0%	Mcr	Go	Go	Non	Lin	Rea	0
treefrog-thread	312,573	4.6%	Ful	C++	Tre	Non	Lin	Rea	260
nodejs	289,578	4.3%	Plt	JS	njs	Non	Lin	Rea	0
wsgi	251,501	3.7%	Plt	Py	Gun	Non	Lin	Rea	0
falcon-pypy	205,929	3.1%	Mcr	Py	Gun	Non	Lin	Rea	0
