Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
openresty	2.5 ms	0.2%	1.9 ms	52.0 ms	0
cpoll_cppsp-raw	2.6 ms	0.2%	0.6 ms	30.4 ms	0
go	2.9 ms	0.2%	1.8 ms	17.8 ms	0
undertow edge	3.0 ms	0.2%	4.6 ms	120.4 ms	0
gemini	3.0 ms	0.2%	3.4 ms	151.0 ms	0
undertow	3.0 ms	0.2%	3.7 ms	629.9 ms	131
undertow edge	3.1 ms	0.2%	1.1 ms	19.1 ms	97
falcore	3.2 ms	0.2%	2.0 ms	19.1 ms	0
revel	3.3 ms	0.2%	2.3 ms	21.9 ms	0
cpoll_cppsp-postgres	3.5 ms	0.2%	2.7 ms	29.9 ms	0
undertow	3.5 ms	0.2%	21.0 ms	651.3 ms	0
revel-qbs	3.7 ms	0.2%	2.9 ms	30.0 ms	0
http-kit	4.8 ms	0.3%	12.0 ms	624.9 ms	0
scalatra-raw	5.3 ms	0.3%	5.6 ms	189.2 ms	0
nawak	5.8 ms	0.4%	1.6 ms	19.0 ms	0
servlet-raw	5.9 ms	0.4%	21.7 ms	172.1 ms	0
lapis	6.3 ms	0.4%	18.8 ms	803.9 ms	0
wicket	6.4 ms	0.4%	8.7 ms	162.1 ms	0
start	6.5 ms	0.4%	5.6 ms	36.2 ms	399,014
ninja-standalone	6.6 ms	0.4%	7.5 ms	68.9 ms	0
activeweb	7.8 ms	0.5%	10.3 ms	172.6 ms	69
php-raw	7.8 ms	0.5%	12.6 ms	504.1 ms	0
treefrog-thread	7.8 ms	0.5%	11.8 ms	314.8 ms	0
tapestry	8.2 ms	0.5%	8.3 ms	128.8 ms	0
ringojs	8.3 ms	0.5%	16.1 ms	260.4 ms	0
play-java-ebean	8.3 ms	0.5%	18.4 ms	634.5 ms	0
ninja-standalone	8.5 ms	0.5%	16.0 ms	635.0 ms	0
play-slick	8.6 ms	0.5%	21.2 ms	650.1 ms	0
hhvm	9.1 ms	0.6%	1.9 ms	32.5 ms	0
onion-raw	9.1 ms	0.6%	122.1 ms	13180.0 ms	22
compojure-raw	9.5 ms	0.6%	12.6 ms	156.7 ms	0
compojure	9.8 ms	0.6%	25.9 ms	462.1 ms	0
nodejs-mongodb-raw	9.9 ms	0.6%	3.1 ms	46.4 ms	0
elli	10.1 ms	0.6%	1.0 ms	20.6 ms	0
luminus-raw	10.2 ms	0.6%	14.1 ms	166.1 ms	0
urweb-mysql	10.4 ms	0.6%	0.3 ms	13.6 ms	0
play-activate-mysql	10.4 ms	0.6%	23.3 ms	675.4 ms	0
yesod	10.5 ms	0.6%	9.3 ms	124.9 ms	0
nodejs-mysql	10.6 ms	0.7%	2.2 ms	32.5 ms	0
cowboy	10.7 ms	0.7%	1.5 ms	31.6 ms	0
express-mysql	11.0 ms	0.7%	3.5 ms	31.1 ms	0
