Framework	Avg Latency	PercentOfHighest	Latency SD	Max Latency	Errors
gemini	1.4 ms	0.0%	2.1 ms	145.5 ms	0
cpoll_cppsp-postgres	1.7 ms	0.0%	0.7 ms	19.2 ms	0
undertow	1.8 ms	0.0%	3.7 ms	625.6 ms	0
undertow edge	1.9 ms	0.0%	1.6 ms	15.2 ms	0
php-raw	2.0 ms	0.0%	2.5 ms	166.6 ms	0
undertow	2.0 ms	0.0%	3.7 ms	213.7 ms	0
undertow edge	2.0 ms	0.0%	2.3 ms	18.7 ms	0
plain	2.0 ms	0.0%	1.0 ms	6.2 ms	0
cpoll_cppsp-postgres	2.0 ms	0.0%	4.2 ms	119.9 ms	0
plain-servlet-linux	2.0 ms	0.0%	1.0 ms	6.3 ms	0
unfiltered	2.2 ms	0.0%	0.4 ms	8.9 ms	0
treefrog-thread	2.3 ms	0.0%	1.9 ms	66.9 ms	0
urweb-postgres	2.7 ms	0.0%	0.6 ms	14.5 ms	0
wicket	2.7 ms	0.0%	4.9 ms	56.5 ms	0
nodejs-mysql	2.8 ms	0.0%	1.4 ms	46.3 ms	0
http-kit	2.9 ms	0.0%	0.9 ms	8.2 ms	0
plain-windows	2.9 ms	0.0%	0.3 ms	5.7 ms	0
nodejs-mongodb-raw	2.9 ms	0.0%	1.4 ms	34.3 ms	0
openresty	2.9 ms	0.0%	3.0 ms	33.8 ms	0
scalatra-raw	3.0 ms	0.0%	6.3 ms	71.5 ms	0
cpoll_cppsp-raw	3.0 ms	0.0%	2.4 ms	23.8 ms	0
activeweb	3.0 ms	0.0%	4.5 ms	56.9 ms	140
express-mysql	3.2 ms	0.0%	1.6 ms	39.9 ms	0
go	3.2 ms	0.0%	2.9 ms	29.4 ms	0
ringojs	3.2 ms	0.0%	5.4 ms	40.5 ms	0
falcore	3.3 ms	0.0%	3.0 ms	33.1 ms	0
play-slick	3.3 ms	0.0%	12.7 ms	628.5 ms	0
revel	3.4 ms	0.0%	3.1 ms	33.7 ms	0
dropwizard	3.4 ms	0.0%	9.7 ms	1460.0 ms	0
hhvm	3.4 ms	0.0%	0.5 ms	7.8 ms	0
urweb-mysql	3.4 ms	0.0%	0.2 ms	6.7 ms	0
revel-qbs	3.5 ms	0.0%	3.2 ms	29.8 ms	0
play-java-ebean	3.6 ms	0.0%	5.6 ms	637.9 ms	0
yaf-raw	3.6 ms	0.0%	3.1 ms	73.5 ms	0
treefrog	3.6 ms	0.0%	2.1 ms	79.7 ms	0
servlet-raw	3.6 ms	0.0%	10.3 ms	86.0 ms	0
nodejs-mysql-raw	3.7 ms	0.0%	3.7 ms	49.8 ms	0
php-phalcon-micro	3.7 ms	0.0%	3.2 ms	68.1 ms	0
restexpress-mongodb	3.8 ms	0.0%	5.6 ms	42.4 ms	0
tapestry	3.9 ms	0.0%	2.3 ms	32.3 ms	0
play-java-jpa	4.2 ms	0.0%	6.8 ms	227.6 ms	0
bottle-mysql-raw	4.5 ms	0.1%	3.1 ms	35.0 ms	0
tornado-pypy	4.7 ms	0.1%	25.1 ms	1340.0 ms	0
onion-raw	5.3 ms	0.1%	70.9 ms	6470.0 ms	0
ringojs-conv	5.4 ms	0.1%	8.5 ms	61.4 ms	0
grizzly-jersey	5.4 ms	0.1%	1.8 ms	22.4 ms	0
grails	5.4 ms	0.1%	6.3 ms	52.3 ms	0
play-activate-mysql	5.6 ms	0.1%	8.8 ms	166.4 ms	0
dart	6.0 ms	0.1%	8.1 ms	85.5 ms	0
nodejs-mongodb	6.4 ms	0.1%	5.4 ms	77.3 ms	0
stream	6.4 ms	0.1%	8.8 ms	112.6 ms	0
yesod	6.7 ms	0.1%	7.0 ms	79.1 ms	0
tornado	6.8 ms	0.1%	2.5 ms	33.3 ms	0
start	7.0 ms	0.1%	11.8 ms	136.3 ms	0
stream	7.0 ms	0.1%	10.6 ms	120.4 ms	0
express-mongodb	7.5 ms	0.1%	6.8 ms	87.3 ms	0
hapi-mysql	7.5 ms	0.1%	7.3 ms	133.0 ms	0
play-scala-anorm	7.7 ms	0.1%	4.6 ms	629.7 ms	0
ninja-standalone	7.8 ms	0.1%	2.0 ms	21.7 ms	0
