Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	DB	Dos	Orm	IA	Errors
gemini	224,112	100.0%	Ful	Jav	Svt	Res	Lin	My	Lin	Mcr	Rea	0
cpoll_cppsp-raw	197,309	88.0%	Plt	C++	Cpl	Non	Lin	My	Lin	Raw	Rea	0
openresty	194,878	87.0%	Plt	Lua	OpR	ngx	Lin	My	Lin	Raw	Rea	0
servlet-raw	184,818	82.5%	Plt	Jav	Svt	Res	Lin	My	Lin	Raw	Rea	0
cpoll_cppsp-postgres	151,122	67.4%	Plt	C++	Cpl	Non	Lin	Pg	Lin	Raw	Rea	0
cpoll_cppsp-postgres	147,386	65.8%	Plt	C++	Cpl	Non	Lin	Pg	Lin	Raw	Rea	0
undertow	133,426	59.5%	Plt	Jav	Utw	Non	Lin	Mo	Lin	Raw	Rea	0
undertow edge	130,528	58.2%	Plt	Jav	Und	Non	Lin	Mo	Lin	Raw	Rea	0
php-raw	128,311	57.3%	Plt	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
undertow	126,975	56.7%	Plt	Jav	Utw	Non	Lin	My	Lin	Raw	Rea	0
undertow edge	126,937	56.6%	Plt	Jav	Und	Non	Lin	My	Lin	Raw	Rea	0
plain	122,053	54.5%	Ful	Sca	Pla	Non	Lin	My	Lin	Mcr	Rea	0
plain-servlet-linux	119,135	53.2%	Ful	Sca	Pla	Non	Lin	My	Lin	Ful	Rea	0
wicket	117,724	52.5%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
lapis	116,501	52.0%	Ful	Lua	OpR	ngx	Lin	Pg	Lin	Ful	Rea	0
unfiltered	110,554	49.3%	Mcr	Sca	Nty	Non	Lin	My	Lin	Mcr	Rea	0
treefrog-thread	104,861	46.8%	Ful	C++	Tre	Non	Lin	My	Lin	Mcr	Rea	0
scalatra-raw	101,561	45.3%	Mcr	Sca	Svt	Res	Lin	My	Lin	Raw	Rea	0
plain-windows	97,650	43.6%	Ful	Sca	Pla	Non	Win	My	Lin	Ful	Rea	0
undertow	95,592	42.7%	Plt	Jav	Utw	Non	Lin	Pg	Lin	Raw	Rea	0
undertow edge	93,806	41.9%	Plt	Jav	Und	Non	Lin	Pg	Lin	Raw	Rea	0
servlet-postgres-raw	93,375	41.7%	Plt	Jav	Svt	Res	Lin	Pg	Lin	Raw	Rea	0
activeweb	92,210	41.1%	Plt	Jav	Act	Res	Lin	My	Lin	Raw	Rea	140
urweb-postgres	90,131	40.2%	Ful	Ur	Ur/	Non	Lin	Pg	Lin	Mcr	Rea	0
nodejs-mysql	88,597	39.5%	Plt	JS	njs	Non	Lin	My	Lin	Ful	Rea	0
http-kit	84,149	37.5%	Plt	Clj	htk	Non	Lin	My	Lin	Raw	Rea	0
nodejs-mongodb-raw	83,958	37.5%	Plt	JS	njs	Non	Lin	Mo	Lin	Raw	Rea	0
dropwizard	83,333	37.2%	Ful	Jav	Jty	Jty	Lin	My	Lin	Ful	Rea	0
play-slick	80,685	36.0%	Ful	Sca	Nty	Non	Lin	My	Lin	Raw	Rea	0
ringojs	79,844	35.6%	Plt	JS	Rin	Jty	Lin	My	Lin	Raw	Rea	0
tapestry	79,278	35.4%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
restexpress-mongodb	78,184	34.9%	Mcr	Jav	Nty	Non	Lin	Mo	Lin	Raw	Rea	0
go	77,653	34.6%	Plt	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
express-mysql	76,783	34.3%	Mcr	JS	njs	Non	Lin	My	Lin	Ful	Rea	0
falcore	75,261	33.6%	Mcr	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
revel	73,609	32.8%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
nodejs-mysql-raw	71,594	31.9%	Plt	JS	njs	Non	Lin	My	Lin	Raw	Rea	0
play-java-ebean	70,722	31.6%	Ful	Jav	Nty	Non	Lin	My	Lin	Ful	Rea	0
revel-qbs	70,525	31.5%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
hhvm	70,471	31.4%	Plt	PHP	hhv	HPH	Lin	My	Lin	Raw	Rea	0
yaf-raw	70,434	31.4%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
urweb-mysql	69,877	31.2%	Ful	Ur	Ur/	Non	Lin	My	Lin	Mcr	Rea	0
php-phalcon-micro	68,632	30.6%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
treefrog	67,584	30.2%	Ful	C++	Tre	Non	Lin	My	Lin	Mcr	Rea	0
bottle-mysql-raw	62,357	27.8%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
play-java-jpa	61,833	27.6%	Ful	Jav	Nty	Non	Lin	My	Lin	Ful	Rea	0
onion-raw	58,368	26.0%	Plt	C	Oni	Non	Lin	My	Lin	Raw	Rea	0
tornado-pypy	58,178	26.0%	Plt	Py	Tor	Non	Lin	Mo	Lin	Raw	Rea	0
spark	55,938	25.0%	Mcr	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
luminus-raw	55,449	24.7%	Mcr	Clj	Svt	Res	Lin	My	Lin	Raw	Rea	0
grizzly-jersey	54,150	24.2%	Mcr	Jav	Svt	Grz	Lin	My	Lin	Ful	Rea	0
compojure-raw	51,231	22.9%	Mcr	Clj	Svt	Res	Lin	My	Lin	Raw	Rea	0
grails	47,351	21.1%	Ful	Grv	Svt	Res	Lin	My	Lin	Ful	Rea	0
aspnet-stripped-raw	47,066	21.0%	Ful	C#	Net	IIS	Win	My	Lin	Raw	Str	0
ringojs-conv	46,340	20.7%	Mcr	JS	Rin	Jty	Lin	My	Lin	Mcr	Rea	0
play-activate-mysql	45,463	20.3%	Ful	Sca	Nty	Non	Lin	My	Lin	Ful	Rea	0
dart	43,599	19.5%	Plt	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
compojure	43,548	19.4%	Mcr	Clj	Svt	Res	Lin	My	Lin	Mcr	Rea	0
start	41,110	18.3%	Mcr	Dar	Dar	ngx	Lin	Mo	Lin	Raw	Rea	0
stream	40,381	18.0%	Mcr	Dar	Dar	ngx	Lin	Mo	Lin	Raw	Rea	0
start	40,165	17.9%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
stream	39,521	17.6%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
nodejs-mongodb	38,741	17.3%	Plt	JS	njs	Non	Lin	Mo	Lin	Ful	Rea	0
yesod	37,445	16.7%	Mcr	Hkl	Wai	Wrp	Lin	My	Lin	Raw	Rea	0
tornado	35,277	15.7%	Plt	Py	Tor	Non	Lin	Mo	Lin	Raw	Rea	0
flask	33,353	14.9%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
