Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	DB	Dos	Orm	IA	Errors
stream	428	100.0%	Mcr	Dar	Dar	ngx	Lin	Mo	Lin	Raw	Rea	8
undertow	367	85.7%	Plt	Jav	Utw	Non	Lin	Mo	Lin	Raw	Rea	10
undertow edge	363	84.8%	Plt	Jav	Und	Non	Lin	Mo	Lin	Raw	Rea	13
grails	333	77.8%	Ful	Grv	Svt	Res	Lin	My	Lin	Ful	Rea	0
ninja-standalone	259	60.5%	Ful	Jav	Jty	Jty	Lin	My	Lin	Ful	Rea	153
ninja-standalone	241	56.3%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	10,772
falcore	234	54.7%	Mcr	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
go	231	54.0%	Plt	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
revel	230	53.7%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
undertow edge	225	52.6%	Plt	Jav	Und	Non	Lin	My	Lin	Raw	Rea	0
servlet-raw	220	51.4%	Plt	Jav	Svt	Res	Lin	My	Lin	Raw	Rea	0
php-raw	217	50.7%	Plt	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
ringojs	217	50.7%	Plt	JS	Rin	Jty	Lin	My	Lin	Raw	Rea	0
cpoll_cppsp-raw	216	50.5%	Plt	C++	Cpl	Non	Lin	My	Lin	Raw	Rea	0
gemini	215	50.2%	Ful	Jav	Svt	Res	Lin	My	Lin	Mcr	Rea	0
undertow	212	49.5%	Plt	Jav	Utw	Non	Lin	My	Lin	Raw	Rea	0
undertow edge	178	41.6%	Plt	Jav	Und	Non	Lin	Pg	Lin	Raw	Rea	0
revel-qbs	174	40.7%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
activeweb	168	39.3%	Plt	Jav	Act	Res	Lin	My	Lin	Raw	Rea	0
undertow	168	39.3%	Plt	Jav	Utw	Non	Lin	Pg	Lin	Raw	Rea	0
dart	143	33.4%	Plt	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
play-scala-anorm	143	33.4%	Ful	Sca	Nty	Non	Lin	My	Lin	Ful	Rea	0
start	142	33.2%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
stream	133	31.1%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
lapis	124	29.0%	Ful	Lua	OpR	ngx	Lin	Pg	Lin	Ful	Rea	0
php-phalcon	116	27.1%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
treefrog-thread	114	26.6%	Ful	C++	Tre	Non	Lin	My	Lin	Mcr	Rea	0
phreeze	112	26.2%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Mcr	Rea	0
treefrog	111	25.9%	Ful	C++	Tre	Non	Lin	My	Lin	Mcr	Rea	0
express-mongodb	110	25.7%	Mcr	JS	njs	Non	Lin	Mo	Lin	Ful	Rea	0
servlet-postgres-raw	109	25.5%	Plt	Jav	Svt	Res	Lin	Pg	Lin	Raw	Rea	0
hapi	102	23.8%	Mcr	JS	njs	Non	Lin	Mo	Lin	Raw	Rea	0
phpixie	101	23.6%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
ringojs-conv	100	23.4%	Mcr	JS	Rin	Jty	Lin	My	Lin	Mcr	Rea	0
aspnet-mvc-mono	88	20.6%	Ful	C#	Mon	ngx	Lin	My	Lin	Raw	Rea	0
play-slick	79	18.5%	Ful	Sca	Nty	Non	Lin	My	Lin	Raw	Rea	0
urweb-postgres	60	14.0%	Ful	Ur	Ur/	Non	Lin	Pg	Lin	Mcr	Rea	0
flask	57	13.3%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	291
flask-py3	54	12.6%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	320
flask-nginx-uwsgi	53	12.4%	Mcr	Py	uWS	ngx	Lin	My	Lin	Ful	Rea	0
bottle	50	11.7%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	254
bottle-nginx-uwsgi	49	11.4%	Mcr	Py	uWS	ngx	Lin	My	Lin	Ful	Rea	0
flask-pypy	45	10.5%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
bottle-py3	40	9.3%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	267
spring	30	7.0%	Ful	Jav	Svt	Tom	Lin	My	Lin	Ful	Rea	0
wicket	30	7.0%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
bottle-mysql-raw	29	6.8%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	218
rails-jruby	29	6.8%	Ful	Rby	JRb	Tor	Lin	My	Lin	Ful	Rea	0
django-postgresql	28	6.5%	Ful	Py	Gun	Non	Lin	Pg	Lin	Ful	Rea	197
urweb-mysql	23	5.4%	Ful	Ur	Ur/	Non	Lin	My	Lin	Mcr	Rea	0
aspnet-mvc-mono	21	4.9%	Ful	C#	Mon	ngx	Lin	My	Lin	Ful	Rea	0
flask	18	4.2%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	181
django	16	3.7%	Ful	Py	Gun	Non	Lin	My	Lin	Ful	Rea	151
django-py3	16	3.7%	Ful	Py	Gun	Non	Lin	My	Lin	Ful	Rea	146
rails-ruby	14	3.3%	Ful	Rby	Rac	Uni	Lin	My	Lin	Ful	Rea	74,334
express-mysql	4	0.9%	Mcr	JS	njs	Non	Lin	My	Lin	Ful	Rea	0
hapi-mysql	4	0.9%	Mcr	JS	njs	Non	Lin	My	Lin	Raw	Rea	0
plain-servlet-linux	4	0.9%	Ful	Sca	Pla	Non	Lin	My	Lin	Ful	Rea	0
flask-pypy	0	0.0%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
plain	0	0.0%	Ful	Sca	Pla	Non	Lin	My	Lin	Mcr	Rea	0
start	0	0.0%	Mcr	Dar	Dar	ngx	Lin	Mo	Lin	Raw	Rea	207,845
