Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	DB	Dos	Orm	IA	Errors
hhvm	2,507	100.0%	Plt	PHP	hhv	HPH	Lin	My	Lin	Raw	Rea	0
revel	2,290	91.3%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
falcore	2,280	90.9%	Mcr	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
go	2,227	88.8%	Plt	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
cpoll_cppsp-raw	2,215	88.4%	Plt	C++	Cpl	Non	Lin	My	Lin	Raw	Rea	0
undertow	2,189	87.3%	Plt	Jav	Utw	Non	Lin	My	Lin	Raw	Rea	0
undertow edge	2,142	85.4%	Plt	Jav	Und	Non	Lin	My	Lin	Raw	Rea	0
php-raw	2,063	82.3%	Plt	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
gemini	2,047	81.7%	Ful	Jav	Svt	Res	Lin	My	Lin	Mcr	Rea	0
ringojs	2,036	81.2%	Plt	JS	Rin	Jty	Lin	My	Lin	Raw	Rea	0
nawak	2,020	80.6%	Mcr	Nim	Nim	mon	Lin	Pg	Lin	Raw	Rea	0
servlet-raw	2,012	80.3%	Plt	Jav	Svt	Res	Lin	My	Lin	Raw	Rea	0
undertow	1,706	68.0%	Plt	Jav	Utw	Non	Lin	Pg	Lin	Raw	Rea	0
undertow edge	1,700	67.8%	Plt	Jav	Und	Non	Lin	Pg	Lin	Raw	Rea	0
ninja-standalone	1,604	64.0%	Ful	Jav	Jty	Jty	Lin	My	Lin	Ful	Rea	2,926
revel-qbs	1,577	62.9%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
activeweb	1,519	60.6%	Plt	Jav	Act	Res	Lin	My	Lin	Raw	Rea	0
start	1,420	56.6%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
dart	1,410	56.2%	Plt	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
stream	1,410	56.2%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
servlet-postgres-raw	1,380	55.0%	Plt	Jav	Svt	Res	Lin	Pg	Lin	Raw	Rea	0
grails	1,344	53.6%	Ful	Grv	Svt	Res	Lin	My	Lin	Ful	Rea	0
bottle-mysql-raw	1,293	51.6%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
lapis	1,198	47.8%	Ful	Lua	OpR	ngx	Lin	Pg	Lin	Ful	Rea	0
hapi-mysql	1,196	47.7%	Mcr	JS	njs	Non	Lin	My	Lin	Raw	Rea	0
express-mysql	1,192	47.5%	Mcr	JS	njs	Non	Lin	My	Lin	Ful	Rea	0
urweb-mysql	1,077	43.0%	Ful	Ur	Ur/	Non	Lin	My	Lin	Mcr	Rea	0
treefrog-thread	1,065	42.5%	Ful	C++	Tre	Non	Lin	My	Lin	Mcr	Rea	0
nodejs-mysql-raw	865	34.5%	Plt	JS	njs	Non	Lin	My	Lin	Raw	Rea	0
stream	856	34.1%	Mcr	Dar	Dar	ngx	Lin	Mo	Lin	Raw	Rea	31
php-phalcon	849	33.9%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
phpixie	837	33.4%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
play-scala-anorm	836	33.3%	Ful	Sca	Nty	Non	Lin	My	Lin	Ful	Rea	0
treefrog	823	32.8%	Ful	C++	Tre	Non	Lin	My	Lin	Mcr	Rea	0
flask	772	30.8%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
ninja-standalone	761	30.4%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	196,373
undertow edge	753	30.0%	Plt	Jav	Und	Non	Lin	Mo	Lin	Raw	Rea	21
undertow	752	30.0%	Plt	Jav	Utw	Non	Lin	Mo	Lin	Raw	Rea	23
express-mongodb	703	28.0%	Mcr	JS	njs	Non	Lin	Mo	Lin	Ful	Rea	0
hapi	684	27.3%	Mcr	JS	njs	Non	Lin	Mo	Lin	Raw	Rea	0
play-slick	646	25.8%	Ful	Sca	Nty	Non	Lin	My	Lin	Raw	Rea	0
spring	543	21.7%	Ful	Jav	Svt	Tom	Lin	My	Lin	Ful	Rea	0
play-activate-mysql	508	20.3%	Ful	Sca	Nty	Non	Lin	My	Lin	Ful	Rea	5
urweb-postgres	459	18.3%	Ful	Ur	Ur/	Non	Lin	Pg	Lin	Mcr	Rea	0
ringojs-conv	352	14.0%	Mcr	JS	Rin	Jty	Lin	My	Lin	Mcr	Rea	0
flask-pypy	343	13.7%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
flask-nginx-uwsgi	327	13.0%	Mcr	Py	uWS	ngx	Lin	My	Lin	Ful	Rea	0
flask	322	12.8%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
pyramid-py2	320	12.8%	Ful	Py	Wsg	Gun	Lin	Pg	Lin	Ful	Rea	8
bottle-pypy	290	11.6%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
pyramid-py3	277	11.0%	Ful	Py	Wsg	Gun	Lin	Pg	Lin	Ful	Rea	11
flask-py3	274	10.9%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
rails-jruby	268	10.7%	Ful	Rby	JRb	Tor	Lin	My	Lin	Ful	Rea	0
bottle-nginx-uwsgi	262	10.5%	Mcr	Py	uWS	ngx	Lin	My	Lin	Ful	Rea	0
django-postgresql	255	10.2%	Ful	Py	Gun	Non	Lin	Pg	Lin	Ful	Rea	8
bottle	254	10.1%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	8
django	245	9.8%	Ful	Py	Gun	Non	Lin	My	Lin	Ful	Rea	10
django-py3	229	9.1%	Ful	Py	Gun	Non	Lin	My	Lin	Ful	Rea	5
bottle-py3	216	8.6%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	14
rails-ruby	209	8.3%	Ful	Rby	Rac	Uni	Lin	My	Lin	Ful	Rea	0
wicket	171	6.8%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
nodejs-mongodb-raw	136	5.4%	Plt	JS	njs	Non	Lin	Mo	Lin	Raw	Rea	0
phreeze	34	1.4%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Mcr	Rea	0
servicestack	24	1.0%	Plt	C#	Mon	ngx	Lin	My	Lin	Raw	Rea	108
servicestack	7	0.3%	Plt	C#	Mon	ngx	Lin	Mo	Lin	Raw	Rea	55
flask-pypy	0	0.0%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
start	0	0.0%	Mcr	Dar	Dar	ngx	Lin	Mo	Lin	Raw	Rea	718,563
