Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	DB	Dos	Orm	IA	Errors
hhvm	4,047	100.0%	Plt	PHP	hhv	HPH	Lin	My	Lin	Raw	Rea	0
hapi-mysql	3,981	98.4%	Mcr	JS	njs	Non	Lin	My	Lin	Raw	Rea	0
express-mysql	3,942	97.4%	Mcr	JS	njs	Non	Lin	My	Lin	Ful	Rea	0
nodejs-mysql-raw	3,872	95.7%	Plt	JS	njs	Non	Lin	My	Lin	Raw	Rea	0
plain-servlet-linux	3,838	94.8%	Ful	Sca	Pla	Non	Lin	My	Lin	Ful	Rea	0
plain	3,831	94.7%	Ful	Sca	Pla	Non	Lin	My	Lin	Mcr	Rea	0
plain-windows	3,535	87.3%	Ful	Sca	Pla	Non	Win	My	Lin	Ful	Rea	0
ninja-standalone	3,118	77.0%	Ful	Jav	Jty	Jty	Lin	My	Lin	Ful	Rea	1,807
falcore	2,684	66.3%	Mcr	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
go	2,676	66.1%	Plt	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
revel	2,654	65.6%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
flask	2,388	59.0%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
bottle-mysql-raw	2,209	54.6%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
express-mongodb	1,997	49.3%	Mcr	JS	njs	Non	Lin	Mo	Lin	Ful	Rea	0
aspnet-mvc-mono	1,967	48.6%	Ful	C#	Mon	ngx	Lin	My	Lin	Raw	Rea	0
hapi	1,905	47.1%	Mcr	JS	njs	Non	Lin	Mo	Lin	Raw	Rea	0
phreeze	1,842	45.5%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Mcr	Rea	0
php-phalcon	1,811	44.7%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
undertow	1,804	44.6%	Plt	Jav	Utw	Non	Lin	Pg	Lin	Raw	Rea	0
undertow edge	1,804	44.6%	Plt	Jav	Und	Non	Lin	Pg	Lin	Raw	Rea	0
aspnet-stripped-raw	1,793	44.3%	Ful	C#	Net	IIS	Win	Pg	Lin	Raw	Str	0
aspnet-postgresql-ra	1,737	42.9%	Ful	C#	Net	IIS	Win	Pg	Lin	Raw	Rea	0
revel-qbs	1,690	41.8%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
start	1,681	41.5%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
dart	1,675	41.4%	Plt	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
stream	1,669	41.2%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
servlet-postgres-raw	1,539	38.0%	Plt	Jav	Svt	Res	Lin	Pg	Lin	Raw	Rea	0
undertow	1,534	37.9%	Plt	Jav	Utw	Non	Lin	My	Lin	Raw	Rea	0
undertow edge	1,496	37.0%	Plt	Jav	Und	Non	Lin	My	Lin	Raw	Rea	0
cpoll_cppsp-raw	1,470	36.3%	Plt	C++	Cpl	Non	Lin	My	Lin	Raw	Rea	0
aspnet-stripped-raw	1,452	35.9%	Ful	C#	Net	IIS	Win	My	Lin	Raw	Str	0
aspnet-mysql-raw	1,443	35.7%	Ful	C#	Net	IIS	Win	My	Lin	Raw	Rea	0
treefrog-thread	1,430	35.3%	Ful	C++	Tre	Non	Lin	My	Lin	Mcr	Rea	0
treefrog	1,382	34.1%	Ful	C++	Tre	Non	Lin	My	Lin	Mcr	Rea	0
phpixie	1,334	33.0%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
activeweb	1,305	32.2%	Plt	Jav	Act	Res	Lin	My	Lin	Raw	Rea	0
php-raw	1,304	32.2%	Plt	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
aspnet-mysql-entityf	1,303	32.2%	Ful	C#	Net	IIS	Win	My	Lin	Ful	Rea	0
ninja-standalone	1,284	31.7%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	123,705
start	1,267	31.3%	Mcr	Dar	Dar	ngx	Lin	Mo	Lin	Raw	Rea	0
stream	1,266	31.3%	Mcr	Dar	Dar	ngx	Lin	Mo	Lin	Raw	Rea	0
undertow	1,229	30.4%	Plt	Jav	Utw	Non	Lin	Mo	Lin	Raw	Rea	0
undertow edge	1,227	30.3%	Plt	Jav	Und	Non	Lin	Mo	Lin	Raw	Rea	0
ringojs	1,222	30.2%	Plt	JS	Rin	Jty	Lin	My	Lin	Raw	Rea	0
servlet-raw	1,220	30.1%	Plt	Jav	Svt	Res	Lin	My	Lin	Raw	Rea	0
gemini	1,182	29.2%	Ful	Jav	Svt	Res	Lin	My	Lin	Mcr	Rea	0
flask-nginx-uwsgi	1,181	29.2%	Mcr	Py	uWS	ngx	Lin	My	Lin	Ful	Rea	0
http-listener	1,180	29.2%	Plt	C#	Net	hts	Win	My	Lin	Raw	Rea	0
play-slick	1,100	27.2%	Ful	Sca	Nty	Non	Lin	My	Lin	Raw	Rea	0
bottle-nginx-uwsgi	1,073	26.5%	Mcr	Py	uWS	ngx	Lin	My	Lin	Ful	Rea	0
flask	1,064	26.3%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
pyramid-py2	1,048	25.9%	Ful	Py	Wsg	Gun	Lin	Pg	Lin	Ful	Rea	32
bottle	1,011	25.0%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
django-postgresql	940	23.2%	Ful	Py	Gun	Non	Lin	Pg	Lin	Ful	Rea	0
flask-py3	901	22.3%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
pyramid-py3	890	22.0%	Ful	Py	Wsg	Gun	Lin	Pg	Lin	Ful	Rea	23
play-scala-anorm	851	21.0%	Ful	Sca	Nty	Non	Lin	My	Lin	Ful	Rea	0
bottle-py3	845	20.9%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
django	818	20.2%	Ful	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
grails	814	20.1%	Ful	Grv	Svt	Res	Lin	My	Lin	Ful	Rea	0
aspnet-postgresql-en	788	19.5%	Ful	C#	Net	IIS	Win	Pg	Lin	Ful	Rea	0
django-py3	770	19.0%	Ful	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
urweb-mysql	738	18.2%	Ful	Ur	Ur/	Non	Lin	My	Lin	Mcr	Rea	0
lapis	700	17.3%	Ful	Lua	OpR	ngx	Lin	Pg	Lin	Ful	Rea	22,272
flask-pypy	612	15.1%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
spring	574	14.2%	Ful	Jav	Svt	Tom	Lin	My	Lin	Ful	Rea	0
ringojs-conv	514	12.7%	Mcr	JS	Rin	Jty	Lin	My	Lin	Mcr	Rea	0
servicestack	454	11.2%	Plt	C#	Mon	ngx	Lin	My	Lin	Raw	Rea	0
bottle-pypy	439	10.8%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
aspnet-mvc-mono	419	10.4%	Ful	C#	Mon	ngx	Lin	My	Lin	Ful	Rea	0
play-scala-anorm	412	10.2%	Ful	Sca	Nty	Non	Win	My	Lin	Ful	Rea	197
urweb-postgres	412	10.2%	Ful	Ur	Ur/	Non	Lin	Pg	Lin	Mcr	Rea	0
play-activate-mysql	394	9.7%	Ful	Sca	Nty	Non	Lin	My	Lin	Ful	Rea	0
rails-jruby	332	8.2%	Ful	Rby	JRb	Tor	Lin	My	Lin	Ful	Rea	0
rails-ruby	279	6.9%	Ful	Rby	Rac	Uni	Lin	My	Lin	Ful	Rea	0
wicket	203	5.0%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
nodejs-mongodb-raw	189	4.7%	Plt	JS	njs	Non	Lin	Mo	Lin	Raw	Rea	0
flask-pypy	0	0.0%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
http-listener	0	0.0%	Plt	C#	Net	hts	Win	Pg	Lin	Raw	Rea	0
