Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	DB	Dos	Orm	IA	Errors
cpoll_cppsp-raw	58,143	100.0%	Plt	C++	Cpl	Non	Lin	My	Lin	Raw	Rea	0
servlet-raw	57,270	98.5%	Plt	Jav	Svt	Res	Lin	My	Lin	Raw	Rea	0
gemini	52,394	90.1%	Ful	Jav	Svt	Res	Lin	My	Lin	Mcr	Rea	0
undertow	43,821	75.4%	Plt	Jav	Utw	Non	Lin	My	Lin	Raw	Rea	0
undertow edge	43,803	75.3%	Plt	Jav	Und	Non	Lin	My	Lin	Raw	Rea	0
undertow edge	43,420	74.7%	Plt	Jav	Und	Non	Lin	Mo	Lin	Raw	Rea	0
undertow	43,186	74.3%	Plt	Jav	Utw	Non	Lin	Mo	Lin	Raw	Rea	0
undertow edge	41,419	71.2%	Plt	Jav	Und	Non	Lin	Pg	Lin	Raw	Rea	0
undertow	41,221	70.9%	Plt	Jav	Utw	Non	Lin	Pg	Lin	Raw	Rea	0
nawak	37,648	64.8%	Mcr	Nim	Nim	mon	Lin	Pg	Lin	Raw	Rea	0
php-raw	28,861	49.6%	Plt	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
go	27,863	47.9%	Plt	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
hhvm	26,167	45.0%	Plt	PHP	hhv	HPH	Lin	My	Lin	Raw	Rea	0
revel	26,060	44.8%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
urweb-mysql	24,582	42.3%	Ful	Ur	Ur/	Non	Lin	My	Lin	Mcr	Rea	0
revel-qbs	22,506	38.7%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
compojure	21,782	37.5%	Mcr	Clj	Svt	Res	Lin	My	Lin	Mcr	Rea	0
lapis	19,659	33.8%	Ful	Lua	OpR	ngx	Lin	Pg	Lin	Ful	Rea	0
luminus	18,583	32.0%	Mcr	Clj	Svt	Res	Lin	My	Lin	Ful	Rea	0
play-scala-anorm	18,465	31.8%	Ful	Sca	Nty	Non	Lin	My	Lin	Ful	Rea	0
grizzly-jersey	16,903	29.1%	Mcr	Jav	Svt	Grz	Lin	My	Lin	Ful	Rea	0
wicket	16,681	28.7%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
yaf-raw	16,196	27.9%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
urweb-postgres	15,550	26.7%	Ful	Ur	Ur/	Non	Lin	Pg	Lin	Mcr	Rea	0
falcore	14,629	25.2%	Mcr	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
play-slick	13,580	23.4%	Ful	Sca	Nty	Non	Lin	My	Lin	Raw	Rea	0
dart	13,405	23.1%	Plt	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
treefrog	12,345	21.2%	Ful	C++	Tre	Non	Lin	My	Lin	Mcr	Rea	0
start	12,315	21.2%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
php-phalcon-micro	11,827	20.3%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
stream	11,018	18.9%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
grails	9,856	17.0%	Ful	Grv	Svt	Res	Lin	My	Lin	Ful	Rea	0
stream	9,313	16.0%	Mcr	Dar	Dar	ngx	Lin	Mo	Lin	Raw	Rea	0
bottle-mysql-raw	8,740	15.0%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
activeweb	7,875	13.5%	Plt	Jav	Act	Res	Lin	My	Lin	Raw	Rea	0
ninja-standalone	7,557	13.0%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
play-activate-mysql	7,191	12.4%	Ful	Sca	Nty	Non	Lin	My	Lin	Ful	Rea	0
spring	6,983	12.0%	Ful	Jav	Svt	Tom	Lin	My	Lin	Ful	Rea	0
ninja-standalone	6,681	11.5%	Ful	Jav	Jty	Jty	Lin	My	Lin	Ful	Rea	0
treefrog-thread	6,248	10.7%	Ful	C++	Tre	Non	Lin	My	Lin	Mcr	Rea	0
php-phalcon	6,247	10.7%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
flask	5,840	10.0%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
ringojs-conv	5,486	9.4%	Mcr	JS	Rin	Jty	Lin	My	Lin	Mcr	Rea	0
ringojs	5,427	9.3%	Plt	JS	Rin	Jty	Lin	My	Lin	Raw	Rea	0
flask-pypy	4,742	8.2%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
phpixie	4,435	7.6%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
onion-raw	4,365	7.5%	Plt	C	Oni	Non	Lin	My	Lin	Raw	Rea	0
flask-pypy	3,636	6.3%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
codeigniter-raw	3,590	6.2%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
pyramid-py2	3,475	6.0%	Ful	Py	Wsg	Gun	Lin	Pg	Lin	Ful	Rea	0
bottle-nginx-uwsgi	3,351	5.8%	Mcr	Py	uWS	ngx	Lin	My	Lin	Ful	Rea	0
bottle	3,315	5.7%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
flask-nginx-uwsgi	3,041	5.2%	Mcr	Py	uWS	ngx	Lin	My	Lin	Ful	Rea	0
pyramid-py3	3,041	5.2%	Ful	Py	Wsg	Gun	Lin	Pg	Lin	Ful	Rea	0
bottle-py3	3,037	5.2%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
flask	3,035	5.2%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
bottle-pypy	2,793	4.8%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
flask-py3	2,770	4.8%	Mcr	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
rails-jruby	2,750	4.7%	Ful	Rby	JRb	Tor	Lin	My	Lin	Ful	Rea	0
php-kohana-raw	2,208	3.8%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
django-postgresql	2,147	3.7%	Ful	Py	Gun	Non	Lin	Pg	Lin	Ful	Rea	0
django	2,009	3.5%	Ful	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
django-py3	1,963	3.4%	Ful	Py	Gun	Non	Lin	My	Lin	Ful	Rea	0
rails-ruby	1,857	3.2%	Ful	Rby	Rac	Uni	Lin	My	Lin	Ful	Rea	0
fuel	1,182	2.0%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
laravel-raw	732	1.3%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	10,751
symfony2-raw	298	0.5%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	4,426
symfony2	298	0.5%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Str	4,448
symfony2	252	0.4%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Str	3,743
symfony2	250	0.4%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	3,721
phreeze	102	0.2%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Mcr	Rea	0
start	0	0.0%	Mcr	Dar	Dar	ngx	Lin	Mo	Lin	Raw	Rea	398,527
