Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	DB	Dos	Orm	IA	Errors
cpoll_cppsp-raw	188,585	100.0%	Plt	C++	Cpl	Non	Lin	My	Lin	Raw	Rea	0
gemini	166,103	88.1%	Ful	Jav	Svt	Res	Lin	My	Lin	Mcr	Rea	0
servlet-raw	159,178	84.4%	Plt	Jav	Svt	Res	Lin	My	Lin	Raw	Rea	0
urweb-postgres	112,807	59.8%	Ful	Ur	Ur/	Non	Lin	Pg	Lin	Mcr	Rea	0
undertow	110,277	58.5%	Plt	Jav	Utw	Non	Lin	Mo	Lin	Raw	Rea	0
undertow	107,704	57.1%	Plt	Jav	Utw	Non	Lin	My	Lin	Raw	Rea	0
undertow edge	107,037	56.8%	Plt	Jav	Und	Non	Lin	Mo	Lin	Raw	Rea	0
undertow edge	106,306	56.4%	Plt	Jav	Und	Non	Lin	My	Lin	Raw	Rea	0
plain	99,626	52.8%	Ful	Sca	Pla	Non	Lin	My	Lin	Mcr	Rea	0
php-raw	97,508	51.7%	Plt	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
undertow edge	95,900	50.9%	Plt	Jav	Und	Non	Lin	Pg	Lin	Raw	Rea	0
undertow	93,324	49.5%	Plt	Jav	Utw	Non	Lin	Pg	Lin	Raw	Rea	0
hhvm	68,286	36.2%	Plt	PHP	hhv	HPH	Lin	My	Lin	Raw	Rea	0
lapis	62,527	33.2%	Ful	Lua	OpR	ngx	Lin	Pg	Lin	Ful	Rea	0
yaf-raw	58,015	30.8%	Ful	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
grizzly-jersey	44,879	23.8%	Mcr	Jav	Svt	Grz	Lin	My	Lin	Ful	Rea	0
php-phalcon-micro	42,754	22.7%	Mcr	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
treefrog	42,743	22.7%	Ful	C++	Tre	Non	Lin	My	Lin	Mcr	Rea	0
bottle-mysql-raw	33,283	17.6%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
plain-servlet-linux	31,839	16.9%	Ful	Sca	Pla	Non	Lin	My	Lin	Ful	Rea	0
urweb-mysql	31,529	16.7%	Ful	Ur	Ur/	Non	Lin	My	Lin	Mcr	Rea	0
dart	27,579	14.6%	Plt	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
compojure	26,594	14.1%	Mcr	Clj	Svt	Res	Lin	My	Lin	Mcr	Rea	0
onion-raw	26,587	14.1%	Plt	C	Oni	Non	Lin	My	Lin	Raw	Rea	0
start	26,248	13.9%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
stream	25,610	13.6%	Mcr	Dar	Dar	ngx	Lin	Pg	Lin	Raw	Rea	0
wicket	24,914	13.2%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
flask	22,936	12.2%	Mcr	Py	Gun	Non	Lin	My	Lin	Raw	Rea	0
play-scala-anorm	21,923	11.6%	Ful	Sca	Nty	Non	Lin	My	Lin	Ful	Rea	0
revel-qbs	19,734	10.5%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
play-slick	19,616	10.4%	Ful	Sca	Nty	Non	Lin	My	Lin	Raw	Rea	0
luminus	17,632	9.3%	Mcr	Clj	Svt	Res	Lin	My	Lin	Ful	Rea	0
http-listener	17,191	9.1%	Plt	C#	Net	hts	Win	My	Lin	Raw	Rea	0
php-phalcon	16,720	8.9%	Ful	PHP	FPM	ngx	Lin	My	Lin	Ful	Rea	0
