Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	IA	Errors
ur/web	57,822	100.0%	Ful	Ur	Ur	Non	Lin	Rea	0
cpoll_cppsp	53,554	92.6%	Mcr	C++	Cpl	Non	Lin	Rea	0
undertow	50,371	87.1%	Plt	Jav	Utw	Non	Lin	Rea	0
netty	49,073	84.9%	Plt	Jav	Nty	Non	Lin	Rea	0
undertow edge	43,189	74.7%	Plt	Jav	Und	Non	Lin	Rea	0
plain-servlet-linux	40,177	69.5%	Ful	Sca	Pla	Non	Lin	Rea	0
openresty	38,650	66.8%	Plt	Lua	OpR	ngx	Lin	Rea	0
grizzly	35,634	61.6%	Mcr	Jav	Svt	Grz	Lin	Rea	0
plain	35,312	61.1%	Ful	Sca	Pla	Non	Lin	Rea	0
servlet	29,755	51.5%	Plt	Jav	Svt	Res	Lin	Rea	0
rack-jruby	28,956	50.1%	Plt	Rby	JRb	Tor	Lin	Rea	0
go	28,587	49.4%	Plt	Go	Go	Non	Lin	Rea	0
gemini	24,583	42.5%	Ful	Jav	Svt	Res	Lin	Rea	0
http-kit	21,029	36.4%	Plt	Clj	htk	Non	Lin	Rea	0
revel	20,634	35.7%	Ful	Go	Go	Non	Lin	Rea	0
jetty-servlet	20,145	34.8%	Plt	Jav	Jty	Jty	Lin	Rea	0
spark	18,968	32.8%	Mcr	Jav	Svt	Res	Lin	Rea	0
beego	18,660	32.3%	Mcr	Go	Go	Non	Lin	Rea	0
wai	18,067	31.2%	Plt	Hkl	Wai	Wrp	Lin	Rea	0
elli	17,460	30.2%	Plt	Erl	eli	Non	Lin	Rea	0
falcore	17,223	29.8%	Mcr	Go	Go	Non	Lin	Rea	0
webgo	16,146	27.9%	Mcr	Go	Go	Non	Lin	Rea	0
restexpress	16,129	27.9%	Mcr	Jav	Nty	Non	Lin	Rea	0
tornado-pypy	15,494	26.8%	Plt	Py	Tor	Non	Lin	Rea	0
falcon-pypy	15,353	26.6%	Mcr	Py	Gun	Non	Lin	Rea	0
wicket	14,740	25.5%	Ful	Jav	Svt	Res	Lin	Rea	0
lapis	14,145	24.5%	Ful	Lua	OpR	ngx	Lin	Rea	0
grizzly-jersey	14,101	24.4%	Mcr	Jav	Svt	Grz	Lin	Rea	0
compojure	13,323	23.0%	Mcr	Clj	Svt	Res	Lin	Rea	0
wsgi-nginx-uwsgi	12,255	21.2%	Plt	Py	uWS	ngx	Lin	Rea	0
cowboy	12,178	21.1%	Plt	Erl	Cow	Non	Lin	Rea	0
