Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	IA	Errors
go	211,812	100.0%	Plt	Go	Go	Non	Lin	Rea	0
servlet	211,618	99.9%	Plt	Jav	Svt	Res	Lin	Rea	0
grizzly	210,767	99.5%	Mcr	Jav	Svt	Grz	Lin	Rea	0
ur/web	209,256	98.8%	Ful	Ur	Ur/	Non	Lin	Rea	0
gemini	209,249	98.8%	Ful	Jav	Svt	Res	Lin	Rea	0
jetty-servlet	197,497	93.2%	Plt	Jav	Jty	Jty	Lin	Rea	0
netty	194,917	92.0%	Plt	Jav	Nty	Non	Lin	Rea	0
spark	193,067	91.2%	Mcr	Jav	Svt	Res	Lin	Rea	0
cpoll_cppsp	192,432	90.9%	Mcr	C++	Cpl	Non	Lin	Rea	0
openresty	186,678	88.1%	Plt	Lua	OpR	ngx	Lin	Rea	0
rack-jruby	185,628	87.6%	Plt	Rby	JRb	Tor	Lin	Rea	0
beego	184,340	87.0%	Mcr	Go	Go	Non	Lin	Rea	0
undertow edge	183,150	86.5%	Plt	Jav	Und	Non	Lin	Rea	0
undertow	176,688	83.4%	Plt	Jav	Utw	Non	Lin	Rea	0
onion	170,807	80.6%	Plt	C	Oni	Non	Lin	Rea	52
revel	162,333	76.6%	Ful	Go	Go	Non	Lin	Rea	0
elli	160,605	75.8%	Plt	Erl	eli	Non	Lin	Rea	0
falcore	157,787	74.5%	Mcr	Go	Go	Non	Lin	Rea	0
restexpress	150,542	71.1%	Mcr	Jav	Nty	Non	Lin	Rea	0
http-kit	137,312	64.8%	Plt	Clj	htk	Non	Lin	Rea	0
wai	123,571	58.3%	Plt	Hkl	Wai	Wrp	Lin	Rea	0
compojure	123,023	58.1%	Mcr	Clj	Svt	Res	Lin	Rea	0
grizzly-jersey	120,502	56.9%	Mcr	Jav	Svt	Grz	Lin	Rea	0
webgo	119,083	56.2%	Mcr	Go	Go	Non	Lin	Rea	0
tapestry	113,104	53.4%	Ful	Jav	Svt	Res	Lin	Rea	0
wsgi-nginx-uwsgi	111,178	52.5%	Plt	Py	uWS	ngx	Lin	Rea	0
wicket	109,404	51.7%	Ful	Jav	Svt	Res	Lin	Rea	0
scalatra	107,486	50.7%	Mcr	Sca	Svt	Res	Lin	Rea	0
activeweb	104,830	49.5%	Plt	Jav	Act	Res	Lin	Rea	0
dropwizard	103,724	49.0%	Ful	Jav	Jty	Jty	Lin	Rea	0
lapis	102,474	48.4%	Ful	Lua	OpR	ngx	Lin	Rea	0
play-scala-anorm	98,682	46.6%	Ful	Sca	Nty	Non	Lin	Rea	0
cowboy	98,551	46.5%	Plt	Erl	Cow	Non	Lin	Rea	0
falcon-pypy	85,361	40.3%	Mcr	Py	Gun	Non	Lin	Rea	0
bottle-pypy	84,658	40.0%	Mcr	Py	Gun	Non	Lin	Rea	0
tornado-pypy	84,517	39.9%	Plt	Py	Tor	Non	Lin	Rea	0
play1-siena	79,149	37.4%	Ful	Jav	Nty	Non	Lin	Rea	0
treefrog-thread	76,584	36.2%	Ful	C++	Tre	Non	Lin	Rea	0
luminus	74,897	35.4%	Mcr	Clj	Svt	Res	Lin	Rea	0
nodejs	69,563	32.8%	Plt	JS	njs	Non	Lin	Rea	0
php	67,366	31.8%	Plt	PHP	FPM	ngx	Lin	Rea	0
bottle-nginx-uwsgi	66,138	31.2%	Mcr	Py	uWS	ngx	Lin	Rea	0
wsgi	65,456	30.9%	Plt	Py	Gun	Non	Lin	Rea	0
ninja-standalone	64,792	30.6%	Ful	Jav	Svt	Res	Lin	Rea	0
yesod	64,159	30.3%	Mcr	Hkl	Wai	Wrp	Lin	Rea	0
rack-ruby	61,055	28.8%	Plt	Rby	Rac	Uni	Lin	Rea	0
play-java-jpa	58,326	27.5%	Ful	Jav	Nty	Non	Lin	Rea	0
jester	55,459	26.2%	Mcr	Nim	Nim	ngx	Lin	Rea	0
uwsgi-nginx-uwsgi	53,516	25.3%	Plt	Py	Wsg	ngi	Lin	Rea	0
falcon	50,783	24.0%	Mcr	Py	Gun	Non	Lin	Rea	0
nawak	47,904	22.6%	Mcr	Nim	Nim	mon	Lin	Rea	0
bottle	46,842	22.1%	Mcr	Py	Gun	Non	Lin	Rea	0
