Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	IA	Errors
cpoll_cppsp	220,767	100.0%	Mcr	C++	Cpl	Non	Lin	Rea	0
undertow	219,120	99.3%	Plt	Jav	Utw	Non	Lin	Rea	1,163
undertow edge	215,626	97.7%	Plt	Jav	Und	Non	Lin	Rea	1,267
netty	199,422	90.3%	Plt	Jav	Nty	Non	Lin	Rea	0
plain-servlet-linux	185,717	84.1%	Ful	Sca	Pla	Non	Lin	Rea	0
plain	182,315	82.6%	Ful	Sca	Pla	Non	Lin	Rea	155
grizzly	126,559	57.3%	Mcr	Jav	Svt	Grz	Lin	Rea	0
ur/web	113,097	51.2%	Ful	Ur	Ur/	Non	Lin	Rea	0
rack-jruby	71,243	32.3%	Plt	Rby	JRb	Tor	Lin	Rea	413
openresty	70,246	31.8%	Plt	Lua	OpR	ngx	Lin	Rea	0
servlet	59,854	27.1%	Plt	Jav	Svt	Res	Lin	Rea	743
jetty-servlet	58,352	26.4%	Plt	Jav	Jty	Jty	Lin	Rea	33
go	44,656	20.2%	Plt	Go	Go	Non	Lin	Rea	0
gemini	43,423	19.7%	Ful	Jav	Svt	Res	Lin	Rea	0
revel	32,084	14.5%	Ful	Go	Go	Non	Lin	Rea	0
spark	27,663	12.5%	Mcr	Jav	Svt	Res	Lin	Rea	0
wicket	22,563	10.2%	Ful	Jav	Svt	Res	Lin	Rea	0
ninja-standalone	21,616	9.8%	Ful	Jav	Svt	Res	Lin	Rea	0
activeweb	21,245	9.6%	Plt	Jav	Act	Res	Lin	Rea	0
falcore	19,790	9.0%	Mcr	Go	Go	Non	Lin	Rea	0
ninja-standalone	18,782	8.5%	Ful	Jav	Jty	Jty	Lin	Rea	341
tornado-pypy	17,345	7.9%	Plt	Py	Tor	Non	Lin	Rea	0
falcon-pypy	16,718	7.6%	Mcr	Py	Gun	Non	Lin	Rea	0
compojure	16,632	7.5%	Mcr	Clj	Svt	Res	Lin	Rea	0
treefrog-thread	16,545	7.5%	Ful	C++	Tre	Non	Lin	Rea	11
lapis	16,298	7.4%	Ful	Lua	OpR	ngx	Lin	Rea	0
nodejs	13,878	6.3%	Plt	JS	njs	Non	Lin	Rea	0
wsgi-nginx-uwsgi	12,366	5.6%	Plt	Py	uWS	ngx	Lin	Rea	0
luminus	11,887	5.4%	Mcr	Clj	Svt	Res	Lin	Rea	0
snap	11,656	5.3%	Mcr	Hkl	Snp	Non	Lin	Rea	0
wsgi	11,462	5.2%	Plt	Py	Gun	Non	Lin	Rea	0
falcon	9,298	4.2%	Mcr	Py	Gun	Non	Lin	Rea	0
bottle-nginx-uwsgi	8,745	4.0%	Mcr	Py	uWS	ngx	Lin	Rea	0
falcon-py3	8,184	3.7%	Mcr	Py	Gun	Non	Lin	Rea	21
bottle	8,159	3.7%	Mcr	Py	Gun	Non	Lin	Rea	0
rack-ruby	7,942	3.6%	Plt	Rby	Rac	Uni	Lin	Rea	208
spring	7,898	3.6%	Ful	Jav	Svt	Tom	Lin	Rea	0
ringojs	7,834	3.5%	Plt	JS	Rin	Jty	Lin	Rea	217
bottle-py3	6,964	3.2%	Mcr	Py	Gun	Non	Lin	Rea	22
grails	6,571	3.0%	Ful	Grv	Svt	Res	Lin	Rea	0
ringojs-conv	6,317	2.9%	Mcr	JS	Rin	Jty	Lin	Rea	240
sinatra-jruby	6,108	2.8%	Mcr	Rby	JRb	Tor	Lin	Rea	332
php	6,078	2.8%	Plt	PHP	FPM	ngx	Lin	Rea	0
tornado	4,485	2.0%	Plt	Py	Tor	Non	Lin	Rea	0
flask-pypy	4,093	1.9%	Mcr	Py	Gun	Non	Lin	Rea	0
dart	3,889	1.8%	Plt	Dar	Dar	ngx	Lin	Rea	0
tornado-py3	3,832	1.7%	Plt	Py	Tor	Non	Lin	Rea	0
flask	3,372	1.5%	Mcr	Py	Gun	Non	Lin	Rea	23
flask-py3	3,232	1.5%	Mcr	Py	Gun	Non	Lin	Rea	480
start	3,194	1.4%	Mcr	Dar	Dar	ngx	Lin	Rea	0
stream	3,142	1.4%	Mcr	Dar	Dar	ngx	Lin	Rea	0
flask-nginx-uwsgi	3,021	1.4%	Mcr	Py	uWS	ngx	Lin	Rea	0
sinatra-ruby	2,657	1.2%	Mcr	Rby	Rac	Uni	Lin	Rea	0
treefrog	1,693	0.8%	Ful	C++	Tre	Non	Lin	Rea	762
phpixie	1,638	0.7%	Ful	PHP	FPM	ngx	Lin	Rea	0
phreeze	934	0.4%	Mcr	PHP	FPM	ngx	Lin	Rea	0
cake	289	0.1%	Ful	PHP	FPM	ngx	Lin	Rea	0
aspnet-mvc-mono	264	0.1%	Ful	C#	Mon	ngx	Lin	Rea	0
