Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	IA	Errors
grizzly	631,280	100.0%	Mcr	Jav	Svt	Grz	Lin	Rea	0
netty	624,786	99.0%	Plt	Jav	Nty	Non	Lin	Rea	0
undertow	612,146	97.0%	Plt	Jav	Utw	Non	Lin	Rea	197
undertow edge	610,948	96.8%	Plt	Jav	Und	Non	Lin	Rea	50
cpoll_cppsp	522,681	82.8%	Mcr	C++	Cpl	Non	Lin	Rea	0
jetty-servlet	435,120	68.9%	Plt	Jav	Jty	Jty	Lin	Rea	392
gemini	427,283	67.7%	Ful	Jav	Svt	Res	Lin	Rea	0
servlet	421,439	66.8%	Plt	Jav	Svt	Res	Lin	Rea	0
go	365,711	57.9%	Plt	Go	Go	Non	Lin	Rea	0
openresty	340,167	53.9%	Plt	Lua	OpR	ngx	Lin	Rea	292
rack-jruby	301,454	47.8%	Plt	Rby	JRb	Tor	Lin	Rea	38
ur/web	238,747	37.8%	Ful	Ur	Ur/	Non	Lin	Rea	5
revel	220,446	34.9%	Ful	Go	Go	Non	Lin	Rea	0
wicket	219,431	34.8%	Ful	Jav	Svt	Res	Lin	Rea	0
activeweb	193,031	30.6%	Plt	Jav	Act	Res	Lin	Rea	0
falcore	172,187	27.3%	Mcr	Go	Go	Non	Lin	Rea	0
compojure	141,583	22.4%	Mcr	Clj	Svt	Res	Lin	Rea	0
wsgi-nginx-uwsgi	121,340	19.2%	Plt	Py	uWS	ngx	Lin	Rea	0
falcon-pypy	110,680	17.5%	Mcr	Py	Gun	Non	Lin	Rea	0
bottle-pypy	105,826	16.8%	Mcr	Py	Gun	Non	Lin	Rea	0
lapis	103,965	16.5%	Ful	Lua	OpR	ngx	Lin	Rea	1,418
treefrog-thread	103,072	16.3%	Ful	C++	Tre	Non	Lin	Rea	390
tornado-pypy	94,068	14.9%	Plt	Py	Tor	Non	Lin	Rea	0
luminus	80,706	12.8%	Mcr	Clj	Svt	Res	Lin	Rea	0
nodejs	73,401	11.6%	Plt	JS	njs	Non	Lin	Rea	0
wsgi	71,139	11.3%	Plt	Py	Gun	Non	Lin	Rea	0
rack-ruby	70,558	11.2%	Plt	Rby	Rac	Uni	Lin	Rea	0
bottle-nginx-uwsgi	68,877	10.9%	Mcr	Py	uWS	ngx	Lin	Rea	0
php	59,068	9.4%	Plt	PHP	FPM	ngx	Lin	Rea	0
snap	58,580	9.3%	Mcr	Hkl	Snp	Non	Lin	Rea	0
spring	58,438	9.3%	Ful	Jav	Svt	Tom	Lin	Rea	0
falcon	57,571	9.1%	Mcr	Py	Gun	Non	Lin	Rea	0
ninja-standalone	55,152	8.7%	Ful	Jav	Svt	Res	Lin	Rea	0
nawak	54,926	8.7%	Mcr	Nim	Nim	mon	Lin	Rea	71
ringojs	53,215	8.4%	Plt	JS	Rin	Jty	Lin	Rea	2
bottle	49,181	7.8%	Mcr	Py	Gun	Non	Lin	Rea	0
falcon-py3	48,072	7.6%	Mcr	Py	Gun	Non	Lin	Rea	0
grails	43,907	7.0%	Ful	Grv	Svt	Res	Lin	Rea	0
ringojs-conv	41,283	6.5%	Mcr	JS	Rin	Jty	Lin	Rea	11
bottle-py3	40,324	6.4%	Mcr	Py	Gun	Non	Lin	Rea	0
sinatra-jruby	37,922	6.0%	Mcr	Rby	JRb	Tor	Lin	Rea	37
dart	35,638	5.6%	Plt	Dar	Dar	ngx	Lin	Rea	0
start	30,662	4.9%	Mcr	Dar	Dar	ngx	Lin	Rea	0
stream	29,637	4.7%	Mcr	Dar	Dar	ngx	Lin	Rea	0
tornado	27,064	4.3%	Plt	Py	Tor	Non	Lin	Rea	0
ninja-standalone	24,497	3.9%	Ful	Jav	Jty	Jty	Lin	Rea	14
tornado-py3	22,387	3.5%	Plt	Py	Tor	Non	Lin	Rea	0
flask-pypy	21,140	3.3%	Mcr	Py	Gun	Non	Lin	Rea	0
flask-nginx-uwsgi	20,821	3.3%	Mcr	Py	uWS	ngx	Lin	Rea	0
flask	18,912	3.0%	Mcr	Py	Gun	Non	Lin	Rea	0
flask-py3	18,343	2.9%	Mcr	Py	Gun	Non	Lin	Rea	0
pyramid-py2	14,894	2.4%	Ful	Py	Wsg	Gun	Lin	Rea	0
sinatra-ruby	12,677	2.0%	Mcr	Rby	Rac	Uni	Lin	Rea	1,367,488
pyramid-py3	12,592	2.0%	Ful	Py	Wsg	Gun	Lin	Rea	0
phpixie	12,253	1.9%	Ful	PHP	FPM	ngx	Lin	Rea	0
treefrog	9,731	1.5%	Ful	C++	Tre	Non	Lin	Rea	1,065
spark	2,992	0.5%	Mcr	Jav	Svt	Res	Lin	Rea	0
cake	2,080	0.3%	Ful	PHP	FPM	ngx	Lin	Rea	0
hhvm	1,194	0.2%	Plt	PHP	hhv	HPH	Lin	Rea	1,357
servicestack-nginx-d	710	0.1%	Plt	C#	Mon	ngx	Lin	Rea	12,646
phreeze	166	0.0%	Mcr	PHP	FPM	ngx	Lin	Rea	85
