Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	DB	Dos	Orm	IA	Errors
undertow	12,376	100.0%	Plt	Jav	Utw	Non	Lin	Mo	Lin	Raw	Rea	12
undertow edge	11,521	93.1%	Plt	Jav	Und	Non	Lin	Mo	Lin	Raw	Rea	18
cpoll_cppsp-postgres	11,221	90.7%	Plt	C++	Cpl	Non	Lin	Pg	Lin	Raw	Rea	0
cpoll_cppsp-postgres	10,469	84.6%	Plt	C++	Cpl	Non	Lin	Pg	Lin	Raw	Rea	0
cpoll_cppsp-raw	10,129	81.8%	Plt	C++	Cpl	Non	Lin	My	Lin	Raw	Rea	0
go	10,041	81.1%	Plt	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
falcore	9,793	79.1%	Mcr	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
revel-qbs	9,673	78.2%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
revel	9,638	77.9%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
undertow	9,140	73.9%	Plt	Jav	Utw	Non	Lin	My	Lin	Raw	Rea	0
openresty	8,920	72.1%	Plt	Lua	OpR	ngx	Lin	My	Lin	Raw	Rea	0
undertow edge	8,778	70.9%	Plt	Jav	Und	Non	Lin	My	Lin	Raw	Rea	0
servlet-raw	8,579	69.3%	Plt	Jav	Svt	Res	Lin	My	Lin	Raw	Rea	0
gemini	8,162	66.0%	Ful	Jav	Svt	Res	Lin	My	Lin	Mcr	Rea	0
undertow	8,057	65.1%	Plt	Jav	Utw	Non	Lin	Pg	Lin	Raw	Rea	0
undertow edge	7,910	63.9%	Plt	Jav	Und	Non	Lin	Pg	Lin	Raw	Rea	0
restexpress-mongodb	7,014	56.7%	Mcr	Jav	Nty	Non	Lin	Mo	Lin	Raw	Rea	0
servlet-postgres-raw	6,897	55.7%	Plt	Jav	Svt	Res	Lin	Pg	Lin	Raw	Rea	0
ninja-standalone	6,109	49.4%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
tornado-pypy	5,853	47.3%	Plt	Py	Tor	Non	Lin	Mo	Lin	Raw	Rea	10
onion-raw	5,849	47.3%	Plt	C	Oni	Non	Lin	My	Lin	Raw	Rea	91
scalatra-raw	5,505	44.5%	Mcr	Sca	Svt	Res	Lin	My	Lin	Raw	Rea	0
lapis	5,090	41.1%	Ful	Lua	OpR	ngx	Lin	Pg	Lin	Ful	Rea	0
wicket	5,080	41.0%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
compojure-raw	4,835	39.1%	Mcr	Clj	Svt	Res	Lin	My	Lin	Raw	Rea	0
ninja-standalone	4,815	38.9%	Ful	Jav	Jty	Jty	Lin	My	Lin	Ful	Rea	0
luminus-raw	4,683	37.8%	Mcr	Clj	Svt	Res	Lin	My	Lin	Raw	Rea	0
compojure	3,928	31.7%	Mcr	Clj	Svt	Res	Lin	My	Lin	Mcr	Rea	0
activeweb	3,790	30.6%	Plt	Jav	Act	Res	Lin	My	Lin	Raw	Rea	3
ringojs	3,776	30.5%	Plt	JS	Rin	Jty	Lin	My	Lin	Raw	Rea	0
