Framework	Hps	Percent	Cls	Lng	Plt	FE	Aos	DB	Dos	Orm	IA	Errors
openresty	101,555	100.0%	Plt	Lua	OpR	ngx	Lin	My	Lin	Raw	Rea	0
cpoll_cppsp-raw	100,915	99.4%	Plt	C++	Cpl	Non	Lin	My	Lin	Raw	Rea	0
gemini	95,118	93.7%	Ful	Jav	Svt	Res	Lin	My	Lin	Mcr	Rea	0
servlet-raw	94,834	93.4%	Plt	Jav	Svt	Res	Lin	My	Lin	Raw	Rea	0
undertow	93,793	92.4%	Plt	Jav	Utw	Non	Lin	My	Lin	Raw	Rea	0
undertow edge	90,547	89.2%	Plt	Jav	Und	Non	Lin	My	Lin	Raw	Rea	0
go	88,292	86.9%	Plt	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
cpoll_cppsp-postgres	86,202	84.9%	Plt	C++	Cpl	Non	Lin	Pg	Lin	Raw	Rea	0
cpoll_cppsp-postgres	84,955	83.7%	Plt	C++	Cpl	Non	Lin	Pg	Lin	Raw	Rea	0
undertow edge	81,927	80.7%	Plt	Jav	Und	Non	Lin	Mo	Lin	Raw	Rea	97
undertow	81,710	80.5%	Plt	Jav	Utw	Non	Lin	Mo	Lin	Raw	Rea	131
falcore	81,703	80.5%	Mcr	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
revel	78,687	77.5%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
revel-qbs	70,924	69.8%	Ful	Go	Go	Non	Lin	My	Lin	Raw	Rea	0
restexpress-mongodb	63,660	62.7%	Mcr	Jav	Nty	Non	Lin	Mo	Lin	Raw	Rea	0
undertow edge	60,604	59.7%	Plt	Jav	Und	Non	Lin	Pg	Lin	Raw	Rea	0
undertow	60,468	59.5%	Plt	Jav	Utw	Non	Lin	Pg	Lin	Raw	Rea	0
http-kit	59,218	58.3%	Plt	Clj	htk	Non	Lin	My	Lin	Raw	Rea	0
servlet-postgres-raw	55,481	54.6%	Plt	Jav	Svt	Res	Lin	Pg	Lin	Raw	Rea	0
scalatra-raw	47,748	47.0%	Mcr	Sca	Svt	Res	Lin	My	Lin	Raw	Rea	0
lapis	46,699	46.0%	Ful	Lua	OpR	ngx	Lin	Pg	Lin	Ful	Rea	0
nawak	46,669	46.0%	Mcr	Nim	Nim	mon	Lin	Pg	Lin	Raw	Rea	0
wicket	45,099	44.4%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
ninja-standalone	44,732	44.0%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
php-raw	40,144	39.5%	Plt	PHP	FPM	ngx	Lin	My	Lin	Raw	Rea	0
activeweb	36,232	35.7%	Plt	Jav	Act	Res	Lin	My	Lin	Raw	Rea	69
compojure-raw	36,058	35.5%	Mcr	Clj	Svt	Res	Lin	My	Lin	Raw	Rea	0
dropwizard	34,839	34.3%	Ful	Jav	Jty	Jty	Lin	My	Lin	Ful	Rea	0
onion-raw	34,577	34.0%	Plt	C	Oni	Non	Lin	My	Lin	Raw	Rea	22
tapestry	34,370	33.8%	Ful	Jav	Svt	Res	Lin	My	Lin	Ful	Rea	0
